doc_title,chunk_id,description,scene_context
174、EXT. DUPEA HOUSE - DAY,doc_173_chunk_1,She comes up the stairs.,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_1,Catherine begins pouring the coffee.,
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_6,She quickly alters her gaze to Carl.,
175、INT. DUPEA HOME - DAY,doc_174_chunk_1,she stops and looks down at him,
175、INT. DUPEA HOME - DAY,doc_174_chunk_2,She turns and disappears into the second-floor hallway.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_1,CATHERINE (stops and turns to him),
184、INT. MUSIC ROOM - DAY,doc_183_chunk_3,She gets up and crosses toward the settee.,
174、EXT. DUPEA HOUSE - DAY,doc_173_chunk_3,"She moves toward the front door, with Bobby following.",
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_0,She raises her eyes from her plate to ask him something,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_6,"Catherine looks up at him, uttering a quiet challenge",
184、INT. MUSIC ROOM - DAY,doc_183_chunk_2,"Unable to keep up the ""serious"" musician pose, a brief, derisive laugh issues from him.",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_5,"Needing the safety of distance, she moves over to the windows next to the bed.",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_2,She moves back to the dresser and as she begins searching through an array of bath oils on top of it,
179、INT. DUPEA HOME - UPSTAIRS HALL - DAY,doc_178_chunk_1,Catherine glances out at them and then closes the door to her room.,"Hallway outside Catherine's room, as Bobby approaches and Carl stops him."
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_7,"Catherine stands up and, wanting to change the subject",
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_7,She exits,
189、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_188_chunk_1,Catherine keeps her eyes on her plate as she eats.,Scene with Carl and Rayette discussing Bobby's stay at the motel.
184、INT. MUSIC ROOM - DAY,doc_183_chunk_1,"her features intensely concentrated, as she listens to his playing",
184、INT. MUSIC ROOM - DAY,doc_183_chunk_1,"Catherine, profoundly moved",
186、INT. CATHERINE'S BEDROOM - DAY,doc_185_chunk_0,Catherine lies side by side with Bobby.,
186、INT. CATHERINE'S BEDROOM - DAY,doc_185_chunk_0,Catherine addresses the ceiling.,
182、INT. CATHERINE'S ROOM - DAY,doc_181_chunk_0,"She gets out, and, carrying a shopping bag and a wrapped bouquet of flowers, pauses on her way to the house to have some exchange with Tita.","Outside the house, after arriving by car."
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_0,Catherine looks across the table to Bobby as he drinks from a bottle of beer.,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_0,Catherine attempts to stifle her own amusement,
66、INT. DUPEA DINING ROOM - NIGHT,doc_65_chunk_0,She raises her eyes from her plate to ask him something,
66、INT. DUPEA DINING ROOM - NIGHT,doc_65_chunk_6,She quickly alters her gaze to Carl.,
184、INT. MUSIC ROOM - DAY,doc_183_chunk_0,Catherine appears in the doorway.,
184、INT. MUSIC ROOM - DAY,doc_183_chunk_0,"She stands listening for a moment, then places the shopping bag and flowers on a settee near the doorway and crosses to a chair near the pianos and sits down.",
70、EXT. DUPEA HOUSE - DAY,doc_69_chunk_1,She comes up the stairs.,
189、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_188_chunk_3,Catherine goes on eating,
189、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_188_chunk_3,Catherine looks over at Rayette,
189、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_188_chunk_3,Catherine says thank you,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_0,"She stands in front of a dresser mirror, pinning up her hair, preparatory to taking a bath.",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_0,"Her attention is drawn to... ... Bobby entering, and as he crosses to her, she quickly turns back to the mirror.",
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_1,Catherine begins pouring the coffee.,
71、INT. DUPEA HOME - DAY,doc_70_chunk_1,she stops and looks down at him,
70、EXT. DUPEA HOUSE - DAY,doc_69_chunk_3,"She moves toward the front door, with Bobby following.",
174、EXT. DUPEA HOUSE - DAY,doc_173_chunk_0,Catherine comes up from the ocean. She wears a bathrobe over a wet bathing suit and carries a towel.,"Front porch, approaching from the ocean."
174、EXT. DUPEA HOUSE - DAY,doc_173_chunk_0,She laughs and begins drying her hair with a corner of the towel.,"Front porch, after conversation with Bobby."
71、INT. DUPEA HOME - DAY,doc_70_chunk_2,She turns and disappears into the second-floor hallway.,
175、INT. DUPEA HOME - DAY,doc_174_chunk_0,"Catherine comes inside and moves toward the stairway, with Bobby behind.",
175、INT. DUPEA HOME - DAY,doc_174_chunk_0,She goes up a few steps and turns back to him.,
175、INT. DUPEA HOME - DAY,doc_174_chunk_0,But the day after is kind of open.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,A little intimidated by his aggressivity:,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,I don't find your language that charming.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,I'd like you to leave now. Is that direct enough?,
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_6,She gets up and starts to move away.,
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_6,"She leaves the room, with Bobby's eyes following her.",
187、EXT. LA ROCHE WOODS - DAY,doc_186_chunk_0,Catherine walks over a path through a thickly wooded area that presently brings her in sight of the Dupea house.,
187、EXT. LA ROCHE WOODS - DAY,doc_186_chunk_0,"Catherine, after looking at the scars and callouses accumulated by his years of manual labor, lays the hand against her cheek.",
66、INT. DUPEA DINING ROOM - NIGHT,doc_65_chunk_7,"Catherine stands up and, wanting to change the subject",
66、INT. DUPEA DINING ROOM - NIGHT,doc_65_chunk_7,She exits,
197、EXT. BAYFRONT - DAY,doc_196_chunk_1,CATHERINE Yes.,
197、EXT. BAYFRONT - DAY,doc_196_chunk_1,"CATHERINE I hope it will, yes. (she pauses, then:) I'm sorry.",
186、INT. CATHERINE'S BEDROOM - DAY,doc_185_chunk_2,"She reaches over, tentatively caressing his face",
186、INT. CATHERINE'S BEDROOM - DAY,doc_185_chunk_2,CATHERINE Robert?,
186、INT. CATHERINE'S BEDROOM - DAY,doc_185_chunk_2,"CATHERINE I could spend some time with you tomorrow morning, before Carl comes back, I mean, if you'd like to.",
80、INT. MUSIC ROOM - DAY,doc_79_chunk_3,She gets up and crosses toward the settee.,
197、EXT. BAYFRONT - DAY,doc_196_chunk_0,"Catherine and Bobby sit on a low stone wall bordering the Dupea property. Each is staring out at the ocean, and after a moment:",
197、EXT. BAYFRONT - DAY,doc_196_chunk_0,she looks at him,
75、INT. DUPEA HOME - UPSTAIRS HALL - DAY,doc_74_chunk_2,Catherine glances out at them and then closes the door to her room.,"Hallway outside Catherine's room, after the violin stops playing."
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_1,Catherine stops and turns to him,
80、INT. MUSIC ROOM - DAY,doc_79_chunk_2,"Unable to keep up the ""serious"" musician pose, a brief, derisive laugh issues from him.",
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_0,Catherine looks across the table to Bobby as he drinks from a bottle of beer.,
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_0,Catherine attempts to stifle her own amusement,
80、INT. MUSIC ROOM - DAY,doc_79_chunk_1,"her features intensely concentrated, as she listens to his playing",
80、INT. MUSIC ROOM - DAY,doc_79_chunk_1,"Catherine, profoundly moved",
78、INT. CATHERINE'S ROOM - DAY,doc_77_chunk_0,"She gets out, and, carrying a shopping bag and a wrapped bouquet of flowers, pauses on her way to the house to have some exchange with Tita.","Outside the house, after arriving by car."
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_2,She moves back to the dresser and as she begins searching through an array of bath oils on top of it,
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_5,"Needing the safety of distance, she moves over to the windows next to the bed.",
70、EXT. DUPEA HOUSE - DAY,doc_69_chunk_0,Catherine comes up from the ocean. She wears a bathrobe over a wet bathing suit and carries a towel.,"Front porch, approaching from the ocean."
70、EXT. DUPEA HOUSE - DAY,doc_69_chunk_0,Catherine laughs and begins drying her hair with a corner of the towel.,"Front porch, after conversation with Bobby."
71、INT. DUPEA HOME - DAY,doc_70_chunk_0,"Catherine comes inside and moves toward the stairway, with Bobby behind.",
71、INT. DUPEA HOME - DAY,doc_70_chunk_0,She goes up a few steps and turns back to him.,
71、INT. DUPEA HOME - DAY,doc_70_chunk_0,But the day after is kind of open.,
82、INT. CATHERINE'S BEDROOM - DAY,doc_81_chunk_0,Catherine lies side by side with Bobby.,
82、INT. CATHERINE'S BEDROOM - DAY,doc_81_chunk_0,Catherine addresses the ceiling.,
85、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_84_chunk_1,Catherine keeps her eyes on her plate as she eats.,"Scene with Carl, Rayette, and Bobby; conversation about staying in a motel."
80、INT. MUSIC ROOM - DAY,doc_79_chunk_0,Catherine appears in the doorway.,
80、INT. MUSIC ROOM - DAY,doc_79_chunk_0,"She stands listening for a moment, then places the shopping bag and flowers on a settee near the doorway and crosses to a chair near the pianos and sits down.",
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_3,Catherine is amused.,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_3,Catherine takes hold of Carl's hand and stands up.,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_3,Catherine says they really don't have to go if Carl's not feeling good.,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_3,"Catherine says, 'Oh, all right.'",
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_3,Catherine glances apologetically back at Bobby as they move to the door.,
193、EXT. FERRY - MORNING,doc_192_chunk_0,Catherine sits at the wheel of the first car in line.,Ferry dock: Bobby's car pulls off the ferry and stops alongside Catherine's car.
193、EXT. FERRY - MORNING,doc_192_chunk_0,Catherine tells Bobby she's going to pick up some friends of Carl's.,Ferry dock: Bobby stops alongside Catherine and asks where she is going.
193、EXT. FERRY - MORNING,doc_192_chunk_0,Catherine tells Bobby she'll be back later.,"Ferry dock: Bobby insists on talking to her now, as cars behind them begin honking."
90、INT. DUPEA LIVING ROOM - NIGHT,doc_89_chunk_6,She gets up and starts to move away.,
90、INT. DUPEA LIVING ROOM - NIGHT,doc_89_chunk_6,"She leaves the room, with Bobby's eyes following her.",
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_0,"She stands in front of a dresser mirror, pinning up her hair, preparatory to taking a bath.",
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_0,"Her attention is drawn to... ... Bobby entering, and as he crosses to her, she quickly turns back to the mirror.",
85、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_84_chunk_3,Catherine goes on eating,
85、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_84_chunk_3,Catherine looks over at Rayette,
85、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_84_chunk_3,Catherine says thank you,
89、EXT. FERRY - MORNING,doc_88_chunk_0,Catherine at the wheel of the first car,"Ferry dock, cars are waiting to board."
89、EXT. FERRY - MORNING,doc_88_chunk_0,Catherine I'll be back later...,"Ferry dock, cars are waiting to board."
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_4,A little intimidated by his aggressivity:,
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_4,I don't find your language that charming.,
81、INT. CATHERINE'S BEDROOM - DAY,doc_80_chunk_4,I'd like you to leave now. Is that direct enough?,
93、EXT. BAYFRONT - DAY,doc_92_chunk_1,CATHERINE Yes.,
93、EXT. BAYFRONT - DAY,doc_92_chunk_1,"CATHERINE I hope it will, yes. (she pauses, then:) I'm sorry.",
83、EXT. LA ROCHE WOODS - DAY,doc_82_chunk_0,Catherine walks over a path through a thickly wooded area that presently brings her in sight of the Dupea house.,
83、EXT. LA ROCHE WOODS - DAY,doc_82_chunk_0,"Catherine, after looking at the scars and callouses accumulated by his years of manual labor, lays the hand against her cheek.",
93、EXT. BAYFRONT - DAY,doc_92_chunk_0,"Catherine and Bobby sit on a low stone wall bordering the Dupea property. Each is staring out at the ocean, and after a moment:",
93、EXT. BAYFRONT - DAY,doc_92_chunk_0,she looks at him,
82、INT. CATHERINE'S BEDROOM - DAY,doc_81_chunk_2,"She reaches over, tentatively caressing his face",
82、INT. CATHERINE'S BEDROOM - DAY,doc_81_chunk_2,CATHERINE Robert?,
82、INT. CATHERINE'S BEDROOM - DAY,doc_81_chunk_2,"CATHERINE I could spend some time with you tomorrow morning, before Carl comes back, I mean, if you'd like to.",
89、EXT. FERRY - MORNING,doc_88_chunk_2,Catherine can't hear you!,
89、EXT. FERRY - MORNING,doc_88_chunk_2,"The target character says she's sorry everything's been so confusing, but she has to go, Robert...",
89、EXT. FERRY - MORNING,doc_88_chunk_2,She pulls ahead and moves onto the ferry.,
89、EXT. FERRY - MORNING,doc_88_chunk_1,"CATHERINE No, you don't have to, it isn't necessary...",
89、EXT. FERRY - MORNING,doc_88_chunk_1,"CATHERINE No, I can't...",
89、EXT. FERRY - MORNING,doc_88_chunk_1,I haven't been being fair to Carl. I have to tell,
193、EXT. FERRY - MORNING,doc_192_chunk_2,Catherine pauses and says she can't.,
193、EXT. FERRY - MORNING,doc_192_chunk_2,Catherine states she hasn't been being fair to Carl and says she has to tell Bobby that.,
193、EXT. FERRY - MORNING,doc_192_chunk_2,Catherine says she can't hear Bobby when he speaks barely audibly.,
193、EXT. FERRY - MORNING,doc_192_chunk_2,Catherine apologizes for everything being confusing and says she has to go.,
193、EXT. FERRY - MORNING,doc_192_chunk_2,Catherine tells Bobby she'll see him later this evening.,
193、EXT. FERRY - MORNING,doc_192_chunk_2,She pulls ahead and moves onto the ferry.,
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_3,Catherine is amused.,
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_3,Catherine takes hold of Carl's hand and stands up.,
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_3,Catherine says they really don't have to go if Carl isn't feeling good.,
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_3,"Catherine agrees reluctantly with 'Oh, all right.'",
72、INT. DUPEA KITCHEN - NIGHT,doc_71_chunk_3,Catherine glances apologetically back at Bobby as they move to the door.,
