doc_title,chunk_id,description,scene_context
102、EXT. VENKMAN'S LEDGE - APPARITION,doc_101_chunk_1,"She watches the creature fly off with Oscar, then climbs back through the window assisted by Louis and Janine.",
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_6,Dana is amused and somewhat disarmed by Venkman's rapport with the baby.,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_2,"She regards him coolly, as always amused and amazed at his presumptuousness.",
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_8,taking the specimen jar,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_4,Dana follows him.,"Apartment, Venkman nosing around"
102、EXT. VENKMAN'S LEDGE - APPARITION,doc_101_chunk_0,She watches in helpless horror.,"On a ledge high above the ground, the nanny extends her hand to the baby."
2、EXT. EAST 77TH STREET - DAY,doc_1_chunk_2,finding her keys,
103、EXT. MUSEUM - NIGHT (A LITTLE LATER),doc_102_chunk_0,Dana jumps out and rushes into the museum.,"Outside the museum, Dana arrives in a taxi and enters."
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_0,Dana enters from the bedroom and crosses to the front door.,"Apartment, front door area"
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_0,She opens it and admits Ray and Egon.,"Apartment, front door area"
19、INT. UNIVERSITY - DAY (A LITTLE LATER),doc_18_chunk_0,Dana is explaining the buggy incident to EGON SPENGLER,during Egon's experiment
17、INT. MUSEUM - RESTORATION STUDIO - DAY (LATER),doc_16_chunk_3,(looks at her watch),
17、INT. MUSEUM - RESTORATION STUDIO - DAY (LATER),doc_16_chunk_3,She starts gathering up her things.,
17、INT. MUSEUM - RESTORATION STUDIO - DAY (LATER),doc_16_chunk_1,"She is carefully cleaning a 19th Century landscape painting, still preoccupied by the extraordinary near-accident with the buggy.","Room, Dana cleaning a painting and preoccupied by an extraordinary near-accident"
17、INT. MUSEUM - RESTORATION STUDIO - DAY (LATER),doc_16_chunk_1,"Dana jumps, startled by the intrusion.","Room, Janosz approaches and Dana jumps"
24、EXT. EAST 77TH STREET - DAY (LATER),doc_23_chunk_0,"Dana walks down the street with Venkman, retracing the path of the runaway buggy.","On a street, retracing the path of the runaway buggy"
19、INT. UNIVERSITY - DAY (A LITTLE LATER),doc_18_chunk_6,slightly disappointed,"At a two-way mirror, observing a little girl playing with toys."
19、INT. UNIVERSITY - DAY (A LITTLE LATER),doc_18_chunk_8,handing him a card,Conversation with Spengler
19、INT. UNIVERSITY - DAY (A LITTLE LATER),doc_18_chunk_8,She shakes his hand and exits.,Conversation with Spengler
101、EXT. WINDOW LEDGE - NIGHT (ECLIPSE) (CONTINUOUS ACTION),doc_100_chunk_0,Dana climbs out onto the ledge and starts inching slowly toward the baby.,"Ledge, Dana inching toward baby"
101、EXT. WINDOW LEDGE - NIGHT (ECLIPSE) (CONTINUOUS ACTION),doc_100_chunk_0,Then she stops as a miraculous apparition materializes.,"Ledge, Dana stops at apparition"
105、INT. MUSEUM RESTORATION STUDIO - NIGHT (SAME TIME),doc_104_chunk_1,"Startled, Dana turns at the sound of his voice as Janosz steps out from behind the Vigo painting.","Room with Vigo painting, Janosz steps out from behind the painting"
42、INT. COURTROOM - WITNESS STAND - NEXT DAY,doc_41_chunk_4,"She gives him a quick, unexpected kiss and exits.",
19、INT. UNIVERSITY - DAY (A LITTLE LATER),doc_18_chunk_5,(affectedly casual),
16、EXT. MANHATTAN MUSEUM OF ART - DAY,doc_15_chunk_0,Dana arrives carrying a portfolio and artist's tackle box and enters the museum,"Museum front steps, Dana arrives and enters"
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_1,hugging Ray,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_1,She shakes his hand,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_1,is about to close the door,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_1,Dana is caught completely off guard,
40、INT. DANA BARRETT'S APARTMENT - NIGHT (SAME TIME),doc_39_chunk_3,"She closes the door behind him and double locks it, then stands there staring into the candlelight, alone and afraid.","Dana's apartment door, after Janosz departs"
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_7,losing patience,During a conversation about baby Oscar
24、EXT. EAST 77TH STREET - DAY (LATER),doc_23_chunk_1,Dana stops at the intersection and points to the middle of the street.,"Street intersection, location of the buggy stop"
24、EXT. EAST 77TH STREET - DAY (LATER),doc_23_chunk_4,worried,
66、INT. VENKMAN'S LOFT - SAME NIGHT (LATER),doc_65_chunk_8,she picks up Oscar,
4、EXT. EAST 77TH STREET - DANA AND FRANK - DAY,doc_3_chunk_0,"She reaches for the handlebar of the buggy, but the buggy rolls forward just out of her reach and stops.",
4、EXT. EAST 77TH STREET - DANA AND FRANK - DAY,doc_3_chunk_0,"Surprised by the movement, she reaches for the handlebar again, but this time the buggy rolls away even further.",
4、EXT. EAST 77TH STREET - DANA AND FRANK - DAY,doc_3_chunk_0,"Alarmed now, Dana hurries after it, but the buggy keeps",
4、EXT. EAST 77TH STREET - DANA AND FRANK - DAY,doc_3_chunk_1,"Dana chases the buggy down the street, shouting to passing pedestrians for help",SIDEWALK
4、EXT. EAST 77TH STREET - DANA AND FRANK - DAY,doc_3_chunk_1,She puts her head down and sprints after the buggy like an Olympian.,INTERSECTION
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_4,Venkman and Dana cross to the Vigo painting.,at the Vigo painting
66、INT. VENKMAN'S LOFT - SAME NIGHT (LATER),doc_65_chunk_2,"She looks around the loft, amazed at the disorder.","Loft, after Venkman exits to the bathroom"
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_6,Dana looks disapprovingly at Venkman.,After Venkman's comment about altering the painting
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_6,Venkman and Dana cross back to her workspace.,After Janosz's farewell
40、INT. DANA BARRETT'S APARTMENT - NIGHT (SAME TIME),doc_39_chunk_2,mechanically and cautiously,
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_2,opens the bedroom door,"Bedroom, Venkman speaking through the door"
7、EXT. EAST 77TH STREET - INTERSECTION - DAY,doc_6_chunk_0,"Dana runs into the intersection and snatches up the baby. She hugs it close, deeply relieved, then looks at the buggy with the dawning awareness that the supernatural has re-entered her life.",INTERSECTION
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_3,She smiles and closes the door again.,"Dana's room, after agreeing to the dinner"
2、EXT. EAST 77TH STREET - DAY,doc_1_chunk_1,setting the wheel brakes on the buggy,at the building
2、EXT. EAST 77TH STREET - DAY,doc_1_chunk_1,continues digging in her purse,at the building
83、INT. VENKMAN'S LOFT - ENTRANCE HALL - CONTINUOUS ACTION,doc_82_chunk_2,Dana steps into the living room looking very beautiful.,"Living room, Venkman calling about sewer trip"
83、INT. VENKMAN'S LOFT - ENTRANCE HALL - CONTINUOUS ACTION,doc_82_chunk_2,Dana looks curiously at their outfits.,"Living room, looking at their outfits"
145、INT. RESTORATION STUDIO - NIGHT (CONTINUOUS ACTION),doc_144_chunk_0,"Quick as a flash, Dana seizes the moment, dashes across the studio and snatches the baby from Vigo's outstretched arms.","Studio, Ghostbusters confront Janosz, Dana snatches baby"
85、INT. ARMAND RESTAURANT - NIGHT (LATER),doc_84_chunk_0,nibbling caviar and toasting,"Elegant restaurant, sitting at table with caviar and champagne"
85、INT. ARMAND RESTAURANT - NIGHT (LATER),doc_84_chunk_0,sighs and drinks,"Elegant restaurant, after Venkman's toast"
66、INT. VENKMAN'S LOFT - SAME NIGHT (LATER),doc_65_chunk_9,feeling more relaxed and a lot safer,"Living room, after Venkman takes baby to bedroom"
98、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_97_chunk_0,Dana is stretched out on the other sofa.,"Living room, watching TV with Louis and Janine"
98、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_97_chunk_0,She hears a little CRY from the nursery and sits up.,"Living room, hearing a cry from the nursery"
98、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_97_chunk_0,She crosses to the bedroom.,"Living room, crossing to the bedroom"
90、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_89_chunk_0,Dana enters.,"Living room, Louis and Janine making out on sofa"
90、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_89_chunk_0,Dana frowns.,"Living room, after Louis says nobody called"
90、INT. VENKMAN'S LOFT - NIGHT (SAME TIME),doc_89_chunk_0,She crosses to the bedroom.,"Living room, after Dana states she will check on Oscar"
88、INT. ARMAND RESTAURANT ENTRANCE - NIGHT (CONTINUOUS ACTION),doc_87_chunk_3,the look of alarm on Dana's face,Private conversation
99、INT. VENKMAN'S BEDROOM - NIGHT (CONTINUOUS ACTION),doc_98_chunk_0,Dana enters and immediately notices that the crib is empty and the window is open.,"Room with crib, Dana discovers empty crib and open window"
99、INT. VENKMAN'S BEDROOM - NIGHT (CONTINUOUS ACTION),doc_98_chunk_0,"Frantic now, Dana rushes to the window and looks out","Room with crib, Dana discovers empty crib and open window"
105、INT. MUSEUM RESTORATION STUDIO - NIGHT (SAME TIME),doc_104_chunk_2,"Dana walks quickly to the door but suddenly Oscar flies out of her arms, floats across the room and lands lightly back in the cradle.",Inside a room
105、INT. MUSEUM RESTORATION STUDIO - NIGHT (SAME TIME),doc_104_chunk_2,"She turns and looks at Vigo, for the first time feeling his power.",Inside a room
65、INT. DANA'S APARTMENT - NIGHT,doc_64_chunk_1,Dana reaches over and turns off the water without looking into the tub.,Bathtub
65、INT. DANA'S APARTMENT - NIGHT,doc_64_chunk_1,"Still unaware, she routinely reaches over and squirts some bubble bath into the tub.",Bathtub
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_0,working on a valuable Flemish still-life by Ver Meer,"Room, Dana working on a Ver Meer painting"
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_0,glad to see him,"Room, Dana reacts to Venkman's entrance"
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_1,She jumps back into the bathroom.,Bathroom
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_1,"She comes out again, this time wearing a robe.",Bathroom
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_1,She squeezes past him into the bedroom and closes the door.,Bedroom
