doc_title,chunk_id,text,scene_context
46、INT. LADIES ROOM - SOUNDSTAGE BUILDING - DAY,doc_45_chunk_0,H-hello? Anyone there?,"Bathroom, Sidney calls out after hearing a whisper."
47、EXT. STUDIO LOT - DAY,doc_46_chunk_1,Jesus Christ Dewey help me! They tried to kill me in the bathroom! The killers!,Sidney hysterically tells Dewey and Wallace about being attacked in the bathroom by killers.
47、EXT. STUDIO LOT - DAY,doc_46_chunk_0,Shit.,"Soundstage dead end, Sidney trapped and cries out"
37、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_36_chunk_4,Absolutely.,Responding to Detective Kincaid's question.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_2,Excuse me?,In conversation with Detective Kincaid about Hollywood and death
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_2,What do you mean?,In conversation with Detective Kincaid about being haunted
40、EXT. SUNRISE STUDIO BACK LOT - DAY,doc_39_chunk_0,Thanks Karen. You be careful.,"Hugging with Karen, Sidney thanks Karen and tells her to be careful."
40、EXT. SUNRISE STUDIO BACK LOT - DAY,doc_39_chunk_0,I can see nothing's changed.,"After Gale leaves, Sidney speaks to Dewey about the unchanged situation."
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_3,"Ghosts are tough, you can't shoot ghosts.",Speaking with Detective Kincaid about ghosts
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_6,How is that good news?,Detective Kincaid and Sidney discuss the search of the soundstage.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_6,"Oh yeah, how?",Sidney asks Detective Kincaid about handling the killer.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_1,Did you request this case?,Speaking with Detective Kincaid about the case
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_1,"Must be exciting, Beautiful place, beautiful people.",Commenting on the studio environment to Detective Kincaid
37、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_36_chunk_0,"Hi, Gale. I'm glad you're all right.","Speaking with Gale, Sidney expresses relief that Gale is safe."
47、EXT. STUDIO LOT - DAY,doc_46_chunk_5,I was attacked in the bathroom.,Police investigation: Sidney reports being attacked in the bathroom.
45、EXT. SOUNDSTAGE - SUNRISE STUDIOS - DAY,doc_44_chunk_0,Listen Dewey I have to go to the bathroom.,"With Dewey and Detective Wallace, Sidney discusses going to the bathroom."
45、EXT. SOUNDSTAGE - SUNRISE STUDIOS - DAY,doc_44_chunk_0,"No I'll be ok. I've got my mace. My knife. (smiles, raises up her fists) These two lethal weapons.","With Dewey and Detective Wallace, Sidney discusses going to the bathroom."
45、EXT. SOUNDSTAGE - SUNRISE STUDIOS - DAY,doc_44_chunk_0,"No really, I'll be fine.","With Dewey and Detective Wallace, Sidney discusses going to the bathroom."
45、EXT. SOUNDSTAGE - SUNRISE STUDIOS - DAY,doc_44_chunk_0,I'll be right back.,"With Dewey and Detective Wallace, Sidney discusses going to the bathroom."
57、INT. WALLACE'S CAR - NIGHT,doc_56_chunk_0,Yeah?,"Driving in rain, Sidney answers phone and responds to killer's instructions"
38、EXT. SUNRISE STUDIOS BACK LOT - DAY,doc_37_chunk_1,"Mm, what a waste of Silicone. (a beat) What does my mother have to do with this all Dewey? We're a long way from Woodsboro.",Sidney speaks to Dewey about his mother and their distance from Woodsboro.
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_4,W-what do you want?,"In a room, Sidney responds to a threatening call from a familiar voice."
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_6,The final act? Well let's play asshole!,"Office phone call with killer, topic: Dewey Rielly"
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_6,If you lay a hand on him I'll fucking kill you!,"Office phone call with killer, topic: Dewey Rielly"
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_0,What do you know about trilogies?,Kincaid's office: Sidney and Detective Kincaid discuss trilogies and personal names.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_0,"You seem to like movies, Detective.",Kincaid's office: Sidney and Detective Kincaid discuss trilogies and personal names.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_0,"I'll call you Mark when you catch the killer, Detective.",Kincaid's office: Sidney and Detective Kincaid discuss trilogies and personal names.
56、INT. DETECTIVE KINCAID'S OFFICE - NIGHT,doc_55_chunk_3,Yes.,"In a room, Sidney agrees to go to Wallace's inner office with VOICE."
56、INT. DETECTIVE KINCAID'S OFFICE - NIGHT,doc_55_chunk_3,How do I know their voices are --,"In Wallace's inner office, Sidney questions the reality of the voices with VOICE."
35、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_34_chunk_1,Might know something,Detective Kincaid and Sidney discuss a past case involving Cotton Weary and the possibility of a third killer.
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_2,Well then the people you need to call are the police.,Speaking with a woman (O.S.) on the phone about calling the police.
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_2,"I'm sorry, your voice.","Speaking with a woman (O.S.) on the phone, having trouble hearing."
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_2,Who the fuck is this?,"Speaking with a woman (O.S.) on the phone, asking for identification."
39、INT. TRAILER - STUDIO LOT - DAY,doc_38_chunk_0,Oh MY god.,"Inside a small, cramped trailer, Sidney watches a tape with Gale, Karen, and Dewey."
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_7,Hey Detective? What's your favorite scary movie?,Sidney asks Detective Kincaid about his favorite scary movie.
49、INT. DETECTIVE KINCAID'S OFFICE - DAY,doc_48_chunk_7,Mine too.,Sidney responds alone after Detective Kincaid exits.
12、INT. SID'S OFFICE - NIGHT,doc_11_chunk_5,No. You didn't kill my mother. Billy Loomis and Stu Macher did.,"Confrontation with the voice, Sidney denies the claim about her mother's murder."
60、INT. STAB 3 SETS - NIGHT,doc_59_chunk_0,"Alright I'm here, now show your face so we can finish this.","Dark sets: Sidney answers phone, demanding the other person show their face to finish."
59、EXT. SOUNDSTAGE - STUDIO LOT - NIGHT,doc_58_chunk_0,"Alright, I'm here. Now what?","Abandoned lot, Sidney on phone with killer about Woodsboro location."
