doc_title,chunk_id,fact,scene_context
14、小曼家，日，外,doc_13_chunk_0,卢小鱼被摔倒在地上,
3、卢小鱼住处，夜，外,doc_2_chunk_0,卢小鱼居住在未安装的污水管道中。,
23、树林里，日，外,doc_22_chunk_0,卢小鱼假扮了小曼的母亲。,树林中，小曼发现卢小鱼假扮母亲。
28、小店门口，夜，外,doc_27_chunk_4,卢小鱼离开了现场。,屋子内，小曼和卢小鱼对话时
20、蔡老板家，夜，内,doc_19_chunk_0,卢小鱼发现书名是《杂交水稻学》,
2、龙凤酒楼，日，内,doc_1_chunk_7,卢小鱼站在台阶上背对龙大师。,龙大师店外台阶
17 .堕落街，夜，外,doc_16_chunk_0,卢小鱼被四人鞠躬道歉。,小曼房间
22、梅姐商铺，日，内,doc_21_chunk_0,卢小鱼被梅姐拉进商铺。,商铺内
18、小曼家门口，夜，外,doc_17_chunk_0,卢小鱼被小曼摔倒在地上。,
40、堕落街，夜，外,doc_39_chunk_6,爆米花机打在了卢小鱼身上。,插入画面
15、堕落街，日，外,doc_14_chunk_0,卢小鱼得知小曼是超凡脱俗的小公主。,台阶旁
15、堕落街，日，外,doc_14_chunk_0,卢小鱼得知只有王者才有资格追求小曼。,台阶旁
24、田间街道，夜，外,doc_23_chunk_1,卢小鱼明确知道管子正在上升,
33、卢小鱼住处，夜，外,doc_32_chunk_0,卢小鱼使哆啦A梦玩具掉落,
40、堕落街，夜，外,doc_39_chunk_7,卢小鱼离开了现场,
40、堕落街，夜，外,doc_39_chunk_5,卢小鱼胸口佩戴着'和膳集团'的胸牌。,堕落街，小曼看到卢小鱼走来时
53、发布会会场，日，内,doc_52_chunk_4,卢小鱼被黑衣人带走。,签约仪式现场
43、酒吧，日，内,doc_42_chunk_0,卢小鱼的母亲死亡,医院，卢小鱼站在病房门口
38、殡仪馆食堂，夜，内,doc_37_chunk_0,勺子伸向卢小鱼,
55、发布会会场，日，内,doc_54_chunk_1,卢小鱼用手接触辣椒酱时，感受到的疼痛比常人超百倍。,
50、医院，日，内,doc_49_chunk_0,卢小鱼的讲话在电视上播放。,打麻将场景，电视机播放卢小鱼讲话
51、发布会会场，日，内,doc_50_chunk_5,卢小鱼胸口带着护身符。,会场上
54、会场电梯，日，内,doc_53_chunk_0,卢小鱼被黑衣人带走。,电梯附近
54、会场电梯，日，内,doc_53_chunk_0,卢小鱼被扔出了门。,电梯附近
5、镜头组合,doc_4_chunk_0,卢小鱼拥有护身符。,
6、商场，夜，内,doc_5_chunk_0,卢小鱼发现卢小鱼小弟脸上全是包。,商场
8、招牌小吃，夜，内,doc_7_chunk_6,卢小鱼惊呆了。,堕落街混乱中，小男孩被接住时
27、招牌小店，夜，内,doc_26_chunk_5,卢小鱼被四把刀刺中。,
27、招牌小店，夜，内,doc_26_chunk_5,卢小鱼后背喷血。,
28、小店门口，夜，外,doc_27_chunk_2,卢小鱼将其他人打倒在地上。,插入画面
24、田间街道，夜，外,doc_23_chunk_0,卢小鱼确认了该地点是自己的住处。,
56、小曼家，日，外,doc_55_chunk_0,卢小鱼在嘴唇接触瞬间痛得栽倒在地。,阳台
56、小曼家，日，外,doc_55_chunk_0,卢小鱼在第二次接吻时痛得栽倒。,阳台
37、殡仪馆，夜，内,doc_36_chunk_0,门被锁住,殡仪馆大厅
37、殡仪馆，夜，内,doc_36_chunk_0,四大金刚朝卢小鱼扑了过来,殡仪馆大厅
51、发布会会场，日，内,doc_50_chunk_0,卢小鱼的朋友已被四大金刚背过来了。,
55、发布会会场，日，内,doc_54_chunk_5,卢小鱼晕倒在舞台上,舞台庆祝
8、招牌小吃，夜，内,doc_7_chunk_5,卢小鱼发现了黄杰瑞坐在铁板上,小店内部
8、招牌小吃，夜，内,doc_7_chunk_5,卢小鱼观察到门外一切静止,小店门口
