id,scene,question,answer,evidence,qa_type
1,寺庙广场，日，外,导游提到的君王儿子的故事内容是什么？,君王儿子被法师预言杀父，被农妇收养后起义杀君王。,导游画外音(外语)：相传很早以前，这里的君王生了一个儿子，有法师说儿子长大会杀死父亲，君王无奈打算将儿子饿死荒野，一个好心的农妇收养了这个孩子，孩子长大后率众起义杀死了君王。,dialogue/beliefs
2,2、一组镜头 牢房，日，内,李维杰为什么敲开马桶？,为了钻下去逃离牢房,李维杰走到蹲便式马桶旁，用工具敲开马桶，他钻了下去。,causal/relational queries
3,26、      平平卧室，夜，内,"在[26、      平平卧室，夜，内]中, 平平的情绪状态如何？",低声啜泣，表现出不安,平平低声啜泣,character states
4,墓地，夜，外,"在[墓地，夜，外]中, 李维杰在什么地方蹲着沉思？",宋泽恩的墓地前,李维杰蹲在宋泽恩的墓地前，抽着根烟，他蹲下身子沉思。,scene localization
5,22、      乡间小路，日，外,素察如何回应平平的请求？,素察笑着威胁要发视频。,素察笑着：你不去啊？好啊，好。那我就只好把视频发出去了。,detailed description
6,寺庙院子，日，外,僧人建议如何赎罪？,建一座鸽子飞不到顶的大塔,僧人告诉他要赎罪，只有建一座鸽子飞不到顶的大塔。,dialogue/beliefs
7,33、      李维杰家仓库，夜，内,"在[33、      李维杰家仓库，夜，内]中, 阿玉在对话中表现出什么情绪？",愤怒和绝望,阿玉猛地甩了素察一巴掌。阿玉和平平抱在一起。,character states
8,12、      李维杰家客厅，日，内,平平如何评价父亲？,小气鬼！文盲！什么都不懂！,平平：葛朗台。李维杰看向平平：谁？平平：小气鬼！文盲！什么都不懂！,dialogue/beliefs
9,下水管道，日，内,"在[下水管道，日，内]中, 李维杰在什么地方爬行？",阴暗潮湿的下水管道中,李维杰爬行在阴暗潮湿的下水管道中。,scene localization
10,9、警局走廊，日，外,拉韫如何描述离奇案件的本质？,世界上压根就没有什么离奇的案子。,仔细研究过一千个案子，你就会发现，这世界上压根就没有什么离奇的案子。,dialogue/beliefs
11,墓地，夜，外,"在[墓地，夜，外]中, 李维杰在何处沉思？",宋泽恩的墓地前,李维杰蹲在宋泽恩的墓地前，沉思。,scene localization
12,39、      一组镜头 坟地，夜，外,"在[39、      一组镜头 坟地，夜，外]中, 阿玉在墓前做什么？",双手合十并道歉,阿玉站在坟墓前，双手合十。阿玉：恩叔，对不起。,character states
13,16、      饭店，日，外,李维杰如何回应桑坤的质问？,递蚕豆并笑,李维杰递给桑坤一些蚕豆，笑着说：吃点蚕豆。,detailed description
14,寺庙，日，外,李维杰对僧人说了什么？,我来布施。,李维杰(外语)：我来布施。,dialogue/beliefs
15,16、      饭店，日，外,李维杰对老人说了什么？,建议去做伤情鉴定,李维杰走到老人身旁，凑近了说：老先生，你呢，带着孙子到医院去做伤情鉴定。,detailed description
16,17、      宴会厅，夜，内,拉韫在卧室对素察做了什么？,给素察染血的手敷药,拉韫在给素察染血的手敷药。,detailed description
17,8、警局办公室，日，内,"在[8、警局办公室，日，内]中, 拉韫在对话中处于什么行为状态？",身躯向前探去，露出面目,拉韫的身躯向前探去，露出面目。,character states
18,18、      卧室，夜，内,都彭为什么打素察？,他差点弄瞎别人的眼睛，学校已经把他开除了。,都彭：他差点弄瞎别人的眼睛，如果不是我的面了，学校已经把他开除了。,dialogue/beliefs
19,4、警局办公室，日，内,拉韫要求小黑做什么？,说吧，整件事的经过。,拉韫：说吧，整件事的经过。,dialogue/beliefs
20,墓地，日，外,"在[墓地，日，外]中, 李维杰滑燃火柴时位于何处？",荒郊野外的土坑旁,李维杰滑燃一根火柴，看到一旁的尸体模样，竟然是那黄毛的模样！！！,scene localization
21,18、      卧室，夜，内 | 20、      乡间小路，日，外 | 33、      李维杰家仓库，夜，内,素察在与平平和阿玉对峙时表现出怎样的态度变化？,素察最初表现出得意和轻佻，随后在遭到反抗时转为暴力和攻击性。,素察提到母亲是警察局局长时语气轻松得意，之后在被阿玉扇耳光后立即踹向她的腹部。,character states
22,29、      李维杰家院子，夜，外 | 31、      李维杰家仓库，夜，内 | 33、      李维杰家仓库，夜，内,素察在被阿玉警告后表现出怎样的态度和行为？,素察在被阿玉警告后表现出敌意和暴力倾向，他不仅没有退缩，反而用脚踹向阿玉的腹部，导致她和女儿摔倒在地。,阿玉警告素察远离女儿后，素察被激怒，抬脚踹向她的腹部，致使两人摔倒。,character states
23,33、      李维杰家仓库，夜，内 | 31、      李维杰家仓库，夜，内 | 33、      李维杰家仓库，夜，内,在素察用视频威胁阿玉后，阿玉对素察表现出怎样的情绪状态？,阿玉表现出愤怒和坚决的对抗状态。,阿玉甩了素察一巴掌，并在灯光亮起后厉声警告他，若再碰女儿就跟他拼命。,character states
24,10、      一组镜头 大街，日，外 | 11、      李维杰家院子/客厅，日，外 | 12、      李维杰家客厅，日，内,当安安提出想买钢琴时，李维杰最初承诺如果她考一百分就买什么，之后又改口成什么？,李维杰最初暗示会买钢琴，之后改口说买口琴。,李维杰先说考一百分就给安安买，阿玉皱眉后他改口说是口琴。,character states
25,5、一组镜头 夜店，夜，内 | 公寓房间，夜，内 | 7、一组镜头 巴颂房间，夜，内 | 巴颂房间，夜，内,为什么巴颂在房间里醒来后会立即开始挣扎？,因为小黑用绳子绑住他的脖颈并将绳子从窗户扔下，绳子突然收紧导致他被勒住脖子。,小黑用绳子绑住巴颂的脖颈并从窗户扔下绳子，随后绳子收紧勒住巴颂脖子，使他惊醒并挣扎。,causal/relational queries
26,20、      乡间小路，日，外 | 22、      乡间小路，日，外 | 26、      平平卧室，夜，内,素察用什么方式让平平感到恐惧并迫使她答应晚上去仓库见面？,素察通过展示平平昏迷时被偷拍的裸照，并威胁如果她不去仓库或向他人求助，就将照片公开，以此让她感到恐惧并迫使她服从。,素察给平平看她昏迷时的裸照，并威胁若她不去仓库或告诉别人，就将照片发出去让她身败名裂。,character states
27,16、      饭店，日，外 | 3、饭店，日，内,在桑坤威胁李维杰之后，李维杰表现出怎样的心理状态？,李维杰表现出轻蔑和不屑的心理状态。,桑坤走后，李维杰微微撇嘴，脸上露出一丝不易察觉的讥讽表情。,character states
28,17、      宴会厅，夜，内 | 18、      卧室，夜，内 | 20、      乡间小路，日，外,素察在拦下平平时表现出怎样的心理状态，这种状态如何反映他对自身家庭背景的态度？,素察在拦下平平时表现出强势且自信的心理状态，他通过透露母亲是警察局局长的身份来展示自己的特权地位，显示出他对家庭背景带来的权力感到得意并乐于利用。,素察拦住平平质问她为何不告而别，并轻笑着说他母亲是警察局局长，查住址很容易，语气轻松且带着得意。,character states
29,22、      乡间小路，日，外 | 31、      李维杰家仓库，夜，内 | 33、      李维杰家仓库，夜，内,在素察威胁平平之后，平平表现出怎样的情绪状态？,平平表现出恐惧和悲伤的情绪状态，她颤抖着摇头并哭着表示不会去仓库，之后在素察离开后捂着脸无声地哭泣。,平平颤抖着摇头，哭着说不会去，素察离开后她站在原地捂着脸无声地哭,character states
30,11、      李维杰家院子/客厅，日，外 | 12、      李维杰家客厅，日，内,当安安提出想买钢琴时，李维杰最初承诺如果她考一百分就买什么，之后又改口成什么？,李维杰最初暗示会买钢琴，之后改口说买口琴。,李维杰先说考一百分就给安安买，阿玉皱眉后他改口说是口琴。,character states
31,寺庙广场，日，外,当学生们进入寺庙大厅并看到佛像时，他们的状态是怎样的？,学生们停下脚步，静静注视着佛像，表现出安静和庄重的状态。,学生们进入寺庙大厅后停下脚步，静静注视着供奉的佛像。,character states
32,20、      乡间小路，日，外 | 22、      乡间小路，日，外 | 26、      平平卧室，夜，内 | 房间，夜，内,在素察威胁平平之后，平平为何在阿玉询问时表现出极度的恐惧和沉默？,因为平平刚被素察以裸照威胁，要求她晚上十点去仓库见面，否则就公开照片，她内心充满恐惧和无助，因此无法回应阿玉的关心。,素察以裸照威胁平平，要求她晚上十点到仓库见面，否则将照片公开，平平听后颤抖哭泣，之后在阿玉面前沉默啜泣。,character states
33,12、      李维杰家客厅，日，内 | 13、      平平房间，夜，内,在李维杰决定支持平平参加夏令营后，他对熟睡中的女儿表现出了怎样的情感状态？,李维杰对熟睡中的女儿表现出了沉默的关爱和温柔的情感状态。,李维杰深夜轻轻推开门看平平一眼，并将夏令营同意书悄悄放在柜子上，然后悄然离开。,character states
34,3、饭店，日，内,李维杰在饭店里对黄毛说出‘回公司吧’时，他的态度是怎样的？,李维杰的态度是冷静且克制的，他选择用低声劝说的方式让黄毛离开，以避免与警察发生进一步冲突。,李维杰见警察桑坤发怒后，轻声对黄毛说回公司吧，黄毛随即离开，显示出他试图平息事态。,character states
35,18、      卧室，夜，内 | 20、      乡间小路，日，外 | 22、      乡间小路，日，外,素察在威胁平平时表现出怎样的态度？,素察在威胁平平时表现出轻蔑、得意和控制欲强的态度。,素察抓住平平的头发轻蔑地笑，炫耀母亲是警察局局长，并威胁要公开她的视频来迫使她服从。,character states
