doc_title,chunk_id,text,scene_context
108、INT. DEAD RECKONING - NIGHT,doc_107_chunk_0,Fix it!,
11、EXT. DEAD RECKONING - NIGHT,doc_10_chunk_5,YEEEE-HAAAAAAAA!,
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_6,"You can go, Knipp, but not him.",
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_7,I think we should talk when you're a little less excited.,
36、INT. PENTHOUSE NUMBER-TWO - FIDDLER'S GREEN - DAY,doc_35_chunk_3,"No, I...",
11、EXT. DEAD RECKONING - NIGHT,doc_10_chunk_4,Let's go have some fun.,
11、EXT. DEAD RECKONING - NIGHT,doc_10_chunk_4,"My last day, too.",
23、EXT. UNIONTOWN STATE STORE - NIGHT,doc_22_chunk_0,Not askin' you to.,"Outside a liquor store, Cholo responds to Riley's refusal to risk lives for side money during a group stop."
116、EXT. DEAD RECKONING - HILLSIDE - NIGHT,doc_115_chunk_0,"I hate you, Riley. There's something about you I've always fucking hated.",Scene on the street where Cholo is bleeding from the shoulder; speaking to Riley before being interrupted by Slack.
47、EXT. DEPOT - NIGHT,doc_46_chunk_1,What's that?,
36、INT. PENTHOUSE NUMBER-TWO - FIDDLER'S GREEN - DAY,doc_35_chunk_7,"Hey, no problem.","Kitchen of the apartment, Cholo speaks to a security guard after dropping the poker."
31、INT. FIDDLER'S GREEN CENTRAL MALL - MORNING,doc_30_chunk_0,Essential supplies. For the man upstairs.,Checkpoint scene: Cholo DeMora speaks to a security guard while handing over weapons and boxes.
24、INT. UNIONTOWN STATE STORE - NIGHT,doc_23_chunk_3,"I'm still here, ain't I?","After being attacked by a zombie, Cholo is rescued by Riley in a store; Riley helps him up and comments on the close call."
5、EXT. DUMP - NIGHT,doc_4_chunk_1,Poor bastard.,
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_4,"hey're going to get you, Mister K. want them to get you.",
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_4,"ut it down, old man, unless you'd rather die right now.",
106、INT. DEAD RECKONING - NIGHT,doc_105_chunk_0,WHAT THE FUCK?,
106、INT. DEAD RECKONING - NIGHT,doc_105_chunk_0,"You did something, didn't you?",
106、INT. DEAD RECKONING - NIGHT,doc_105_chunk_0,With your FUCKING TOY!,
41、INT. BOARD ROOM - FIDDLER'S GREEN - DAY,doc_40_chunk_0,Dead.,A pristine white conference room with glass walls overlooking the city; Cholo responds to the Silhouetted Man's question about Uniontown.
