doc_title,chunk_id,fact,scene_context
102、INT. THEATRE BOX - NIGHT,doc_101_chunk_10,Claudia is left alone in the empty theatre with Louis.,The empty theatre after the audience has left.
105、INT. DARKENED CORRIDORS AND THEATRE - NIGHT,doc_104_chunk_0,Claudia is in the empty theatre.,"Darkened corridor, light comes on, they discover they are in the empty theatre."
132、EXT. GARDEN DISTRICT - NIGHT,doc_131_chunk_11,Claudia's ashes are in that theatre.,Final voice-over narration
189、INT. INN - SUPPER ROOM,doc_188_chunk_2,Claudia is reviving after drinking Lestat's blood.,"Lestat presses his bleeding wrist to Claudia's mouth, causing her to revive."
197、INT. PARLOUR - NIGHT,doc_196_chunk_0,Claudia's piano playing is improving rapidly.,Piano lesson: Claudia practicing scales
204、INT. CLAUDIA'S BEDROOM - NIGHT,doc_203_chunk_1,Claudia possesses a book containing a pen and ink portrait of Louis.,
204、INT. CLAUDIA'S BEDROOM - NIGHT,doc_203_chunk_0,Claudia sees Louis in the doorway.,"Room with child's coffin, Claudia writing at secretaire, sees Louis in doorway"
216、INT. DINING ROOM - NIGHT,doc_215_chunk_0,Claudia agrees to the mutual forgiveness.,"Couch with two sleeping youths, after Lestat's question about mutual forgiveness"
218、INT. FLAT - NIGHT,doc_217_chunk_7,Claudia is in the street.,Rescue from a burning house
229、EXT. STREET - SHOP WINDOW,doc_228_chunk_0,Claudia sees Madeleine painting a doll's face.,"Doll shop window, Claudia observes Madeleine inside the shop."
216、INT. DINING ROOM - NIGHT,doc_215_chunk_4,Claudia sees the vampiric blood flow all over the floor.,
230、INT. OPERA STAIRCASE,doc_229_chunk_0,Claudia is with a crowd of mortals.,
239、INT. THEATRE BOX - NIGHT,doc_238_chunk_8,Claudia is repelled by the cruelty.,On stage during a performance where Santiago makes a cruel request to the Mortal Woman.
239、INT. THEATRE BOX - NIGHT,doc_238_chunk_12,Claudia and Louis are the only two people remaining in the empty theatre.,Empty theatre after the audience has left
240、INT. FOOT OF STAIRWAY,doc_239_chunk_0,Claudia is in the underground ballroom.,underground ballroom
242、INT. DARKENED CORRIDORS AND THEATRE - NIGHT,doc_241_chunk_0,Claudia is in the empty theatre.,"Empty theatre, after light comes on"
120、INT. COFFIN,doc_119_chunk_3,The dress is Claudia's.,"Ballroom, dress identified as Claudia's."
52、INT. INN - SUPPER ROOM,doc_51_chunk_10,Claudia has vampire skin and hair.,
47、INT. HOUSE - NIGHT,doc_46_chunk_3,Claudia is unconscious.,Louis discovers Claudia unconscious with wounds on her throat.
47、INT. HOUSE - NIGHT,doc_46_chunk_3,Claudia has tiny wounds on her throat.,Louis discovers Claudia unconscious with wounds on her throat.
206、INT. FLAT - NIGHT,doc_205_chunk_2,Claudia has an angelic little boy's face with soft curls around her face.,"Parlour, Claudia cuts her hair and turns to Lestat."
67、INT. CLAUDIA'S BEDROOM - NIGHT,doc_66_chunk_1,Claudia's book contains a pen and ink portrait of Louis.,
67、INT. CLAUDIA'S BEDROOM - NIGHT,doc_66_chunk_0,Claudia sees Louis in the doorway.,"Room with child's coffin, Claudia writing at secretaire"
69、INT. FLAT - NIGHT,doc_68_chunk_1,Claudia likes the doll.,Lestat gives Claudia a doll.
70、INT. CLAUDIA'S BEDROOM,doc_69_chunk_2,Claudia is told by Louis that they are immortal and that she has always known it.,"After Lestat storms out, Louis tells Claudia they are immortal and that she has always known it."
79、INT. DINING ROOM - NIGHT,doc_78_chunk_0,Claudia agrees to forgive Lestat.,"Couch with two asleep youths and a half-eaten meal, during a forgiveness discussion."
78、INT. FLAT - NIGHT,doc_77_chunk_0,Claudia is told by Lestat that he has met someone who will make a better vampire than both of them.,"Lestat playing piano, Louis reading, Claudia enters and sits at the piano."
60、INT. PARLOUR - NIGHT,doc_59_chunk_0,Claudia is improving rapidly in her piano playing.,Piano lesson scene
81、INT. FLAT - NIGHT,doc_80_chunk_7,Claudia is in the street.,Rescue from burning house
81、INT. FLAT - NIGHT,doc_80_chunk_2,Claudia reaches the stairs.,THE HALLWAY
69、INT. FLAT - NIGHT,doc_68_chunk_3,Claudia has soft curls around her face after cutting her hair.,Parlour: Claudia cuts her hair and appears with soft curls in the mirror.
65、INT. CLAUDIA'S BEDROOM - NIGHT,doc_64_chunk_0,Claudia emerges from the child's coffin.,The flat (child's coffin area)
65、INT. CLAUDIA'S BEDROOM - NIGHT,doc_64_chunk_0,Claudia is inside Louis' coffin.,Louis' bedroom
