doc_title,chunk_id,text,scene_context
107、INT. BEDROOM - NIGHT,doc_106_chunk_0,"But most of all, we laughed when we felt closest to each other.",Voice-over during lovemaking scene
103、INT. CABIN - OUTSIDE TOILET,doc_102_chunk_1,Then you do think I'm insane.,Ted and Elaine discuss Ted's mental state after leaving the hospital.
103、INT. CABIN - OUTSIDE TOILET,doc_102_chunk_1,"(facetiously) What word would you use, Elaine?",Ted and Elaine discuss Ted's mental state after leaving the hospital.
190、INT. COCKPIT,doc_189_chunk_0,This heat's getting unbearable.,"Cockpit, Ted complains about the heat."
138、INT. HARRY'S,doc_137_chunk_7,Then what happened?,Voice-over: Ted describes Elaine joining them for a song.
135、INT. SEEDY HOTEL ROOM - NIGHT,doc_134_chunk_2,Virgin wool. Nothin' but headaches.,"Ted leaving, complaining about virgin wool."
150、INT. COCKPIT,doc_149_chunk_0,Elaine!,Ted enters and greets Elaine
150、INT. COCKPIT,doc_149_chunk_0,"Elaine, what's going on?",Ted asks Elaine about the situation
188、INT. CABIN,doc_187_chunk_1,"Mr. Salucci, listen to me.",Plane aisle: Ted speaks to Mr. Salucci while holding back a wall of passengers.
164、INT. MISSION CONTROL,doc_163_chunk_2,I'm afraid you gave the wrong speech. McCrosky. I'm not your problem. It's this ship. That computer's gone bananas.,"On the ship, Ted (V.O.) comments on McCrosky's speech and the computer."
172、INT. CABIN,doc_171_chunk_0,Check.,"Coffee machine repair scene, speaking to Mr. Coffee (V.O.)"
172、INT. CABIN,doc_171_chunk_0,It looks like the solder point has melted.,"Coffee machine repair scene, speaking to Mr. Coffee (V.O.)"
165、INT. COCKPIT,doc_164_chunk_0,Let us handle this end of things. Now what's the coffee situation?,Cabin: Ted speaks with Testa about rising temperature and coffee situation.
136、EXT. CITY STREET - NIGHT,doc_135_chunk_0,I travelled at night in the shadows. I didn't want to attract attention.,"Wet street at night, voice-over about being on the run"
136、EXT. CITY STREET - NIGHT,doc_135_chunk_0,I was afraid to step out of the doorways. You never know what to expect when you're on the run.,"Wet street at night, voice-over about being on the run"
194、INT. COCKPIT,doc_193_chunk_0,Elaine. I'm going back there.,Ted speaks to Elaine in a scene with a doctor.
188、INT. CABIN,doc_187_chunk_0,Which passenger is Joe Salucci?,Front of cabin: Ted and Mary huddle to discuss bomb threat.
188、INT. CABIN,doc_187_chunk_0,He's carrying a bomb.,Front of cabin: Ted and Mary huddle to discuss bomb threat.
188、INT. CABIN,doc_187_chunk_0,"No, a bomb. Now, as discreetly as possible, I want you to move the passengers into the lounge.",Front of cabin: Ted and Mary huddle to discuss bomb threat.
188、INT. CABIN,doc_187_chunk_0,Anything. Just don't let Salucci think we're onto him.,Front of cabin: Ted and Mary huddle to discuss bomb threat.
108、INT. CABIN - TED AND STELLA,doc_107_chunk_0,That's our story.,"On a vehicle, Ted speaks about their story to passengers."
179、INT. COCKPIT,doc_178_chunk_0,"Not now, Elaine.","Cockpit, speaking with Elaine about time until burn up"
179、INT. COCKPIT,doc_178_chunk_0,We're closer to the sun than I estimated.,"Cockpit, discussing distance to the sun"
179、INT. COCKPIT,doc_178_chunk_0,This is Striker.,"Cockpit, radio communication with Kruger"
234、INT. COCKPIT,doc_233_chunk_0,It's working.,"On the ship, Ted fixes the wiring and the ship is slowing down."
137、EXT. ANOTHER DARK STREET - CLOSEUP OF TED,doc_136_chunk_0,"There I was, minding my own business when I looked up and saw a pair of legs that went forever.",Bar scene: Ted (voice-over) narrates seeing a pair of legs.
135、INT. SEEDY HOTEL ROOM - NIGHT,doc_134_chunk_0,"Maybe you gotta be crazy to end up behind the eight ball like this. Anyway, you find out pretty fast who your friends are when you're on the lamb.","Room: Ted at window, discussing being on the lamb."
213、INT. COCKPIT,doc_212_chunk_0,We've blown the computer!,"Ship in distress, Ted on radio reporting computer failure"
213、INT. COCKPIT,doc_212_chunk_0,Elaine! Set course change!,"Ship in distress, Ted speaking to Elaine about course change"
213、INT. COCKPIT,doc_212_chunk_0,Now!,"Ship in distress, Ted urging immediate action"
213、INT. COCKPIT,doc_212_chunk_0,Here goes.,"Ship in distress, Ted preparing to accelerate"
110、INT. CABIN,doc_109_chunk_0,"They kept me in the asylum for eight months. I know everyone in those places claims they're sane, but I was different, I was sane.",Stella is feeding her father and listening to Ted discuss his time in the asylum.
35、INT. HOTEL ROOM,doc_34_chunk_0,"Next thing I know, I'm the chief test pilot for the XR-2300, NASA's first Mercury shuttle. That is, until I report she's got more flaws than the Titanic.","Ted pacing, speaking to himself about his career as chief test pilot for the XR-2300."
35、INT. HOTEL ROOM,doc_34_chunk_0,Now I'm testing old F-l8s for some crazy Generalissimo who thinks there's a commie behind every tree in the Amazon.,"Ted at the scene of a hanging, speaking about testing old F-l8s for a Generalissimo."
232、INT. COCKPIT,doc_231_chunk_0,Screw driver!,Repairing a device with Elaine; Ted asks for a screwdriver.
232、INT. COCKPIT,doc_231_chunk_0,Thanks.,Elaine offers a bobby pin; Ted thanks her.
232、INT. COCKPIT,doc_231_chunk_0,I've got something that might work.,Ted speaks on radio about having a solution.
32、INT. HOTEL ROOM - DAY,doc_31_chunk_2,"That is, until fate dropped me on the seatof my pants at the stick of a 167 intoChicago with no crew.",Ted in a park avoiding pigeons
32、INT. HOTEL ROOM - DAY,doc_31_chunk_2,It's funny how fate can make heroes out ofcowards.,Ted landing a plane in 'Airplane!'
32、INT. HOTEL ROOM - DAY,doc_31_chunk_2,Then came the job offers.,Newspaper headline about Ted and Elaine
38、INT. TERMINAL,doc_37_chunk_3,Where can I find mission control?,1st class ticket line: Ted asks agent for mission control
38、INT. TERMINAL,doc_37_chunk_3,Thanks.,1st class ticket line: Ted thanks agent after being directed to information
40、INT. ROCKET HANGAR,doc_39_chunk_6,I'm perfectly sane.,"Ted alone, muttering to himself about his sanity."
40、INT. ROCKET HANGAR,doc_39_chunk_0,Look at this wiring. It's shorting out under high temperatures.,Operation site: Ted points out wiring issue to Simon.
40、INT. ROCKET HANGAR,doc_39_chunk_0,I know you've been subtly spreading the word that I'm having a breakdown.,Operation site: Ted confronts Simon about spreading rumors of his breakdown.
41、INT. TERMINAL - OUTSIDE DRUGSTORE,doc_40_chunk_0,Elaine.,"Near a photo booth, Ted speaks to Elaine."
39、INT. TERMINAL - ANOTHER AREA,doc_38_chunk_0,Elaine.,Ted calls Elaine off-screen while she is talking to Simon.
39、INT. TERMINAL - ANOTHER AREA,doc_38_chunk_0,"That's not important now, Elaine. We have to talk.","Ted speaks to Elaine after she turns around, and Simon pulls her away."
32、INT. HOTEL ROOM - DAY,doc_31_chunk_3,The publicity.,Houston Tribune headline
32、INT. HOTEL ROOM - DAY,doc_31_chunk_3,Even the key to the City of New York.,National Enquirer headline
32、INT. HOTEL ROOM - DAY,doc_31_chunk_3,Now look at me.,Mayor handing Ted a kilo of grass
"37、EXT. TERMINAL, PASSENGER ARRIVALS - NIGHT",doc_36_chunk_2,Here's three bucks. Keep the change.,Taxi arrival: Ted pays driver $3 for a fare of 874 zillion quastavitas.
36、EXT. HOTEL MONTENEGRO,doc_35_chunk_0,Taxi!,Ted races out and shouts for a taxi after a car pile-up.
