doc_title,chunk_id,fact,scene_context
104、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_103_chunk_0,Nadia is inside the sleep-chamber.,Stairwell and sleep chamber compartment during water flood
31、INT. MESS HALL - LATER,doc_30_chunk_12,The pack follows Nadia's path through the debris.,Hunt in debris
59、INT. PROCESSING DOCK -CONT.,doc_58_chunk_2,Nadia's pace is difficult for Bower to keep up.,maze of machinery
105、INT. SLEEP CHAMBER,doc_104_chunk_3,Nadia explicitly refuses to put on the mask.,
52、INT. CORRIDOR - MOMENTS LATER,doc_51_chunk_1,Nadia is not injured.,"Weapons drawn, Nadia unaffected."
102、INT. CORRIDOR - CONT.,doc_101_chunk_10,Nadia observes Leland's dead body.,Room with Leland's dead body
59、INT. PROCESSING DOCK -CONT.,doc_58_chunk_4,Nadia silences Bower.,Crawling up slope over dead remains.
64、INT. SUB-LEVEL SHAFT - LATER,doc_63_chunk_0,Nadia is unable to budge the steel grate.,"Large silo, crawl space beneath steel grate"
95、INT. REACTOR BAY - CONT.,doc_94_chunk_0,Nadia sees hunters in the reactor bay who did not join the chase.,"reactor bay, tower trembling"
89、INT. REACTOR BAY - CONT.,doc_88_chunk_6,Nadia is clinging to the side of the reactor.,reactor side
59、INT. PROCESSING DOCK -CONT.,doc_58_chunk_3,Nadia sees a massive stack of human skeletons and carcasses.,After crawling into a pit of human remains.
53、INT. CORRIDOR ATRIUM - LATER,doc_52_chunk_0,Nadia leads the group through a long corridor.,Long corridor widening into atrium with shafts
62、INT. SLEEPING CHAMBER/MAIN CORRIDOR -- MOMENTS LATER,doc_61_chunk_2,Nadia pulls Bower back.,"Passenger emerges from hatch, Bower attempts to stand."
105、INT. SLEEP CHAMBER,doc_104_chunk_2,Nadia is in a chamber with only one foot of air remaining.,pod chamber after crash
