doc_title,chunk_id,text,scene_context
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_3,"Wait, wait, wait, I'm missing something. Why do you care about a safety deposit box?","After Johnna delivers iced tea to Bill and Barbara, Barbara speaks to Violet about a safety deposit box."
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_12,"Well, you're seeing her now.",Kitchen: Barbara and Violet discuss seeing the granddaughter.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_12,That is wildly unfair.,Kitchen: Barbara responds to Violet's accusation about her father.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_5,"Okay, what about the safety deposit box?",Kitchen: Barbara and Violet discuss the safety deposit box.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_5,And you only had Ivy call me today?,Kitchen: Barbara questions Violet about Ivy's call.
26、INT. UPSTAIRS HALLWAY - MOMENTS LATER,doc_25_chunk_0,Mom?,"At Vi's door, Barbara speaks to her mother about the sheriff."
26、INT. UPSTAIRS HALLWAY - MOMENTS LATER,doc_25_chunk_0,"Mom, wake up, the sheriff's here.","At Vi's door, Barbara speaks to her mother about the sheriff."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_7,Which room are you in?,Speaking to Charlie about room location.
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_0,I'd forgotten about the lightning bugs.,"Front steps at night, with Bill, discussing lightning bugs."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_8,"Mom, can Jean stay in the attic?",Barbara asks Violet about Jean staying in the attic.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_8,Who's Johnna?,Barbara asks Violet about Johnna after Ivy mentions her name.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_5,Did you see Bill and Jean?,Barbara asks Violet about Bill and Jean.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,So now it's okay to get hooked because you have a reason.,Bathroom: Speaking with Violet about her pain and addiction
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,"I don't want to know if you are or not, I'm just saying I won't go --",Bathroom: Speaking with Violet about her pain and addiction
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,Because of your mouth.,Bathroom: Speaking with Violet about her pain and addiction
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,Are you in a lot of pain?,Bathroom: Speaking with Violet about her pain and addiction
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_3,"My father didn't write anymore for a lot of reasons, but critical opinion was not one of them, hard as that may be for you to believe.","Confrontation with Bill about poems, her father, and Sissy."
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_3,"I'm sure that's what you tell Sissy, too, so she can comfort you, reassure you, ""No, Billy, you haven't done anything.""","Confrontation with Bill about poems, her father, and Sissy."
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_3,"They're all symptoms of your male menopause, whether it's you","Confrontation with Bill about poems, her father, and Sissy."
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_1,We have copies.,"Barbara and Bill discuss the book's condition and value (first edition, hardback, mint condition)."
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_1,It wasn't that big a deal.,Barbara disagrees with Bill's assessment of the book's significance in certain circles.
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_1,Those are small circles.,Barbara comments that the circles mentioned by Bill are small.
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_6,"The subject is me! I am the subject,
you narcissistic motherfucker! I am
in pain! I need help!","Inside, Barbara argues with a man about her pain and being the subject."
26、INT. UPSTAIRS HALLWAY - MOMENTS LATER,doc_25_chunk_1,Mom. The sheriff is here.,"Inside the house, Barbara informs Violet that the sheriff has arrived."
26、INT. UPSTAIRS HALLWAY - MOMENTS LATER,doc_25_chunk_1,What?,"Inside the house, Barbara asks Violet to clarify her unclear statement."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_1,You've encouraged that.,Yard: Barbara speaks to Bill about Jean's smoking.
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_1,"You admire her for getting hooked at fourteen, makes her seem even more mature.",Yard: Barbara speaks to Bill about Jean's smoking and maturity.
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_1,"Goddamn, it's hot.","Yard: After climbing out, Barbara speaks to Bill about the heat."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_1,You kidding? Remember the parakeets?,"Yard: Bill asks about air conditioner, Barbara responds about parakeets."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_1,"I didn't tell you about the parakeets? She got a parakeet for some insane reason, and the little fucker croaked",Yard: Barbara continues the parakeet story to Bill.
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_3,The heat. It was too hot. They were dying from the heat.,"Heading to the house with suitcases, Barbara and Bill discuss the heat."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_3,"These are tropical birds, all right? They live in the fucking tropics.","At the house, Barbara and Bill discuss tropical birds."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_3,"What, is she smoking a cigar?","By the fence, Barbara asks Bill about Jean smoking."
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_3,No. No way.,"At the house, Barbara responds to Bill's question about being ready."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,Are you high?,"Bathroom, speaking with Violet about pills and police."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,I mean literally. You taking something?,"Bathroom, speaking with Violet about pills and police."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,I will not go through this with you again.,"Bathroom, speaking with Violet about pills and police."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,These fucking pills? Calls at three AM about people in your backyard?,"Bathroom, speaking with Violet about pills and police."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,"The police, all the rest of it?","Bathroom, speaking with Violet about pills and police."
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_1,He just left...,Kitchen: Barbara and Violet discuss Beverly's absence and the man's drinking.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_1,Why would he do that? Not like he could drink at home. Unless you were riding his ass.,Kitchen: Barbara and Violet discuss Beverly's absence and the man's drinking.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_1,Really.,Kitchen: Barbara and Violet discuss Beverly's absence and the man's drinking.
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_2,So she went back and they gave her a third parakeet and that one died too. So the chick from the pet store came out here to see just what in the hell this serial parakeet killer was doing to bump off these birds.,Barbara recounts the parakeet deaths and the pet store employee's visit to investigate.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,"Ivy, I didn't see you up there.","In a room, Barbara speaks to Ivy on the stairs."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,"God, you look good. Doesn't she look good, Bill?","In a room, Barbara speaks to Bill about Violet's appearance."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,"Well... we can do that, Mom.","In a room, Barbara speaks to Violet (her mother) about helping with Beverly's things."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_4,"What am I going to do? It's okay, Mom.",Speaking to her mother about her worries.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_2,I'm not yelling at you.,Violet accuses Barbara of yelling about her cancer and Beverly's disappearance.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_2,I'm sorry... you're right. I'm sorry.,Violet accuses Barbara of not coming home for her cancer but rushing for Beverly's disappearance; Barbara apologizes.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_2,"Know where I think he is? I think he got some whiskey, a carton of cigarettes, and a couple of good spy novels... I think he got out on the","Barbara kneels and takes her mother's hand, then says she thinks he left with whiskey, cigarettes, and spy novels."
32、INT. RENTAL CAR (MOVING) - EARLY MORNING,doc_31_chunk_2,"Listen to me: die after me, all right? I don't care what else you do, where you go, how you screw up your life, just... survive. Outlive me, please.",Car stop: Barbara speaks to Jean about surviving after her.
29、INT. WESTON GIRL'S BEDROOM - PRE-DAWN,doc_28_chunk_0,I guess we'll stop on the way.,"In a room, Barbara speaks with Jean about stopping to see Aunt Ivy."
29、INT. WESTON GIRL'S BEDROOM - PRE-DAWN,doc_28_chunk_0,"Christ, I need to call Karen, too.","In a room, Barbara speaks with Jean about stopping to see Aunt Ivy."
29、INT. WESTON GIRL'S BEDROOM - PRE-DAWN,doc_28_chunk_0,Why the fuck am I brushing my hair?,"In a room, Barbara speaks with Jean about stopping to see Aunt Ivy."
39、INT. BEVERLY'S LINCOLN (MOVING) - AFTERNOON,doc_38_chunk_0,uh-huh,"In a car, Barbara responds to Karen's story about pregnancy."
40、INT. WESTON HOUSE STAIRWAY/UPSTAIRS HALL - AFTERNOON,doc_39_chunk_3,What's the kicker?,Karen announces honeymoon to Belize; Barbara asks for the catch.
40、INT. WESTON HOUSE STAIRWAY/UPSTAIRS HALL - AFTERNOON,doc_39_chunk_3,Sorry. Hot flash.,Barbara explains her hot flash after using the fan.
30、INT. LIVING ROOM - PRE-DAWN,doc_29_chunk_1,"Right here, Mom...","In a room, Violet calls for Barbara and Barbara responds."
32、INT. RENTAL CAR (MOVING) - EARLY MORNING,doc_31_chunk_0,In high school. He was my prom date.,"Car ride: Barbara and Jean in back seat, discussing the sheriff as her high school prom date."
32、INT. RENTAL CAR (MOVING) - EARLY MORNING,doc_31_chunk_0,"Day of the prom, his father got drunk and stole his car, stole his own son's car, went somewhere, Mexico. Deon showed up at the door. He'd been crying. Confessed he didn't have a way to take me to the prom.","Car ride: Barbara and Jean in back seat, discussing the sheriff as her high school prom date."
32、INT. RENTAL CAR (MOVING) - EARLY MORNING,doc_31_chunk_1,"So we got a six-pack and broke into the chapel, stayed up all night talking and kissing. Now here he is, showing me (fights her emotions) It's so surreal. Thank God we can't tell the future.",Brush-strewn cove with emergency vehicles; Barbara speaks to an unnamed person about a past night in the chapel.
5、INT. BARBARA'S BEDROOM - DAY,doc_4_chunk_1,...When...?,"Barbara at window, Jean passes by and stops to watch."
31、EXT. SKIATOOK LAKE ROAD - DAWN,doc_30_chunk_0,I used to go out with that boy.,"Country road, high above, following Sheriff cruiser; Barbara (off-screen) discusses a past relationship."
31、EXT. SKIATOOK LAKE ROAD - DAWN,doc_30_chunk_0,That man.,"Country road, high above, following Sheriff cruiser; Barbara (off-screen) discusses a past relationship."
