doc_title,chunk_id,fact,scene_context
43场，教员宿舍，夜,doc_45_chunk_3,焕清开心起来了,众人苦笑着，焕清见笑后开心起来。
43场，教员宿舍，夜,doc_45_chunk_4,林焕清陷入回忆,
68场，火车内外，日,doc_78_chunk_0,林焕清听不见。,暴民询问妇人时
55场，小上海内外，日,doc_61_chunk_2,林焕清已返回家中。,阿公家，焕清归来后与家人团聚。
71场，台金医院，日,doc_82_chunk_0,林焕清在病床上。,医院病房
18场，静子宅，夜,doc_19_chunk_0,焕清听不见静子的说话内容。,静子宅，静子向焕清说话时
8场，金瓜石照相馆内外，日,doc_9_chunk_0,林焕清收到了一封信。,
31场，照相馆，夜,doc_33_chunk_0,焕清不理解三嫂的比划。,屋内里侧，三嫂比划钞票手势时
31场，照相馆，夜,doc_33_chunk_0,焕清理解了三嫂的比划。,屋内里侧，三嫂解释三哥要钱时
43场，教员宿舍，夜,doc_45_chunk_2,音乐响了起来。,
43场，教员宿舍，夜,doc_45_chunk_2,所有人看向林焕清。,
30场，宽美宿舍，夜,doc_32_chunk_0,林焕清与院长进行了长时间的笔谈,台金医院，黄昏时分
30场，宽美宿舍，夜,doc_32_chunk_0,林焕清的笑声被同事美菊听见,台金医院，黄昏时分
32场，酒家连烟寮，接前场,doc_34_chunk_2,林焕清借给三嫂钱。,房间内，三嫂将钱放在小茶几上并提及向林焕清借款。
72场，山坡，日,doc_83_chunk_0,林焕清处于虚弱状态。,山坡上
78场，监狱内，晨至日,doc_90_chunk_0,林焕清的身份是军人。,牢房内，门又开后
82场，小上海内外，日,doc_97_chunk_0,林焕清获知了大哥提议为他开设照相馆。,屋内，大哥与焕清交谈期间
87场，台金医院，晚上,doc_102_chunk_0,林焕清喜极而泣,医院病床旁，婴儿被展示
