scene,question,answer,evidence,qa_type
64、EXT. POLICE PRECINCT - DAY,How does Randolph respond to being called the most hated man in America?,"He calls it a badge of honor, stating the average citizen is a fuckin' Neanderthal.","RANDOLPH: In a country like this, where your average citizen is a fuckin' Neanderthal, I wear it as a badge of honor.",dialogue/beliefs
9、INT. STOKES' OFFICE - DAY,"In [9、INT. STOKES' OFFICE - DAY], What is Nora's emotional state when discussing Rainbow Randolph?","Frustrated and angry, with violent fantasies.",Nora kicks the table in frustration and vows to strangle Rainbow Randolph.,character states
66、INT. STUDIO C - CONTINUOUS ACTION,What belief does Smoochy express about the world?,The world is just props and scenery.,That pretty world you think you know is just props and scenery.,dialogue/beliefs
51、INT. SQUAD CAR - CONTINUOUS ACTION,"In [51、INT. SQUAD CAR - CONTINUOUS ACTION], What happens to the Smoochy costume?",It is set on fire and burns to ashes.,BLACK LIMBO The Smoochy costume is in flames. It slowly burns to ashes.,objects/props
62、INT. ANGELO'S APARTMENT - NIGHT,What does Randolph say when he wakes up after the door pounds?,"I'm trying to sleep, asshole! Read the fucking meter some other time!","RANDOLPH
I'm trying to sleep, asshole!
Read the fucking meter some other
time!",dialogue/beliefs
63、EXT. TIMES SQUARE - SERIES OF DISSOLVES - BEFORE DAWN,What does the headline claim about Smoochy and Smiley?,"Smoochy is set up, and Smiley is behind a Nazi plot",SMOOCHY SET UP - SMILEY BEHIND NAZI PLOT,dialogue/beliefs
61、INT. SPINNER DUNN'S - NIGHT,What does Spinner believe about Smoochy?,He believes Smoochy didn't do the things they say and isn't a Nazi.,SPINNER: 'He never woulda done the things they say he done. He ain't no Nazi. Someone's making stuff up.',dialogue/beliefs
4、INT. TELEVISION STUDIO - DAY,What action is Randolph Smiley performing during the show?,Dances through Rainbowland with the Krinkle Kids,RANDOLPH SMILEY... dances through Rainbowland with the 'Krinkle Kids',detailed description
7、INT. TELEVISION STUDIO - DAY,Why are workers sweeping up glittery 'magic Rainbow dust'?,To clean up after dismantling the Rainbow Randolph/Krinkle Kid set,Workers with push brooms sweep up tons of glittery 'magic Rainbow dust.',causal/relational queries
60、INT. NORA'S LIVING ROOM - EVENING,What does Randolph believe about Mopes?,"Randolph believes Mopes is a Nazi, evil, and possibly gay.",The public is clamoring for me! I'm a fucking patriot! Mopes is a Nazi! He's evil! He's probably even gay!,dialogue/beliefs
11、INT. RECEPTION AREA - SHORT WHILE LATER,What is inside the shopping bag Sheldon carries?,Smoochy's head,carries a large shopping bag which holds Smoochy's head,detailed description
13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN),"In [13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN)], What is Randolph's emotional state during his conversation with Stokes?",Desperate and pleading for help,"Randolph suddenly breaks down. RANDOLPH (pleading)... I'm in deep, deep shit.",character states
19、EXT. PATSY'S - CONTINUOUS ACTION,"In [19、EXT. PATSY'S - CONTINUOUS ACTION], What role does Randolph claim for Burke?",He claims Burke is his agent.,You're my agent! Or did you forget that?,character states
43、INT. CORPORATE PENTHOUSE - NIGHT,Why does Nora apologize to Sheldon?,Because she was harsh in their previous conversation.,NORA I may have been a little harsh when we spoke the other day.,causal/relational queries
50、EXT. TIMES SQUARE - NIGHT,Why does the president condemn Smoochy?,Because he is associated with fascist activities.,President Condemns 'Smoochy the Fascist',causal/relational queries
38、INT. SPINNER DUNN'S - EVENING,Why does Sheldon tear the contract?,Because he opposes ice shows as mindless spectacles.,Sheldon's statement about ice shows representing everything he's against.,causal/relational queries
