doc_title,chunk_id,fact,scene_context
11、INT. POLICE DEPARTMENT,doc_10_chunk_0,Walter is photographed against a baby-blue background.,
110、EXT. WALTER'S APARTMENT - NIGHT,doc_109_chunk_1,Walter physically attacks Candy by smashing him in the face and continuing with full-force assault.,
109、EXT. PARK - DAY,doc_108_chunk_3,"Walter confirms that he was sent far away in the past and, upon returning, found that all his friends were gone.",
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_3,The target character confirms he is moving in with his girlfriend.,Scene: Lucas visits Walter's residence; conversation occurs amid packing boxes.
20、INT. OFFICE - NIGHT,doc_19_chunk_0,Walter confirms that he is taking his medication.,"Scene set in a small windowless office, during a conversation with a man off-screen and Rosen present."
109、EXT. PARK - DAY,doc_108_chunk_2,The target character learns the girl's name is Robin.,
109、EXT. PARK - DAY,doc_108_chunk_2,The target character is informed that the girl will be twelve years old in three months.,
31、EXT. WAREHOUSE - DUSK,doc_30_chunk_0,Walter accepts a ride from Vicki after initially declining.,Parking lot scene: Walter gets into Vicki's Jeep after hesitating and seeing no bus approaching.
53、INT. WALTER'S APARTMENT - NIGHT,doc_52_chunk_4,The target character requests to see his sister and Anna in person.,
53、INT. WALTER'S APARTMENT - NIGHT,doc_52_chunk_0,Walter is the designer of the table.,The apartment: Walter examines the table and states it is his own design.
49、INT. WALTER'S BEDROOM - MORNING,doc_48_chunk_4,The target character states that he was sentenced to twelve years in prison.,"Dialogue with Vicki, during which the seriousness of his past is revealed."
109、EXT. PARK - DAY,doc_108_chunk_10,The target character rejects the request to have Robin sit on his lap.,Scene where Robin asks Walter if she can sit on his lap and he slides away.
109、EXT. PARK - DAY,doc_108_chunk_10,The target character instructs Robin to go home.,Scene where Walter tells Robin it is getting dark and she should leave.
22、INT. PHARMACY - NIGHT,doc_21_chunk_1,Walter successfully obtains his medication after demanding it from the pharmacists.,"Pharmacy scene: Walter insists on receiving his prescription, leading to the male pharmacist filling it."
22、INT. PHARMACY - NIGHT,doc_21_chunk_1,Walter causes a shopper to leave the pharmacy by threatening violence if his prescription is not filled.,"Pharmacy scene: After Walter's threat, the nearby shopper reacts with alarm and quickly exits."
64、INT. OFFICE SPACE,doc_63_chunk_1,Walter was convicted in 1988 for five counts of sexual abuse of minors.,"Notification page displayed on the computer screen, viewed by Mary-Kay."
64、INT. OFFICE SPACE,doc_63_chunk_1,Walter has been released from custody.,"Notification page displayed on the computer screen, viewed by Mary-Kay."
75、INT. WALTER'S APARTMENT -,doc_74_chunk_2,Walter gives a carving to Vicki.,
75、INT. WALTER'S APARTMENT -,doc_74_chunk_2,Walter creates a carving from cedar wood.,
75、INT. WALTER'S APARTMENT -,doc_74_chunk_2,Walter intends the carving as a gift for Vicki.,
73、INT. WALTER'S KITCHEN - NIGHT,doc_72_chunk_2,The target character decides to end the relationship.,"Scene: At the dinner table, Walter declares he wants to call it quits."
73、INT. WALTER'S KITCHEN - NIGHT,doc_72_chunk_2,The target character expresses satisfaction after the partner leaves.,"Scene: After Vicki exits, Walter states he is glad the relationship has ended."
80、INT. ROSEN'S OFFICE - NIGHT,doc_79_chunk_4,The target character is in his bed with his sister while she is sleeping.,
80、INT. ROSEN'S OFFICE - NIGHT,doc_79_chunk_4,The target character is approximately six years old.,
80、INT. ROSEN'S OFFICE - NIGHT,doc_79_chunk_4,The target character has a sister who is approximately four years old.,
76、INT. WAREHOUSE LOCKER ROOM - DAY,doc_75_chunk_0,Walter discovers a defaced magazine ad inside his locker with a threatening message.,Locker room scene: Walter opens his locker and finds a circled and crossed-out image with the words 'WE'RE WATCHING YOU'.
76、INT. WAREHOUSE LOCKER ROOM - DAY,doc_75_chunk_0,Walter removes the threatening message from inside his locker.,"Locker room scene: After discovering the defaced ad, Walter tears it down."
83、INT. WALTER'S BEDROOM - EARLY MORNING,doc_82_chunk_3,"The target character narrates the outcome of an interaction between Candy and a boy, declaring 'Round one to Candy.'","Scene involving a street encounter between Candy and a boy, observed by the target character via voice-over."
83、INT. WALTER'S BEDROOM - EARLY MORNING,doc_82_chunk_3,"The target character narrates the outcome of a second interaction, declaring 'Round two goes to the cherub.'","Scene continuing the street encounter, with the boy (referred to as 'the cherub') responding to Candy's actions."
83、INT. WALTER'S BEDROOM - EARLY MORNING,doc_82_chunk_3,The target character observes and narrates that the boy gets in the car.,"Scene in which the boy crosses the street and enters Candy's Volvo, confirmed by the target character's voice-over with emphasis on the event."
