id,scene,question,answer,evidence,qa_type
1,八十、派出所，夜,三兔对抓梁小武的看法是什么？,我觉得是一件大快人心的事，像梁小武这样的害群之马，就应该抓起来。,三兔：我觉得是一件大快人心的事，像梁小武这样的害群之马，就应该抓起来。,dialogue/beliefs
2,二十二、厢房里，夜,"在[二十二、厢房里，夜]中, 小武在对话中的情绪状态如何？",愤怒且感到被轻视,你他妈看不起我...你他妈变了,character states
3,六十二、小武家，黄昏,"在[六十二、小武家，黄昏]中, 母亲收到戒指时的情绪如何？",怀疑和不信任,你又来哄我了,character states
4,二十三、小酒馆，夜,"在[二十三、小酒馆，夜]中, 小武在小酒馆的情绪状态如何？",愤怒，威胁要砸电视,小武：关了，关了！再不关我可砸了！,character states
5,二十三、小酒馆，夜,"在[二十三、小酒馆，夜]中, 老板关电视时的情绪状态如何？",无奈，扫兴地关电视,老板扫兴地关上了电视,character states
6,三十三、回春药店傍院（原剧本，实拍时删去）,小武拧电启火后发生了什么？,灯管还没全亮，蓝光使小武的脸变得苍白。,灯管还没全亮，蓝光使小武的脸变得苍白。,causal/relational queries
7,五十三、梦巴黎歌厅,小武如何对胡梅梅的头发吐烟？,将她的头按在自己的膝盖上并吐烟,小武把胡梅梅的头按在自己的膝盖上，对她的头发里吐了一口烟，烟慢慢从胡梅梅头发里冒出来，好像着火了一样。,detailed description
8,十八、邮局，天刚黑,"在[十八、邮局，天刚黑]中, 郝有亮的情绪状态如何？",陷入沉思,郝有亮陷入沉思中,character states
9,二十、药店里，夜,"在[二十、药店里，夜]中, 小武为什么急着要钱？",小武急着要钱因为要给小勇结婚送礼。,小武：我急着要钱。...小武：小勇明天结婚，我得给他上点儿礼。,character states
10,五十七、梦巴黎歌厅，夜,中年男人如何表达不耐烦？,甩着钥匙圈,中年男人在一边不耐烦地甩着钥匙圈。,detailed description
11,三十二、发廊外，傍晚,胡梅梅为什么在小武脸上亲了一口？,为了结束对话并离开,胡梅梅走过来，看看四下没人便在小武脸上亲了一口。我得回歌厅去了，有空来找我。,causal/relational queries
12,十七、街口的信箱旁，夜晚(实拍时删去),"在[十七、街口的信箱旁，夜晚(实拍时删去)]中, 小武在塞身份证时的状态如何？",迅速且谨慎,看看四下没有人注意，从兜里掏出五六个身份证，迅速塞进了邮筒,character states
13,二十、药店里，夜,"在[二十、药店里，夜]中, 更胜对小武的要求有何反应？",更胜情绪激动，担心小武的安全。,更胜情绪激动：不知道这两天紧吗？你怎么又去弄了？,character states
14,十六、僻静的小巷，傍晚,"在[十六、僻静的小巷，傍晚]中, 小武从公共厕所出来后的行为状态如何？",吹着口哨沿着胡同向大街走去,小武吹着口哨从公共厕所(实拍时改为将身份证投入街边信箱)里出来了，沿着胡同向大街走去。,character states
15,六十二、小武家，黄昏,"在[六十二、小武家，黄昏]中, 梁长有的身份是什么？",三代贫农,咱们家三代贫农,character states
16,八十二、街道上，上午（实拍时删去）,郝有亮对小武说了什么？,我进去有点事，你等我一下。,郝有亮带着小武去看守所，走到一家电器店门前，郝有亮：我进去有点事，你等我一下。,dialogue/beliefs
17,五十九、胡梅梅家院子里，中午,小武在院子里做什么动作？,烦躁地玩着口袋里的硬币,小武烦躁地玩着口袋里的硬币，站在院子里喊道：胡梅梅、胡梅梅！,detailed description
18,五十四、饭店里，白天（实拍时增加的场次）,小武在饭店里如何与他人互动？,在酒桌间穿行，与每个人碰杯并饮尽每杯酒,小武在饭店里的酒桌里穿行而过，他和每一个人都碰杯，每一杯都～饮而尽,detailed description
19,靳小勇家院门外，下午,三只手在文中指什么？,小偷或过去的职业,靳小勇：...当过三只手。,terminology/abbreviation/concept
20,七十七、街头闹市，黄昏,买东西的男人说了什么？,抓小偷，抓小偷！,买东西的男人：抓小偷，抓小偷！,dialogue/beliefs
21,一、洪南村外公路边，上午 | 三、汾阳县城西门口，上午 | 七、鼓楼底边。小吃摊里，上午,小武为什么要求权有立刻找回被扔掉的身份证？,因为失主是更胜的朋友，小武担心这会带来麻烦。,小武说失主是更胜的朋友，因此需要尽快找回身份证以避免可能的麻烦。,causal/relational queries
22,四十四、胡梅梅屋，下午 | 四十六、回春药店，下午,小武为什么向更胜要热水袋？,因为胡梅梅肚子疼，提到想要一个热水袋来缓解不适。,胡梅梅说肚子疼，提到要是有个热水袋就好了，小武因此去药店找更胜要热水袋。,causal/relational queries
23,十九、更胜的药店外，夜 | 四十六、回春药店，下午,小武在药店关门后仍能进入，他当时的状态是什么？,小武当时是擅自进入药店的，因为他发现门只是虚掩着，便顺势推开门走了进去。,药店已经挂上门板但门未关紧，小武推了推发现虚掩，便推开进入。,character states
24,十、回春药店，下午 | 九、街上，中午,在执法人员宣布拆迁后，小武离开药店前经历了哪些情绪和社交状态的变化？,小武最初回避郝有亮的注视，表现出尴尬和沉默，在被劝告后仍保持克制，最终选择低调离开。,小武一开始装作没看见郝有亮，脸上露出尴尬神情，没多说话，随后把孩子还给更胜并随意打招呼后离开。,character states
25,三十五、电影院前，下午 | 三十六、汾杏商场二楼，下午 | 四十三、志新街，下午 | 七、鼓楼底边。小吃摊里，上午 | 四、县城中央街道，上午,小武为什么要求权有立刻找回被偷走的身份证？,因为身份证的失主是更胜的朋友，小武答应了更胜帮忙寻找。,小武说失主是更胜的朋友，而更胜曾请求小武帮忙找回身份证。,causal/relational queries
26,三十六、汾杏商场二楼，下午 | 四十三、志新街，下午,小武看到三兔和女孩一起进入巷子后，内心可能产生了怎样的情绪状态？,小武可能感到失落或被排斥，因为他默默注视着三兔和女孩离开，直到他们消失在巷口。,小武一直盯着三兔和女孩，直到他们走进巷子看不见为止，表现出他对此情景的关注和情绪波动。,character states
27,四十七、胡梅梅往处，下午,胡梅梅在唱歌时表现出怎样的情绪状态，以及她是如何反应的？,胡梅梅在唱歌时情绪投入，声音中带有伤感，逐渐流下眼泪，最后把脸埋进被子里。,她唱得很投入，声音里带着情绪，渐渐流下眼泪，最后把脸埋进被子里。,character states
28,十六、僻静的小巷，傍晚 | 二十九、汾阳市场，下午（实拍时修改） | 三十二、发廊外，傍晚,在胡梅梅亲吻小武后，小武表现出怎样的情绪状态？,小武表现出震惊和呆滞的情绪状态。,胡梅梅亲吻小武后，小武愣在原地，没有反应。,character states
29,四、县城中央街道，上午 | 十、回春药店，下午 | 九、街上，中午,在小武把身份证交给更胜后，更胜对小武表达了怎样的态度和建议？,更胜提醒小武最近风声紧，劝他先别再做那些事，并建议他学着做买卖，认为现在做买卖只要有胆子就行。,更胜接过身份证后提醒小武风声紧，劝他收手，别再做那些事，并建议他学做生意，提到只要有胆子就能做买卖。,character states
30,十、回春药店，下午 | 四十六、回春药店，下午,郝有亮在药店见到小武时，基于什么具体观察劝他该正经做事？,郝有亮看到小武在药店抱着孩子，联想到他目前的处境，并对比靳小勇已经成家立业、准备盖楼，因此劝他该正经做点事。,郝有亮看见小武抱着孩子，提到靳小勇成家立业并准备盖楼，劝小武也该正经做事。,character states
31,四十六、回春药店，下午,更胜在小武提出要帮忙搬家时表现出怎样的态度？,更胜婉拒了小武的帮忙，让他不用操心，专心忙自己的事。,更胜摆摆手，让小武忙自己的事就行。,character states
32,三十、街头电话亭，下午 | 三十二、发廊外，傍晚,在胡梅梅亲吻小武并告别时，小武的情绪状态如何表现？,小武在胡梅梅亲吻他后愣在原地，没有做出反应，表现出一种惊讶或不知所措的情绪状态。,胡梅梅亲吻小武后，小武愣在原地，没有反应。,character states
33,二十三、小酒馆，夜 | 二十四、靳小秀家厢房，夜,当小武在小酒馆看到为靳小勇点播的《心雨》时，他的情绪状态如何表现？,小武表现出低落和沉默的情绪状态，他低下头喝着闷酒，没有说话。,小武没有说话，低下头继续喝酒，且在歌曲播放时低头喝着闷酒。,character states
34,十、回春药店，下午,为什么郝有亮劝小武该正经做事时，小武会露出尴尬的神情？,因为郝有亮提到了小武的现状和靳小勇已经成家立业并准备盖楼的对比，使小武感到难堪。,郝有亮提到小武的处境，并对比靳小勇成家立业、准备盖楼，劝小武也该正经做事，小武因此露出尴尬神情。,causal/relational queries
35,七、鼓楼底边。小吃摊里，上午 | 十、回春药店，下午,小武为什么坚持让权有立刻找回被扔掉的身份证？,因为身份证的失主是更胜的朋友，小武担心事情闹大对大家不利。,小武说失主是更胜的朋友，因此需要尽快找回身份证以避免牵连。,causal/relational queries
