doc_title,chunk_id,description,scene_context
3. 镇里，日，外,doc_2_chunk_0,严守一推车走,
33. 车厢内，日，内,doc_32_chunk_0,严守一和费墨都笑了起来。,
12. 小区，日，外,doc_11_chunk_0,严守一开车回来,
31. 市立戏剧学院大门内，日，外,doc_30_chunk_0,严守一正在弄着相机,结业留念拍照现场
31. 市立戏剧学院大门内，日，外,doc_30_chunk_0,严守一调好相机，连忙走过来，站在沈雪旁边,结业留念拍照现场
4. 邮局，日，内,doc_3_chunk_0,严守一挤到了电话最前面。,电话亭，老头准备下班
4. 邮局，日，内,doc_3_chunk_0,严守一回头看表嫂。,电话亭，老头准备下班
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_0,严守一在座位上低头弄着手机。,第三期主持人台词短训班课堂，开课第一天
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_0,严守一回头招呼。,第三期主持人台词短训班课堂，开课第一天
30. 卧室，夜，内,doc_29_chunk_2,严守一只好把手机给于文娟。,
30. 卧室，夜，内,doc_29_chunk_2,严守一不坑声。,
30. 卧室，夜，内,doc_29_chunk_2,严守一避开于文娟的眼光。,
30. 卧室，夜，内,doc_29_chunk_2,严守一看着短信不作声。,
26. 公路上，夜，外,doc_25_chunk_0,严守一开着车往家里赶。,
26. 公路上，夜，外,doc_25_chunk_0,左手握方向盘，右手拿起手机，开机。,
26. 公路上，夜，外,doc_25_chunk_0,严守一把衣服后面的帽子翻上来，套在头上。,
26. 公路上，夜，外,doc_25_chunk_0,严守一打武月的手机。,
26. 公路上，夜，外,doc_25_chunk_0,把手机挂了。,
40. 15     屋内，夜，内,doc_39_chunk_0,严守一低着头，点了下。,炕上
40. 15     屋内，夜，内,doc_39_chunk_0,严守一不住地点点头。,炕上
40. 15     屋内，夜，内,doc_39_chunk_0,严守一默默往后倒，又拾起身子，仍然低着头。,炕上
2. 门前土路，日，外,doc_1_chunk_0,严守一把自行车撑好，用布子拍打灰尘。,
2. 门前土路，日，外,doc_1_chunk_0,严守一自己先跨上去，斜着车子，左脚撑着地。,
2. 门前土路，日，外,doc_1_chunk_0,严守一脚蹬了几下地，晃晃悠悠地骑着自行车。,
2. 门前土路，日，外,doc_1_chunk_0,严守一带着表嫂沿着山路向镇里骑去。,山路
27. 小区内，夜，外,doc_26_chunk_0,开车回来，停好，打开车门，准备下车，又想到了什么。关上车门，掏出手机，删除武月的信息。,
17. 教室，日，内,doc_16_chunk_0,严守一走近沈雪,
17. 教室，日，内,doc_16_chunk_0,从兜里拿出一张纸来，递向沈雪,
17. 教室，日，内,doc_16_chunk_0,严守一一把夺过沈雪的外衣，退了一步,
17. 教室，日，内,doc_16_chunk_0,严守一进了一步,
17. 教室，日，内,doc_16_chunk_0,严守一立刻把检查放在沈雪的外衣上，把外衣和检查双手递给沈雪,
29. 严守一家，夜，内,doc_28_chunk_0,严守一推门进来，换鞋，向里面看。,
29. 严守一家，夜，内,doc_28_chunk_0,严守一走了过来，从于文娟面前经过。,
29. 严守一家，夜，内,doc_28_chunk_0,严守一脱掉外衣。,
30. 卧室，夜，内,doc_29_chunk_3,合上手机，不吭声,
30. 卧室，夜，内,doc_29_chunk_3,看了看于文娟，又低下头，慢慢地走近沙发，开始脱衣服,
30. 卧室，夜，内,doc_29_chunk_3,脱了一件，看了看于文娟,
30. 卧室，夜，内,doc_29_chunk_3,慢慢地脱下内衣,
30. 卧室，夜，内,doc_29_chunk_3,静静地站在原地不动，背对着于文娟,
30. 卧室，夜，内,doc_29_chunk_4,严守一的手里拿着他们的结婚戒指,街道办事处
30. 卧室，夜，内,doc_29_chunk_4,他给于文娟打过许多次电话,
41. 路上，日，外,doc_40_chunk_0,严守一临走的时候又给老家装了一部电话,
41. 路上，日，外,doc_40_chunk_0,严守一给费墨捎来一袋红枣,
33. 车厢内，日，内,doc_32_chunk_2,看着费墨,场景12
33. 车厢内，日，内,doc_32_chunk_2,笑着不语，把头转向窗外,场景12
33. 车厢内，日，内,doc_32_chunk_2,点头,场景12
33. 车厢内，日，内,doc_32_chunk_2,用双手比划着,场景12
18. 小树林，夜，外,doc_17_chunk_0,抬起身，往车外看,公路旁边的小树林
18. 小树林，夜，外,doc_17_chunk_0,回头看了看武月,公路旁边的小树林
18. 小树林，夜，外,doc_17_chunk_0,哎呦叫了一声,公路旁边的小树林
33. 车厢内，日，内,doc_32_chunk_1,严守一按了应答键。,
30. 卧室，夜，内,doc_29_chunk_1,严守一回头，嗯了一声，边脱衣服边看着于文娟。,
30. 卧室，夜，内,doc_29_chunk_1,严守一定了定,
30. 卧室，夜，内,doc_29_chunk_1,严守一脱下一件衣服，走道沙发跟前，放下,
30. 卧室，夜，内,doc_29_chunk_1,严守一从裤兜力掏出手机,
30. 卧室，夜，内,doc_29_chunk_1,严守一不耐烦,
11. 公路上，日，外,doc_10_chunk_0,两人沉默。,场景4：收费站
11. 公路上，日，外,doc_10_chunk_0,严守一掏钱的过程中发觉没带手机。,场景4：收费站
11. 公路上，日，外,doc_10_chunk_0,严守一开动车子继续向前，很快又在路边停下。,场景4：路边
28. 严守一家，夜，内,doc_27_chunk_0,推开门,
28. 严守一家，夜，内,doc_27_chunk_0,进来,
28. 严守一家，夜，内,doc_27_chunk_0,停下,
28. 严守一家，夜，内,doc_27_chunk_0,拉开衣服链子,
28. 严守一家，夜，内,doc_27_chunk_0,低头往里面闻了闻。,
28. 严守一家，夜，内,doc_27_chunk_0,站定,
28. 严守一家，夜，内,doc_27_chunk_0,眼睛动了动,
28. 严守一家，夜，内,doc_27_chunk_0,镇静下来。,
14. 有一说一演播室，日，内,doc_13_chunk_0,严守一从座位上站起来，向前走了几步,节目录制前
14. 有一说一演播室，日，内,doc_13_chunk_0,严守一鞠躬完毕,正式开始录制节目
14. 有一说一演播室，日，内,doc_13_chunk_0,顿了下,在讨论之前
14. 有一说一演播室，日，内,doc_13_chunk_0,严守一双手握在背后，对着观众鞠了一躬,场景5
44. 屋内，日，内,doc_43_chunk_2,严守一把拳头当作电话，放在耳朵边,
44. 屋内，日，内,doc_43_chunk_2,严守一赶紧站起来，拦住费墨,
44. 屋内，日，内,doc_43_chunk_0,严守一挂了手机,场景16：挂电话后，同事提及停车问题。
44. 屋内，日，内,doc_43_chunk_0,严守一站起来,场景16：女记录员离开后。
57. 严守一家，日，内,doc_56_chunk_0,严守一洗脸出来,
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_1,严守一仍然在低头弄着手机。,
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_1,严守一抬起头，满不在乎地笑着说,
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_1,又低头弄手机。,
37. 严守一老家大院内，日，外,doc_36_chunk_0,严守一从厅堂出来，看到这情景,奶奶过寿的院子
44. 屋内，日，内,doc_43_chunk_1,严守一接过本子，走到费墨边上的沙发坐下,
44. 屋内，日，内,doc_43_chunk_1,严守一回头,
44. 屋内，日，内,doc_43_chunk_1,严守一让她坐到他原来的位置上,
44. 屋内，日，内,doc_43_chunk_3,严守一把费墨劝回到沙发上坐下。,
44. 屋内，日，内,doc_43_chunk_3,严守一掏出手机,
44. 屋内，日，内,doc_43_chunk_3,严守一看着记录本,
44. 屋内，日，内,doc_43_chunk_3,尴尬地点点头,
51. 屋内，夜，内,doc_50_chunk_0,严守一接通,
51. 屋内，夜，内,doc_50_chunk_0,严守一蹲下来听,
51. 屋内，夜，内,doc_50_chunk_0,沉默了会,
53. 病房，日，内,doc_52_chunk_0,严守一推门进来。,卧室，于文娟和李燕聊天
45. 17     会客室，日，内,doc_44_chunk_0,严守一坐在沙发上,
45. 17     会客室，日，内,doc_44_chunk_0,严守一连忙推挡,
45. 17     会客室，日，内,doc_44_chunk_0,严守一往外面看了看，把脸奏过来,
45. 17     会客室，日，内,doc_44_chunk_0,严守一握住武月的手,
