doc_title,chunk_id,fact,scene_context
147、INT. BOYS CLUB AUDITORIUM - DAY,doc_146_chunk_0,Benny exits the room.,"Movie theater, during a film showing"
152、EXT. TOWN SQUARE - NEARBY - DAY,doc_151_chunk_2,Benny Rodriguez is absent from the current location.,Disaster area
156、EXT. THE BADLANDS - DAY,doc_155_chunk_0,Benny has obtained the Babe Ruth Autograph.,"After the dust clears, Benny holds the Babe Ruth Autograph."
140、EXT. BADLANDS - DAY,doc_139_chunk_5,Benny vaults over the fence.,at the fence
146、EXT. ALLEYWAY - DAY,doc_145_chunk_0,Benny enters a building through the rear entrance.,Chase scene: Benny enters building via rear entrance.
157、INT. MR. MERTLE'S HOUSE - DAY,doc_156_chunk_4,Benny is informed of a deal from Mr. Mertle to trade baseballs if he and Scotty come over once a week to talk baseball.,"In a room with a glass case, Mr. Mertle offers a deal to Benny and Scotty."
19、EXT. THE SANDLOT - DAY,doc_18_chunk_1,Benny took everyone's position when it was there ups.,
19、EXT. THE SANDLOT - DAY,doc_18_chunk_11,Benny Rodriguez is the leader.,Sandlot scene
19、EXT. THE SANDLOT - DAY,doc_18_chunk_3,BENNY connects with the pitch.,Perimeter area with green fiberglass panels.
30、EXT. SCOTTY'S HOUSE - DAY,doc_29_chunk_1,Benny has an extra glove.,Benny offers Scotty a spare glove after Scotty claims his glove is busted.
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_1,BENNY scores safely at home plate,Baseball game
137、INT. BENNY'S ROOM - NIGHT,doc_136_chunk_0,Benny has not jumped up on his bed and flattened against the wall in years.,Benny's bedroom at night
30、EXT. SCOTTY'S HOUSE - DAY,doc_29_chunk_2,BENNY commits to stop by the 5 & 10 first.,"On the street, moving away from home."
140、EXT. BADLANDS - DAY,doc_139_chunk_4,Benny's hands are freed for the leap up the fence.,
140、EXT. BADLANDS - DAY,doc_139_chunk_4,Benny is on the fence.,
144、INT. CAR - TRAVELING - DAY,doc_143_chunk_0,Benny and The Beast pull ahead.,On the sidewalk
141、EXT. SANDLOT - DAY,doc_140_chunk_0,Benny vanishes from the sandlot,sandlot
58、EXT. SANDLOT - LATER,doc_57_chunk_0,Benny does not go to the bleachers.,"Gang heads to bleachers, Benny remains."
19、EXT. THE SANDLOT - DAY,doc_18_chunk_8,Benny's look silences the group.,
19、EXT. THE SANDLOT - DAY,doc_18_chunk_7,BENNY is not laughing.,"Gang laughs at Scotty's failed throw, Benny does not"
72、INT. BENNY'S HOUSE - LIVING ROOM - DAY,doc_71_chunk_1,Benny becomes a legend.,the Dodgers game scene
132、EXT. THE SANDLOT - DAY,doc_131_chunk_0,Benny has his glove.,
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_2,Benny joins the gang.,BENNY JOINS THE GANG
58、EXT. SANDLOT - LATER,doc_57_chunk_1,BENNY calls for a vote on the matter.,
79、EXT. LITTLE LEAGUE FIELD - DAY,doc_78_chunk_0,Benny Rodriguez hits an inside the park home run.,"Baseball field, Benny's at-bat"
3、EXT. ELEMENTARY SCHOOL - DRINKING FOUNTAIN - DAY,doc_2_chunk_0,Benny drinks from an un-cursed spigot.,At the spigots
87、EXT. THE SANDLOT - DAY,doc_86_chunk_3,The gang obeys Benny Rodriguez's command to play immediately.,"On the field, during the game"
33、EXT. REAR OF FIVE & DIME - DAY,doc_32_chunk_1,Benny lied about knowing the reference they were discussing.,
80、EXT. VACANT LOT - DAY,doc_79_chunk_0,Benny performs a momentous victory slide.,Bob B. Soxx & The Blue Jeans Zip-A-Dee-Do-Dah scene
87、EXT. THE SANDLOT - DAY,doc_86_chunk_4,Magic dust explodes from Benny's bat.,Baseball game
161、EXT. THE SANDLOT - DAY,doc_160_chunk_0,Benny is a player on the team participating in the ball game.,Ball game
9、INT. BENNY'S ROOM - NIGHT,doc_8_chunk_1,A picture of The Babe is taped to Benny's footboard.,Benny's bedroom
76、EXT. SANDLOT - NIGHT,doc_75_chunk_1,BENNY hit the ball.,Baseball game
87、EXT. THE SANDLOT - DAY,doc_86_chunk_2,Benny Rodriguez has eight identical Maury Wills cards.,"After Squints hands the cards to Benny, the gang stares at him."
