doc_title,chunk_id,fact,scene_context
104、INT. PANIC ROOM - NIGHT,doc_103_chunk_0,Sarah receives a wire cutter from Meg.,Panic room
133、INT. PANIC ROOM - NIGHT,doc_132_chunk_0,Sarah sees the horrifying sight on the video monitors.,viewing video monitors
134、INT. MASTER BEDROOM - NIGHT,doc_133_chunk_0,Sarah recognizes her father's voice.,"Monitoring room, Burnham shouting and voice heard"
149、INT. PANIC ROOM - NIGHT,doc_148_chunk_1,Sarah is too weak to form words.,Burnham kneels next to Sarah in the room.
138、INT. PANIC ROOM - NIGHT,doc_137_chunk_0,Sarah is spared from witnessing Harris's beating.,
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_14,Sarah refuses to do it herself.,Burnham asks Sarah if she can do it herself.
140、INT. PANIC ROOM - NIGHT,doc_139_chunk_2,Sarah's convulsion ends.,
140、INT. PANIC ROOM - NIGHT,doc_139_chunk_2,Sarah turns off her wristwatch/monitor.,
140、INT. PANIC ROOM - NIGHT,doc_139_chunk_2,Sarah's skin is turning a sallow yellow color.,
157、INT. PANIC ROOM - NIGHT,doc_156_chunk_0,"Sarah sees her mother approaching the monitor in the bedroom, carrying a jacket.","Panic room, monitoring bedroom via monitors"
149、INT. PANIC ROOM - NIGHT,doc_148_chunk_7,Sarah seems better.,
17、INT. PANIC ROOM - NIGHT,doc_16_chunk_0,Sarah set the alarm for the night.,panic room
215、INT. HALLWAY - NIGHT,doc_214_chunk_0,Sarah is inside the elevator.,"Hallway, elevator escape attempt"
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_7,Sarah is very sick,Panic Room
214、INT. SARAH'S BEDROOM - NIGHT,doc_213_chunk_0,Sarah is no longer in the room.,"Top floor, room to hallway movement"
212、INT. SARAH'S BEDROOM - NIGHT,doc_211_chunk_0,Sarah is awake.,"Sarah's bedroom, after Meg pours water on Sarah's face"
153、INT. ENTRY FLOOR - NIGHT,doc_152_chunk_8,Sarah overhears a fragment of Burnham and Raoul's private conversation.,Private conversation between Burnham and Raoul
230、INT. MASTER BEDROOM - NIGHT,doc_229_chunk_1,Sarah is in the panic room.,Panic room standoff
229、INT. PANIC ROOM - NIGHT,doc_228_chunk_0,Sarah is safe.,"After a frightening event, Sarah and Meg are safe."
231、INT. PANIC ROOM - NIGHT,doc_230_chunk_5,"Sarah is encouraging, for the first time.",Meg is reluctant and frightened; Sarah encourages her for the first time.
251、INT. PANIC ROOM - NIGHT,doc_250_chunk_0,Sarah found the waterproof matches and lighters.,Panic room
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_0,Sarah is present at the panic room doorway.,"Master bedroom, panic room doorway"
249、INT. PANIC ROOM - NIGHT,doc_248_chunk_0,Sarah finds a small metal handle.,"Base of the wall, near previous location"
256、INT. PANIC ROOM - NIGHT,doc_255_chunk_0,Sarah is not drained.,in the panic room
260、INT. THIRD FLOOR HALLWAY - NIGHT,doc_259_chunk_2,Sarah explicitly refuses to close the door.,Panic room: Meg requests Sarah to close the door.
272、INT. PANIC ROOM - NIGHT,doc_271_chunk_0,Sarah is given a wire cutter by Meg.,panic room
260、INT. THIRD FLOOR HALLWAY - NIGHT,doc_259_chunk_1,Sarah is at the monitors.,Panic Room
234、INT. PANIC ROOM - NIGHT,doc_233_chunk_2,Sarah has previously needed to comfort her mother.,"In a room with a portal, Sarah's mother is huddled in the corner."
185、INT. PANIC ROOM - NIGHT,doc_184_chunk_0,Sarah activated the alarm for the night.,"Panic room, alarm activation"
254、INT. PANIC ROOM - NIGHT,doc_253_chunk_1,Sarah hears the faint pounding and the high-pitched complaining voice.,Facing the common wall
306、INT. PANIC ROOM - NIGHT,doc_305_chunk_0,Sarah was spared from seeing Harris's beating.,"Watching the master bedroom monitor, the monitor goes black."
304、INT. PANIC ROOM - NIGHT,doc_303_chunk_0,Sarah does not open the door.,
293、INT. PANIC ROOM - NIGHT,doc_292_chunk_0,Sarah agrees that she will not have an attack.,"In the room, during a conversation about an impending attack."
301、INT. PANIC ROOM - NIGHT,doc_300_chunk_0,Sarah sees the horrifying sight on the video monitors.,
315、INT. MASTER BEDROOM - NIGHT,doc_314_chunk_0,Sarah is inside the panic room.,Panic room
315、INT. MASTER BEDROOM - NIGHT,doc_314_chunk_15,Sarah refuses to rest.,Sarah is instructed to rest and refuses.
