scene,question,answer,evidence,qa_type
28、INT. HOLMES' BEDROOM - DAWN,"In [28、INT. HOLMES' BEDROOM - DAWN], What is Gabrielle's emotional state when she embraces Holmes?",She is longing and seeking comfort.,"Gabrielle says, 'Hold me. Hold me tight.' and 'It's been such a long time.'",character states
63、INT. HOTEL ROOM - NIGHT,What does Holmes believe about the creature?,It's a mechanical monster with an artificial heart and lungs.,"HOLMES
Not only is it equipped with an
artificial heart, it also has artificial
lungs.",dialogue/beliefs
48、EXT. GLENNAHURICH CEMETARY - NIGHT,"In [48、EXT. GLENNAHURICH CEMETARY - NIGHT], What does Holmes note about Valladon's wedding ring and the canaries?",His wedding ring has turned green and there are three dead white canaries in the coffin.,"HOLMES
-- and why there are three dead canaries in the coffin. White canaries.",dialogue/beliefs
3、EXT. BAKER STREET - DAY,How does the camera move as Holmes and Watson enter the building?,Camera travels up the building's facade past 221B to the bay window,"Camera travels up the facade of the building, past the number 221B, to the bay window on the second floor",detailed description
10、INT. LIVING ROOM - DAY,Why does Holmes refuse to attend the ballet?,He believes it's a plot to bore him to death.,"Holmes says, 'It's a plot to bore me to death. I detest ballet.'",causal/relational queries
10、INT. LIVING ROOM - DAY,What causes Watson to think the sender is in distress?,The note's plea for help from the only man who can assist.,Watson reads the note: 'Please! You are the only man in the world who can help me.',causal/relational queries
47、EXT. GLENNAHURICH CEMETARY - DAY,What does Holmes say about the funeral arrangements?,Sad -- and rather odd. There are no flowers -- and no mourners.,HOLMES Sad -- and rather odd. There are no flowers -- and no mourners.,dialogue/beliefs
14、EXT. BAKER STREET - NIGHT,"In [14、EXT. BAKER STREET - NIGHT], What is Watson's emotional state?",Enraged,An enraged Watson,character states
1、INT. BANK VAULT - DAY,What is the function of the crystal ball mentioned in the box?,It produces a snowstorm and reveals a bust of Queen Victoria.,"a crystal ball which, when shaken, produces a snowstorm - and when the snow settles, we see a bust of Queen Victoria.",terminology/abbreviation/concept
16、INT. LIVING ROOM - NIGHT,What does Watson accuse Holmes of doing?,He accuses Holmes of a dastardly act and questions his reasoning.,How could you do a dastardly thing like that to me? What the deuce were you thinking of?,dialogue/beliefs
16、INT. LIVING ROOM - NIGHT,What reason does Holmes give for his actions?,He claims it was the only way to avoid hurting the madwoman's feelings.,It seemed like the only way to get out of it without hurting her feelings.,dialogue/beliefs
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,"In [23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT], What is Gabrielle's current mental state?",She has temporary amnesia due to a concussion.,She's obviously had a concussion -- which often leads to temporary amnesia.,character states
8、INT. WATSON'S BEDROOM - DAY,What causes Mrs. Hudson to scream?,The sound of a revolver shot,From the living room comes the sound of a revolver shot. Mrs. Hudson screams and Watson looks off in alarm,causal/relational queries
45、INT. THIRD CLASS CARRIAGE - NIGHT,What does the monk whisper to the other monk?,Die Spur fuehrt nach Inverness. Die steigen dort aus. Dort muessen wir ihn finded -- den Valladon!,MONK (in a whisper) Die Spur fuehrt nach Inverness. Die steigen dort aus. Dort muessen wir ihn finded -- den Valladon!,dialogue/beliefs
7、INT. LIVING ROOM - 221B BAKER STREET - DAY,Why does Watson decide to move out?,To resume his medical practice.,"I intend to resume my practice. I am, after all, a doctor.",causal/relational queries
30、INT. HOLMES' BEDROOM - DAY,"In [30、INT. HOLMES' BEDROOM - DAY], What is Mrs. Hudson's emotional state upon seeing Gabrielle?",Scandalized,MRS. HUDSON (scandalized),character states
33、INT. EMPTY SHOP - DAY,"In [33、INT. EMPTY SHOP - DAY], What emotion does Gabrielle express upon seeing the shop?",She feels strange and unsettled.,It's so strange to think I've been writing to a place like this all these months.,character states
28、INT. HOLMES' BEDROOM - DAWN,"In [28、INT. HOLMES' BEDROOM - DAWN], What is Gabrielle's behavioral state when she beckons Holmes?",She is impatient.,"Gabrielle says, 'I don't know. Come, my love. Come. Please.'",character states
