doc_title,chunk_id,fact,scene_context
71、INT. SLOANES' CAGE - DAY,doc_70_chunk_2,DOG decides to start the show.,
8、INT. TORTURE ROOM - DAY,doc_7_chunk_2,DOG knocks Slick unconscious with a golf club.,"Scene: In the kitchen area, during a confrontation involving Gordon and Slick."
112、INT. ED AND BACON'S HOUSE - DAY,doc_111_chunk_0,Dog is in possession of two antique hammer-lock shotguns.,
112、INT. ED AND BACON'S HOUSE - DAY,doc_111_chunk_0,Dog is counting money in the side room.,
84、INT. DOG'S VAN - DAY,doc_83_chunk_0,Dog decides to delay dealing with the unconscious traffic warden.,"Scene: Inside or near a van, after the traffic warden is knocked unconscious."
11、INT. DOG'S HOUSE - NIGHT,doc_10_chunk_0,Dog is in possession of a small pile of money and pills.,
11、INT. DOG'S HOUSE - NIGHT,doc_10_chunk_0,Dog is distributing money and pills to his lads.,
77、INT. SLOANES' CAGE - DAY,doc_76_chunk_0,DOG physically attacks WINSTON by striking him on the forehead with the butt of his gun.,
77、INT. SLOANES' CAGE - DAY,doc_76_chunk_0,DOG drags WINSTON to the stairs after striking him.,
132、EXT. HATCHET HARRY'S OFFICE/CHRIS'S CAR - DAY,doc_131_chunk_0,"DOG is present in the vehicle, positioned in the back and lying down.",
132、EXT. HATCHET HARRY'S OFFICE/CHRIS'S CAR - DAY,doc_131_chunk_0,DOG is holding a knife against Little Chris's throat.,
132、EXT. HATCHET HARRY'S OFFICE/CHRIS'S CAR - DAY,doc_131_chunk_0,DOG demands to know the location of money that was earned from a job.,
116、INT. ED AND BACON'S BACK ROOM - DAY,doc_115_chunk_0,Dog successfully retains possession of the suitcase of money after the violent incident.,"Adjoining room: After being splattered with blood and smoke, Dog exits with the money."
116、INT. ED AND BACON'S BACK ROOM - DAY,doc_115_chunk_0,Dog acquires and is in possession of two old guns.,Adjoining room: Dog grabs the two old guns before attempting to escape.
116、INT. ED AND BACON'S BACK ROOM - DAY,doc_115_chunk_0,Dog survives the violent incident involving blood and smoke.,Adjoining room: Dog is splattered but unharmed and proceeds to escape.
116、INT. ED AND BACON'S BACK ROOM - DAY,doc_115_chunk_0,Dog completes his escape from the room through the front window.,"Adjoining room: After checking the route, Dog exits via the front window."
78、INT. SLOANES' SITTING ROOM - DAY DOG,doc_77_chunk_0,Dog discovers the shoe boxes are empty.,"Scene: At the top of the stairs, after Plank indicates the location of the money."
78、INT. SLOANES' SITTING ROOM - DAY DOG,doc_77_chunk_0,Dog demands the location of the money from Winston at gunpoint.,"Scene: At the top of the stairs, after finding the shoe boxes empty."
78、INT. SLOANES' SITTING ROOM - DAY DOG,doc_77_chunk_0,Dog receives information about the location of the weed from Winston.,"Scene: At the top of the stairs, during confrontation with Winston."
78、INT. SLOANES' SITTING ROOM - DAY DOG,doc_77_chunk_0,Dog orders Plank to retrieve Paul from the van.,"Scene: At the top of the stairs, after learning the money and weed are out the back."
108、INT. ED AND BACON'S HOUSE - DAY,doc_107_chunk_0,Dog is in possession of a large bag found at the scene.,Scene: Dog and the boys have broken through a wall into a cupboard; Dog is holding a large bag he discovered.
108、INT. ED AND BACON'S HOUSE - DAY,doc_107_chunk_0,Dog gives a direct order to John to count the money out of sight of incoming individuals.,"Scene: After John finds cash, Dog instructs him to count it in the back to avoid being seen."
108、INT. ED AND BACON'S HOUSE - DAY,doc_107_chunk_0,Dog decides to delay the move to the next location until a specific condition is met.,Scene: Dog insists they will not go next door until 'these dead men walking' have been dealt with.
108、INT. ED AND BACON'S HOUSE - DAY,doc_107_chunk_0,Dog assigns John the task of preparing guns and waiting for the right moment to act.,"Scene: Dog instructs John to hide, get the guns ready, and wait until the targets are well inside before attacking."
