id,scene,question,answer,evidence,qa_type
1,73、EXT. STREETS - NIGHT,What does Louis long for?,One second's peace,longed for one second's peace,dialogue/beliefs
2,58、INT. PARLOUR - NIGHT,What does Louis say about Claudia?,"Mute and beautiful, she killed. And to watch her kill was chilling.","LOUIS (V.O.) Mute and beautiful, she killed. And to watch her kill was chilling.",dialogue/beliefs
3,47、INT. HOUSE - NIGHT,What does 'Merciful Death' refer to in the passage?,"A concept referenced by Lestat, implying a death seen as kind or compassionate.",LESTAT: 'Merciful Death how you love your precious guilt.',terminology/abbreviation/concept
4,23、INT. FRENCH QUARTER MANSION - BALLROOM,"In [23、INT. FRENCH QUARTER MANSION - BALLROOM], What is Lestat's emotional state when he looks at the youth?",Longing,Lestat stares at the youth with longing.,character states
5,17、INT. MANSION - NIGHT,"In [17、INT. MANSION - NIGHT], What does Louis see in the full-length mirror?",His own reflection as a perfect vampire,Louis goes to a full-length mirror and sees his own reflection there - quite the perfect vampire.,objects/props
6,45、INT. INN - EVENING,How does Lestat kill the first whore?,"He presses his thumb on her neck, holds her tight, and sinks his teeth into her neck, killing her.","He presses his thumb on her neck and holds her tight, sinking his teeth into her neck. After a time she falls to the bed, dead.",detailed description
7,19、INT. BASEMENT - POINTE DU LAC,"In [19、INT. BASEMENT - POINTE DU LAC], What emotional state does Louis display when entering the coffin?",Fearful yet fascinated,"Louis crawls into the coffin, fearful yet fascinated.",character states
8,51、INT. SEWER-PIPE - EVENING,What is Lestat's definition of 'evil'?,A point of view.,Evil is a point of view.,terminology/abbreviation/concept
9,45、INT. INN - EVENING,What does Lestat do with the girl's blood?,He slashes her wrist with his teeth and lets the blood drip into a glass.,"He slashes her wrist with his teeth, and lets the blood drip into a glass.",detailed description
10,2、EXT. LOUISIANA - DAY,"In [2、EXT. LOUISIANA - DAY], What is Louis's emotional state?",Louis is grieving and overwhelmed by sorrow.,I couldn't bear the pain of their loss. I longed for a release from it.,character states
11,15、INT. ROOM. SAN FRANCISCO - NIGHT,How does Louis respond to the stake-through-the-heart story?,Louis dismisses it with 'Bull shit',LOUIS: ...As you would say today... Bull shit.,detailed description
12,10、INT. LOUIS BEDROOM - NIGHT,What does Louis believe about the sunrise?,It is his last sunrise as a human.,"LOUIS (V.O.)
My last sunrise. That morning I was not yet a vampire...",dialogue/beliefs
13,19、INT. BASEMENT - POINTE DU LAC,"In [19、INT. BASEMENT - POINTE DU LAC], What emotional state does Lestat exhibit when interacting with Louis?",Apprehensive and protective,Lestat is apprehensive and protective of Louis.,character states
14,14、EXT. GRAVEYARD - NIGHT,"In [14、EXT. GRAVEYARD - NIGHT], What does Louis say to God at his wife's grave?","Dear God, what have I become????","LOUIS
Dear God, what have I become????",dialogue/beliefs
15,43、INT. ROOM. SAN FRANCISCO - NIGHT,What does Louis do when he answers Malloy's question about loving Yvette?,"Looks directly at Malloy, shocking him with his gaze.","He looks directly at Malloy, shocking him with his gaze.",detailed description
16,37、EXT. SLAVE QUARTERS - NIGHT,What do the slaves do after the drumming stops?,They look towards the house and slowly begin to move towards it.,"The drumming stops. The slaves look towards the house. Slowly, they begin to move towards it.",detailed description
17,38、INT. POINTE DU LAC DINING ROOM - NIGHT,What happens when Louis kisses Yvette's wrist?,"She gasps, withdraws her hand, and sees her wrist is red with blood.","He kisses her wrist. She suddenly gasps, sharply, withdraws her hand. She sees her wrist is red with blood.",detailed description
18,16、EXT. MANSION - NIGHT,Why does Louis now look like a fully-fledged vampire?,"He killed someone, losing his life and taking another's.",Killing is no ordinary act... I had lost my own life and taken another's.,causal/relational queries
19,21、EXT. NEW ORLEANS - NIGHT,"In [21、EXT. NEW ORLEANS - NIGHT], What emotional state is Louis in while observing Lestat?",Appalled and fascinated.,"Louis, who if appalled and fascinated",character states
20,43、INT. ROOM. SAN FRANCISCO - NIGHT,What does Louis say about his love for Yvette and other things he loved?,"Yes, I loved Yvette. As I loved Pointe Du Lac. And as with each thing I loved, I destroyed it.","Yes, I loved Yvette. As I loved Pointe Du Lac. And as with each thing I loved, I destroyed it.",detailed description
21,74、INT. CATHEDRAL - NIGHT,What does Louis question about the statues in the cathedral?,He questions if they give an image to nothing.,What if the statues gave an image to nothing?,dialogue/beliefs
22,67、INT. CLAUDIA'S BEDROOM - NIGHT,"In [67、INT. CLAUDIA'S BEDROOM - NIGHT], What does Claudia claim Lestat calls Louis?",Merciful death.,You know what he calls you? Merciful death.,dialogue/beliefs
23,24、EXT. LAWNS - NIGHT,When do the poodles growl?,After Louis decides not to kill the widow,He can't do it. The poodles growl.,temporal references
24,24、EXT. LAWNS - NIGHT,When does the widow remember the melody?,After Louis bites her and she swoons,"She swoons. WIDOW ST. CLAIR Yes, that's the melody...",temporal references
25,39、EXT. MANSION - NIGHT,What does Louis do with the candelabra after rushing up the stairs?,snatches up the candelabra and sets fire to the drapes,"He rushed up the stairs, snatches up the candelabra and sets fire to the drapes.",detailed description
26,69、INT. FLAT - NIGHT,What question does Claudia ask Lestat about the timing of the gift?,Why always on this night?,CLAUDIA: Why always on this night?,dialogue/beliefs
27,11、EXT. PLANTATION - NIGHT,"In [11、EXT. PLANTATION - NIGHT], What object does the overseer drop when Lestat confronts him?",The bloodied whip,The overseer drops the whip and runs for the trees.,objects/props
28,69、INT. FLAT - NIGHT,What does Claudia say when Lestat gives her another doll?,"Another doll? I have ten, you realize.","CLAUDIA: Another doll? I have ten, you realize.",dialogue/beliefs
29,6、INT. ROOM - SAN FRANCISCO,Why does Louis insist the Gift of Darkness requires more than Malloy's explanation?,To indicate Malloy's understanding is incomplete,"The Gift of Darkness requires more than that, as you'll see.",causal/relational queries
30,1、INT. ROOM - NIGHT (SAN FRANCISCO),"In [1、INT. ROOM - NIGHT (SAN FRANCISCO)], What is Louis's identity?",A vampire.,I'm a vampire.,character states
31,47、INT. HOUSE - NIGHT,What is the 'plague' mentioned in the passage?,A disease that would have killed the mother within hours.,LESTAT: 'The plague would have got her within hours anyway.',terminology/abbreviation/concept
32,48、EXT. STREETS - NIGHT,What belief does Louis express about peace?,Peace is found through killing and hearing a heart's rhythm.,I knew peace only when I killed and when I heard her heart in that terrible rhythm I knew again what peace could be.,dialogue/beliefs
33,44、EXT. NEW ORLEANS - EVENING,What is the setting of the scene?,"From the sea at evening, shrouded in mist.","From the sea, at evening, shrouded in mist.",detailed description
34,30、EXT. CHICKEN-COOP - NIGHT,What is the condition of the chickens in the scene?,Bloodied necks hanging down from the cribs,"Every chicken is dead, bloodies necks hanging down from the cribs",detailed description
35,37、EXT. SLAVE QUARTERS - NIGHT,What action does Lestat take that causes the drumming to stop?,"Lestat rides through, scattering the flames.","Lestat rides through, scattering the flames.",detailed description
36,3、INT. WATERFRONT TAVERN - NIGHT,When does Louis pocket the coins?,After the gambler lowers his gun,"The Gambler lowers his gun, scowling. Louis pockets the fistfulls of coins he has won.",temporal references
37,8、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,"In [8、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC], Where is Louis when he is delirious?",In a room with a four-poster bed shrouded in mosquito netting,"Louis is delirious in a four-poster bed, shrouded with mosquito netting",scene localization
38,74、INT. CATHEDRAL - NIGHT,What belief does Louis express about himself in the cathedral?,He believes he is the supernatural in the cathedral.,I was the supernatural in this cathedral.,dialogue/beliefs
39,36、INT. DINING ROOM IN MANSION - NIGHT,How does Lestat leave the scene after their argument?,humming a French aria,"He walks out, humming a French aria.",detailed description
40,31、EXT. SLAVE QUARTER - NIGHT,What do others do at the doorways during the scene?,Restrain and console the woman,restrain and console her,detailed description
41,12、EXT. POINTE DU LAC - NIGHT,"In [12、EXT. POINTE DU LAC - NIGHT], Why does Lestat want Louis?",Because Louis is as strong as he was when alive,LESTAT: 'Because you're as strong as I was when I was alive',causal/relational queries
42,16、EXT. MANSION - NIGHT,What causes Louis to feel guilt and regret?,His act of killing.,I was drowning in a sea of human guilt and regret...,causal/relational queries
