doc_title,chunk_id,description,scene_context
5、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_4_chunk_2,Sal walks over to him.,
19、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_18_chunk_0,"Sal puts a hot slice down on the counter in front of BUGGIN' OUT, a b-boy.","Lunchtime at Sal's, busy restaurant"
52、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_51_chunk_0,Sal takes a seat at one of the tables.,
77、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_76_chunk_0,"Sal goes over to the oven, takes out their food and wraps it up.","Restaurant, preparing food for officers"
19、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_18_chunk_4,Sal comes from behind the counter with his LouisvilleSlugger Mickey Mantle model baseball bat.,"Inside Sal's store, during a confrontation with Buggin' Out and Pino"
80、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_79_chunk_0,Sal is looking into the cash register.,Inside the pizzeria during end-of-day cleanup.
41、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_40_chunk_1,Sal puts Mickey Mantle back into its place.,Inside Sal's Famous Pizzeria
80、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_79_chunk_5,"Sal grabs his Mickey Mantle bat from underneath the counter and brings it down on Radio Raheem's box, again and again and again.","Store, confrontation with Radio Raheem"
68、EXT: SAL'S FAMOUS PIZZERIA--DUSK,doc_67_chunk_1,All Sal wants to do is hide the salami.,
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_1,Sal moves behind the counter and goes to work.,"Sal's Famous Pizzeria, Jade's visit"
27、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_26_chunk_0,He gives Mookie a bag full of food.,
91、EXT: DA MAYOR'S STOOP--NIGHT,doc_90_chunk_0,watch in disbelief,
9、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_8_chunk_2,Sal looks at Pino,"Pizzeria, Da Mayor asks for work and receives a broom"
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_0,looks up,"Doorway, Jade enters"
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_0,stops blasting Mookie,"Doorway, Jade enters"
59、INT: SAL'S FAMOUS PIZZERIA--DAY,doc_58_chunk_0,a very noticeable change comes over him,"Doorway, Jade enters"
88、EXT: DA MAYOR'S STOOP--NIGHT,doc_87_chunk_0,look on,Sal's Famous Pizzeria burning down
5、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_4_chunk_0,"From out of the car comes the owner, SAL",Corner of The Block
97、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_96_chunk_0,Sal emerges from the wreckage; he looks like he might have slept there.,"Morning at Sal's Famous Pizzeria, smoldering wreckage"
97、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_96_chunk_0,Sal looks at Mookie in disbelief.,"Morning at Sal's Famous Pizzeria, smoldering wreckage"
77、INT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_76_chunk_1,While Sal laughs at his corny joke,
81、EXT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_80_chunk_6,"Sal still on the sidewalk, being helped to his feet by Vito and Pino, who are in bad shape themselves.","Sidewalk, mob upset after a killing by cops"
24、EXT: MOTHER SISTER'S STOOP--DAY,doc_23_chunk_6,"mad as a motherfucker, chasing after him","Sal's Cadillac, egg vandalism"
81、EXT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_80_chunk_2,"Sal, who is red as a beet from being choked","Street, police confrontation"
98、EXT: STREET--DAY,doc_97_chunk_0,Sal goes back into Sal's Famous Pizzeria to salvage what is salvageable,"The Block, after Mookie walks away"
81、EXT: SAL'S FAMOUS PIZZERIA--NIGHT,doc_80_chunk_1,"are still entangled, rolling around on the sidewalk","Sidewalk, entertained crowd of onlookers"
97、EXT: SAL'S FAMOUS PIZZERIA--DAY,doc_96_chunk_3,Sal's outburst,"Sidewalk, payment dispute"
