doc_title,chunk_id,fact,scene_context
72、INT. BARRY'S GARAGE - NIGHT,doc_71_chunk_0,Lena's head has been injured.,"Garage entrance, during car accident"
32、INT. RECEPTION AREA/LENA'S BUILDING,doc_31_chunk_0,Lena speaks to Barry on the phone.,"Reception area, Barry is leaving when Lena calls."
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_25,Lena is inside the warehouse.,"Warehouse driveway, after Lena waits for Elizabeth to leave the driveway."
84、INT. LENA'S APARTMENT/HALLWAY - THAT MOMENT,doc_83_chunk_0,Lena answers the door.,Barry rings the bell and Lena answers the door.
67、INT. KAHALA HOTEL - MORNING,doc_66_chunk_1,Lena's phone call with Elizabeth ends.,
67、INT. KAHALA HOTEL - MORNING,doc_66_chunk_0,Lena agrees to tell Eric to call Elizabeth.,Phone call with Elizabeth
66、INT. HAWAIIAN HOTEL ROOM - NIGHT/NEAR DAWN - LATER,doc_65_chunk_0,Lena sees Barry talking to the wall.,"Bedroom at night, Lena wakes up and watches Barry talking to the wall."
72、INT. BARRY'S GARAGE - NIGHT,doc_71_chunk_1,Lena observes Barry's violent behavior.,"Brawl involving Barry, Mike D, and Nate"
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_15,Lena is about to be alone with Barry.,"Lena returns, Barry and Lena about to be alone as Lance walks up."
71、INT. AIRPORT/HONOLULU - AT THE GATE/WAITING AREA,doc_70_chunk_0,Lena is granted permission to come home with Barry upon arrival.,Return flight: Lena's request to come home with Barry is granted.
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_4,Lena is in the warehouse.,"Warehouse, Lena and Elizabeth enter the warehouse."
78、INT. HOSPITAL/RECEPTION AREA - NIGHT,doc_77_chunk_0,Lena is not present at the location where Barry is searching.,Barry searching for Lena
