doc_title,chunk_id,description,scene_context
34、徐正太家，夜，外,doc_32_chunk_1,六一笑了笑。,
46、徐正太家，夜，内,doc_44_chunk_1,突然，六一跑上了楼。,
44、小巷，日，外,doc_42_chunk_0,六一接过筷子，很轻松将它们折断了。,小巷内，徐太浪演示筷子
20、街道上，夜，外,doc_18_chunk_0,六一载着佳依骑着摩托跟在后面。,
34、徐正太家，夜，外,doc_32_chunk_0,六一有些窃喜,饭局中，庆祝救出小马
16、汽车修理厂屋顶，日，外,doc_14_chunk_0,六一看着罗力手里拿着枪,屋顶上，观察院子里的罗力
15、小镇，日，外,doc_13_chunk_0,边走边喊木木的名字,大街小巷，寻找木木
24、挚爱 KTV 内，夜，内,doc_22_chunk_0,说着拿起话筒唱了几句,KTV包厢内，唱歌环节
35、徐正太家，日，内,doc_33_chunk_3,突然，另一个柜子打开了，六一出现在柜子里。,
35、徐正太家，日，内,doc_33_chunk_3,六一几乎都要哭了，他看了看几个人抹着眼泪离开了。,
21、电影院，夜，内,doc_19_chunk_2,失落的六一,
24、挚爱 KTV 内，夜，内,doc_22_chunk_2,六一也学着他的样子重复了几次,
24、挚爱 KTV 内，夜，内,doc_22_chunk_2,六一想冲过去但被他们俩拦住，挣脱开后坐在沙发上,
24、挚爱 KTV 内，夜，内,doc_22_chunk_2,六一动了动身体,
43、桥头，日，外,doc_41_chunk_0,六一突然出现，拍着徐正太的身体浑身打量,桥头，火灾后
43、桥头，日，外,doc_41_chunk_0,六一结巴,桥头，火灾后
34、徐正太家，夜，外,doc_32_chunk_4,六一走到楼边大喊,楼边
34、徐正太家，夜，外,doc_32_chunk_4,楼边上的六一情不自禁哭出了声音,楼边
51、黄志强办公室，日，内,doc_49_chunk_0,突然，六一吊着绳子出现在窗户外，他想破窗而入，但窗户上有防盗网。,办公室窗户外
51、黄志强办公室，日，内,doc_49_chunk_0,说着六一从身后拔出了剑。,办公室内
51、黄志强办公室，日，内,doc_49_chunk_0,六一拿着剑大喊着冲了过去,办公室内
21、电影院，夜，内,doc_19_chunk_0,六一将头伸向女友,电影院内，徐正太提及六一抗住考验后
13、徐正太家，日，外,doc_11_chunk_0,"六一的脸上全都是""正""字",路边玩扑克
13、徐正太家，日，外,doc_11_chunk_0,六一突然看到了警察，放下手中的 BB 机，扭头直接跳进了身后的河里。,路边玩扑克
53、黄志强办公室，日，内,doc_51_chunk_0,六一低着头，一松手，剑从手中掉落。,
53、黄志强办公室，日，内,doc_51_chunk_0,六一瞪大眼睛盯着他,
49、六一家，日,doc_47_chunk_0,背上背着徐正太的那两把长剑，拿着一个麻绳从走廊走到了楼顶。,走廊到楼顶
49、六一家，日,doc_47_chunk_0,将绳子的一头拴住，然后沿着绳子爬下了楼。,楼顶
24、挚爱 KTV 内，夜，内,doc_22_chunk_1,六一拿着话筒走到佳依面前,
24、挚爱 KTV 内，夜，内,doc_22_chunk_1,掏出五十块钱塞到她手里,
24、挚爱 KTV 内，夜，内,doc_22_chunk_1,退回原处,
24、挚爱 KTV 内，夜，内,doc_22_chunk_1,又冲其他人摆摆手,
21、电影院，夜，内,doc_19_chunk_1,猫腰离开,观影厅内，电影放映中
21、电影院，夜，内,doc_19_chunk_1,走出观影厅，从大厅的花丛里用嘴叼出了一支玫瑰,大厅花丛，六一离开观影厅后
21、电影院，夜，内,doc_19_chunk_1,迎着人流往观影厅走,大厅，观众抱怨离开后
21、电影院，夜，内,doc_19_chunk_1,冲进来,观影厅内，只剩四人
21、电影院，夜，内,doc_19_chunk_1,把棍拿下来递给了佳依,观影厅内，六一冲进来后
36、楼顶，日，外,doc_34_chunk_0,六一站在高台上。,
36、楼顶，日，外,doc_34_chunk_0,六一下来出现在徐正太面前。,
36、楼顶，日，外,doc_34_chunk_0,六一望着远方阿浪的背影,
36、楼顶，日，外,doc_34_chunk_0,六一下楼，任凭徐正太叫他也不回头,
