doc_title,chunk_id,text,scene_context
45、INT HOSPITAL - CONFERENCE ROOM,doc_44_chunk_1,HAZEL --,
35、EXT PARK - LATER,doc_34_chunk_6,Are you out of your mind?,
34、INT HAZEL'S LIVING ROOM - MOMENTS LATER,doc_33_chunk_0,Something to drink?,"Downstairs, Frannie offers a drink to Gus."
47、INT HAZEL'S BEDROOM - LATER,doc_46_chunk_0,We'll be right outside.,Scene where Frannie is tucking Hazel in; she speaks to Hazel before leaving the room.
2、INT DOCTOR'S OFFICE - SAME,doc_1_chunk_0,"... some days she won't even get
out of bed.",Scene with the doctor and Hazel present; Frannie is discussing Hazel's behavior and depression.
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_3,"I mean, I could talk to your father","Scene: In a bedroom, Frannie speaks to her daughter Hazel about possibly talking to Hazel's father."
57、INT KITCHEN - ONE WEEK LATER,doc_56_chunk_0,Amsterdam!,"Scene: At home, Frannie is making breakfast as Hazel enters, excited about the trip to Amsterdam; Frannie responds to Hazel's exclamation."
64、EXT/ INT AMSTERDAM HIGHWAY - TAXI CAB - MORNING,doc_63_chunk_0,We're from Indiana.,"In a yellow cab in Amsterdam, Frannie responds to the cab driver's question about their nationality."
15、INT SEVERAL MORE HOSPITAL ROOMS - FLASHBACK,doc_14_chunk_1,"Are you ready, sweetie?","In the ICU, Frannie is speaking to her daughter Hazel, who is in bed, while Michael (likely her husband) is present and emotional."
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,"Hi sweetheart. Ready for some
""Model?"".","Scene: Frannie arrives and speaks to her daughter Hazel, possibly at home or a similar setting; introduces the idea of doing a modeling activity."
41、INT HOSPITAL ROOM - ICU - MORNING,doc_40_chunk_2,"This is just a thing Hazel. It's a
thing we can live with.","Scene: Frannie embraces her daughter Hazel; the conversation is about Hazel dealing with a difficult situation, likely related to her health."
6、INT HAZEL'S KITCHEN - ANOTHER DAY,doc_5_chunk_1,Get in the car.,"Scene: Frannie instructs Hazel to get in the car, likely after Hazel's sarcastic remarks during a conversation; location and specific topic not detailed."
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_1,What's wrong?!,"Scene: Frannie enters, expecting a health problem, speaking to Hazel."
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_1,Nothing?,"Scene: Frannie responds to Hazel, confused, after being told nothing is wrong."
80、EXT CAFE - DAY,doc_79_chunk_0,And then what happened?,"Outdoor cafe: Frannie is with Hazel and Gus, discussing the events of the previous day."
63、INT AIRPLANE - MOMENTS LATER,doc_62_chunk_2,"Just so you know, I'm right here. Sitting next to you. Your mother.","On a plane during takeoff; Frannie is speaking to Hazel and Gus, who are showing affection, while she reads a magazine."
37、INT DOCTOR'S OFFICE - ANOTHER DAY,doc_36_chunk_1,What?,"Scene: At home, Frannie reacts to Hazel's suggestion that she come to Amsterdam."
37、INT DOCTOR'S OFFICE - ANOTHER DAY,doc_36_chunk_1,I --,"Scene: At home, Frannie hesitates in response to Hazel's suggestion about going to Amsterdam."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_0,I'm not depressed.,"Exam room, speaking to a doctor and her mother Frannie during a medical consultation about her mental health."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_0,I'm not depressed.,"Exam room, repeating her statement to a doctor and her mother Frannie during the same consultation."
44、INT HOSPITAL ICU - FLASHBACK,doc_43_chunk_0,"Are you ready, sweetie?","Scene: At a hospital, Frannie is speaking to her daughter Hazel who is about to undergo anesthesia."
44、INT HOSPITAL ICU - FLASHBACK,doc_43_chunk_0,I won't be a mom anymore.,"Scene: At a hospital, Frannie speaks emotionally after Hazel is under anesthesia, expressing grief."
59、INT / EXT CAR - LATER,doc_58_chunk_1,"We can't eavesdrop, Hazel.","Scene: Outside a house, Frannie speaks to Hazel before Gus emerges."
59、INT / EXT CAR - LATER,doc_58_chunk_1,Amsterdam!,"Scene: Outside a house, Frannie speaks to Hazel and Gus after they stop and look at her."
2、INT DOCTOR'S OFFICE - SAME,doc_1_chunk_1,She's gone a few times.,Scene involving a doctor and Hazel discussing support groups; Frannie is present and speaking about someone who has attended before.
2、INT DOCTOR'S OFFICE - SAME,doc_1_chunk_1,Hazel.,"Scene involving a doctor and Hazel discussing support groups; Frannie interjects with Hazel's name, possibly to prompt or caution her."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_4,We're not gonna off ourselves. It's gonna hurt like hell to lose you BUT --,
5、INT HAZEL'S LIVING ROOM - ANOTHER DAY,doc_4_chunk_0,It's Friday night.,"Scene: Living room, Frannie is with Hazel and Michael; she comments on the day of the week to suggest activity."
5、INT HAZEL'S LIVING ROOM - ANOTHER DAY,doc_4_chunk_0,"I was just thinking... you should call your friends, see what they're up to.","Scene: Living room, Frannie is with Hazel and Michael; she suggests Hazel contact her friends."
67、INT HOTEL ROOM - LATER,doc_66_chunk_0,Hazel! Gus is here.,Scene: Frannie opens the door to find Gus in a black suit; she calls to Hazel in the bathroom.
67、INT HOTEL ROOM - LATER,doc_66_chunk_0,Looking sharp.,Scene: Frannie speaks to Gus after calling Hazel; commenting on his appearance.
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_2,Dr. Maria called last night and made a convincing case that you need to live --,Scene with Hazel and Frannie; Frannie speaks to Hazel about Dr. Maria's call and the importance of Hazel living.
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_2,I'm getting back in the tub now.,Scene after the embrace with Hazel; Frannie announces she is returning to the tub.
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_1,I'm just saying...,"Scene: At home, Frannie speaks to her daughter Hazel about reservations made by Mr. Van Houten for a fancy and romantic place called Oranjee."
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_1,Let's get you dressed!,"Scene: At home, Frannie speaks to her daughter Hazel, showing excitement after a brief pause in the conversation."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_2,"You have to eat, Hazel. You're not gonna starve yourself to death just because Gus is sick. You have to stay healthy --","Scene: Inside a home, Frannie speaks to her daughter Hazel about eating and staying healthy amidst Gus's illness."
20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,doc_19_chunk_0,That's different.,"Scene: In Hazel's bedroom, Frannie observes Hazel reading Gus's novella."
20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,doc_19_chunk_0,Did he give it to you?,"Scene: In Hazel's bedroom, Frannie questions Hazel about the origin of Gus's novella."
20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,doc_19_chunk_0,"I'm sure he'll call, don't worry.","Scene: In Hazel's bedroom, Frannie reassures Hazel after her phone buzzes with no call from Gus."
72、INT HOTEL ROOM - SAME,doc_71_chunk_0,I really don't get that shirt.,"Scene: In a room, Frannie comments on Hazel's Magritte t-shirt."
72、INT HOTEL ROOM - SAME,doc_71_chunk_0,This is not a pipe.,"Scene: In a room, Frannie reads the text on Hazel's t-shirt."
72、INT HOTEL ROOM - SAME,doc_71_chunk_0,But it is a pipe.,"Scene: In a room, Frannie responds to Hazel's explanation about the t-shirt."
72、INT HOTEL ROOM - SAME,doc_71_chunk_1,When did you get so grown up? I feel like it was yesterday I was telling 8-year old Hazel why the sky was blue. You thought I was a genius back then.,"Scene: Interior room, Frannie is speaking to Hazel, reflecting on the past and her relationship with Hazel."
72、INT HOTEL ROOM - SAME,doc_71_chunk_1,Because I say so.,"Scene: Interior room, Frannie responds to Hazel's question about why the sky is blue, after a brief pause."
41、INT HOSPITAL ROOM - ICU - MORNING,doc_40_chunk_1,They thought it was a brain tumor.,"Scene: Hospital room, Frannie explains to Hazel and Michael what the doctors initially thought about Hazel's condition."
41、INT HOSPITAL ROOM - ICU - MORNING,doc_40_chunk_1,"The usual. Fluid in the lungs, preventing oxygenation. They put that in...","Scene: Hospital room, Frannie describes Hazel's medical condition and treatment to Hazel and Michael."
41、INT HOSPITAL ROOM - ICU - MORNING,doc_40_chunk_1,Drained a liter and a half last night.,"Scene: Hospital room, Frannie informs Hazel and Michael about the amount of fluid drained from Hazel's body."
36、INT HAZEL'S UTILITY ROOM - DAY,doc_35_chunk_0,"It's too much, Haze. We can't accept something like that from a virtual stranger.",Scene: Frannie is folding laundry while speaking with Hazel about accepting a gift from someone they don't know well.
36、INT HAZEL'S UTILITY ROOM - DAY,doc_35_chunk_0,Really?,Scene: Frannie is folding laundry while speaking with Hazel about accepting a gift from someone they don't know well.
36、INT HAZEL'S UTILITY ROOM - DAY,doc_35_chunk_0,"It's still ""no,"" I'm afraid.",Scene: Frannie is folding laundry while speaking with Hazel about accepting a gift from someone they don't know well.
7、EXT CHURCH - ESTABLISHING,doc_6_chunk_1,"Of course not, no. I... I have errands to run.","Scene: Outside a location where Hazel and Frannie are talking; Frannie is speaking to her daughter Hazel, claiming she has errands to run despite intending to wait."
7、EXT CHURCH - ESTABLISHING,doc_6_chunk_1,Love you.,Scene: Same location; Frannie is speaking to her daughter Hazel before parting.
7、EXT CHURCH - ESTABLISHING,doc_6_chunk_1,Make some friends!,"Scene: As Frannie gets back in the car, she shouts to her daughter Hazel."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_6,Thank you. That means everything to me.,"Scene: At home, Frannie speaks to her daughter Hazel after receiving support for her decision; the topic is Frannie's upcoming endeavor and Hazel's encouragement."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_6,I'd still really like you to eat.,"Scene: At home, Frannie speaks to her daughter Hazel after their hug; the topic is Hazel's eating habits."
80、EXT CAFE - DAY,doc_79_chunk_1,And after that?,"Scene: At a gathering, Frannie is speaking with Hazel and Gus, asking about their activities."
80、EXT CAFE - DAY,doc_79_chunk_1,Sounds lovely.,"Scene: At a gathering, Frannie responds to Hazel and Gus after they describe spending time together."
80、EXT CAFE - DAY,doc_79_chunk_1,Listen... I'm gonna stretch my legs a little. Give the two of you some time to talk.,"Scene: At a gathering, Frannie announces she is leaving Hazel and Gus alone to talk."
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_1,"What is it, what's wrong?!",Scene: Frannie rushes out of her room in a towel after hearing Hazel shout; she is speaking to Hazel.
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_1,Bath. I was just... just trying to take a bath for five seconds. What's the matter?,"Scene: Frannie, visibly exhausted, speaks to Hazel who interrupted her bath; conversation about the interruption and Hazel's urgency."
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_1,"I'm not supposed to tell you until
your father gets home.
(BEAT)
We're going to Amsterdam.","Scene: Frannie speaks to Hazel about a trip; she reveals they are going to Amsterdam, despite being told not to say anything yet."
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_0,"Actually, it's five o'clock.","Scene: In a bedroom, Frannie responds to Hazel's 'Good morning' and discusses not going to the park."
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_0,Never made it.,"Scene: In a bedroom, Frannie responds to Hazel's question about the park."
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_0,What? I like watching you sleep.,"Scene: In a bedroom, Frannie responds to Hazel's exasperated 'Mom!'"
66、INT HOTEL ROOM - HOURS LATER,doc_65_chunk_0,I promise I'll do crazy Mom stuff tonight while you and Gus are at dinner.,"Scene: In a bedroom, Frannie speaks to Hazel about her plans for the evening."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_1,Finish eating first.,"Scene context not specified: Frannie speaks to Hazel, urging her to eat before leaving."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_1,You haven't eaten a thing.,"Scene context not specified: Frannie speaks to Hazel, expressing concern about her not eating."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_1,"You can't not eat, Hazel.","Scene context not specified: Frannie speaks to Hazel, insisting she must eat."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_1,Sit down.,"Scene context not specified: Frannie tells Hazel to sit down, likely during an argument about leaving without eating."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_5,"I don't just sit around, you know.",
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_5,I'm taking some classes. Online. To get my master's in social work.,"Scene: In a conversation with Hazel and Michael, Frannie reveals she is studying online for her master's in social work."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_5,"Working or reading. If I get my MSW, I can council families in crisis or lead groups dealing with ILLNESS --","Scene: Frannie explains to Hazel that she uses her time outside Support Group for studying, and discusses her career goals with an MSW."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_3,You heard me?,"Scene: In a living room, Frannie speaks with her daughter Hazel after overhearing a conversation with her father; topic is Frannie's previous statement."
95、INT HAZEL'S DINING ROOM - ANOTHER DAY,doc_94_chunk_3,You heard me say that to your father?,"Scene: In a living room, Frannie speaks with her daughter Hazel after overhearing a conversation with her father; topic is Frannie's previous statement."
