doc_title,chunk_id,text,scene_context
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_2,That's what I want.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_9,It was my fault.,
105 INT. TERMINAL,doc_119_chunk_2,"I was, later.",
85A BOOM - A HURRICANE OF WIND AND NOISE,doc_100_chunk_0,Let's go. Eject.,Scene during aircraft emergency: Maverick speaks to Goose about ejecting from the failing jet.
105 INT. TERMINAL,doc_119_chunk_5,Big talk for someone who's never been shot off her computer.,
103 INT. LOCKER ROOM - IMMEDIATELY AFTER,doc_117_chunk_1,Not anymore.,"Scene: In a corridor, Maverick responds to Fungus's comment about flying."
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_11,Who's gonna win?,"On a beach, Maverick speaks with Charlie during a romantic moment, discussing who will say 'I love you' first."
87 INT. HOSPITAL ROOM - NIGHT,doc_106_chunk_1,He was...my responsibility--my RIO.,"Scene with Viper; Maverick speaks about the loss of his RIO, expressing guilt and responsibility."
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_8,How can I go on? I feel so... responsible.,
103 INT. LOCKER ROOM - IMMEDIATELY AFTER,doc_117_chunk_0,Saving them some paperwork.,"Scene: In a locker room, Maverick responds to Fungus while packing his belongings."
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_6,How do you play reality.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_6,Strip reality! How do you play that?,
96 INT. F-14 - DAY,doc_115_chunk_1,DIDN'T ... AHHH...LOOK GOOD.,
96 INT. F-14 - DAY,doc_115_chunk_1,NO. NO GOOD.,
117C CLOSE ON HIS FACE,doc_128_chunk_0,Yessir.,
105 INT. TERMINAL,doc_119_chunk_1,You came to the right place.,
105 INT. TERMINAL,doc_119_chunk_1,What are you having?,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_4,"Here, let me get this. We'll be even.",
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_4,Lucky charm.,
122A INT. MAVERICK'S F-14,doc_139_chunk_1,"Okay, okay.",
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_1,I was flying...my responsibility.,
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_1,Maybe I shouldn't take it.,
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_1,Not to me.,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_2,What about me?,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_2,Or....,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_2,I don't know...,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_0,Where are we?,"Scene: At the beach, Maverick speaks to Charlie upon arriving, appearing dazed."
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_0,You don't have to do this.,"Scene: At the beach, Maverick speaks to Charlie, responding to her behavior."
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_4,"If we knew then, what we know now, 
we might never have come up out of 
there.",
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_4,Hardly ever.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_4,It does.,
87 INT. HOSPITAL ROOM - NIGHT,doc_106_chunk_0,All right.,"Scene: Interrogation room, Maverick responds to Viper's question about his feelings."
87 INT. HOSPITAL ROOM - NIGHT,doc_106_chunk_0,I know. I was there.,"Scene: Interrogation room, Maverick responds to Viper's statement about Goose's death."
122A INT. MAVERICK'S F-14,doc_139_chunk_2,"MAVERICK'S EMGAGED. HARD LEFT, ICE, PADLOCK THE EASTERN SECTION.",
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_10,What does it mean?,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_10,That's three.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_10,One more.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_10,You owe me one.,
123 EXT. THE MISSILE STARTS TO GO,doc_141_chunk_9,Okay.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_1,I'm not good company. I should be alone.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_1,No.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_1,I want it back.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_1,Yesterday.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_8,Goose is dead.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_8,Now?,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_8,Off me or off you?,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_8,It was my fault.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_7,You're crazy.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_7,That's a pretty silly game.,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_7,How does it go?,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_7,What truth?,
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_5,What do you do when you come here?,Scene: Location unspecified; Maverick is speaking with Charlie about his activities at a particular place.
88A ON THE BEACH - NIGHT AND FOG,doc_108_chunk_5,What kind of games?,"Scene: Location unspecified; Maverick is speaking with Charlie, inquiring about the types of games he plays."
122A INT. MAVERICK'S F-14,doc_139_chunk_5,REVERSE RIGHT.,"During an aerial combat sequence, Maverick instructs Ice while intercepting a MiG attacking him."
122A INT. MAVERICK'S F-14,doc_139_chunk_3,BREAKING LEFT!,"During an aerial combat scene, Maverick responds to Fungus's warning about a missile launch while engaged in a dogfight."
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_10,You think I shouldn't fly.,"Scene: Conversation with Viper, discussing Maverick's future as a pilot."
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_10,Would you take me back? Would they?,"Scene: Conversation with Viper, discussing whether Maverick would be accepted back into the program."
105 INT. TERMINAL,doc_119_chunk_3,"I didn't want to see you. I mean, I did...but I didn't..","Scene: In a private conversation with Charlie, Maverick expresses conflicting emotions about seeing her."
105 INT. TERMINAL,doc_119_chunk_3,How could you?,"Scene: In a private conversation with Charlie, Maverick reacts to her understanding of his unspoken feelings."
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_3,You've already made up your mind.,Scene with Viper at an ice cream vendor; Maverick speaks to Viper about his decision.
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_3,You think I should quit?!,Scene with Viper at an ice cream vendor; Maverick reacts defensively to Viper's comments about his piloting.
13 EXT. - MAVERICK'S F-14,doc_13_chunk_0,BOGEY ON YOUR SIX. I'M ON HIS.,Scene: Aerial combat; Maverick warns Cougar about an enemy aircraft and announces he is engaging the attacker.
4500 Critical point.,doc_142_chunk_3,"ALL RIGHT, ICE. COME HARD STARBOARD, THEN EXTEND TO THE EAST.",
123 EXT. THE MISSILE STARTS TO GO,doc_141_chunk_0,"AH, SHIT! GODDAMN IT!",
123 EXT. THE MISSILE STARTS TO GO,doc_141_chunk_0,I GOT ONE COMING UP.,
4500 Critical point.,doc_142_chunk_1,You go. I'm staying with it.,"Scene where Maverick is in a plane, responding to Fungus during a flight emergency."
122B MAVERICK'S COCKPIT,doc_140_chunk_3,"I GOT ONE HERE. ON THE NOSE. 
COMING DOWN.",
122B MAVERICK'S COCKPIT,doc_140_chunk_3,GOT 'EM. GOT GOOD TONE.,
14 EXT. COUGAR'S F-14,doc_15_chunk_1,WHAT'S MIG ONE DOING?,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_5,I know.,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_5,I'm nothing like him.,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_5,"He was by the book, all the way.",
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_5,I never heard that.,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_5,It's not true.,
4500 Critical point.,doc_142_chunk_5,"MAVERICK HE FIRED, BREAK NOW!",
4500 Critical point.,doc_142_chunk_5,He's out! We got him!,
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_0,I'm fine.,"Scene: Unknown location, Maverick responds to Charlie after waking up."
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_0,What?,"Scene: Unknown location, Maverick speaks to Charlie during a conversation about the consequences of his lifestyle."
88 EXT. CHARLIE'S SPORTSCAR - NIGHT,doc_107_chunk_0,He was a friend of mine. A good guy...great guy. It was my fault.,"Scene: Unknown location, Maverick speaks to Charlie about a past friend's death and his guilt."
129 INT. MAVERICK'S F-14,doc_147_chunk_0,"BOSS, YOU BETTER CLEAR IT OUT, WE'RE FIVE MINUTES OUT AND WE'RE DOING IT!",
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_1,"Skipper, sorry to bother you.",
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_1,I called your house.,
106 EXT. BEACH AT VIPER'S HOUSE - LATER,doc_120_chunk_1,"She said you took your kid to the 
each. Every second Sunday. Zoo or 
beach or the ballgame. Y'have the 
option...(Maverick thinks for a 
beat. Segues to the question...)",
127 INT. MAVERICK'S COCKPIT,doc_145_chunk_0,But I have to!,
127 INT. MAVERICK'S COCKPIT,doc_145_chunk_0,"MUSTANG, THIS IS MAVERICK, REQUEST A FLYBY.",
130 INT. PRI-FLY BRIDGE,doc_148_chunk_0,"TEN MILES ASTERN, BOSS. HOW ABOUT IT?","Scene: Over water, Maverick (voice-over) communicates with the Air Boss during a flight operation."
137 HE CUTS HIS ENGINES AS THE GROUND CREW SWARMS,doc_155_chunk_1,No. You can be mine!,Scene where Ice compliments Maverick on his flying and offers to be his wingman; Maverick responds with a playful retort.
128 PRI-FLY BRIDGE - (Primary Flight Control)  USS KITTY,doc_146_chunk_0,"MUSTANG, THIS IS GHOST RIDER. REQUEST A FLYBY FOR TWO.",HAWK: Air Boss communicates with Maverick over UHF; Maverick requests a flyby for two aircraft.
27 DARK TURBULENT CLOUDS,doc_32_chunk_4,"COUGAR, YOU'RE ON THE BALL.",
122B MAVERICK'S COCKPIT,doc_140_chunk_0,"OKAY, GOING UP. ICE, GO HIGH.","During an aerial combat sequence, Maverick communicates with his wingman Ice as they engage enemy MiGs."
122B MAVERICK'S COCKPIT,doc_140_chunk_0,JESUS!,"During an aerial combat sequence, Maverick reacts to a near mid-air collision with an enemy MiG."
145 EXT. MIRAMAR RUNWAY - DAY - MAVERICK'S JET -PULLING UP,doc_163_chunk_0,Let me do the talking.,Scene: Maverick and Fungus are in the cockpit after landing; they see an approaching caravan and discuss who should speak to the arriving personnel.
4500 Critical point.,doc_142_chunk_4,"I GOT A WINDER LEFT, BUT NO GOOD TONE ON IT.",
4500 Critical point.,doc_142_chunk_4,I GOT NO TONE. IT MIGHT GET YOU.,
