doc_title,chunk_id,fact,scene_context
11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),doc_10_chunk_0,Raymond Stantz takes over the party.,birthday party
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_3,Raymond Stantz begins a comprehensive parapsychological work-up on the baby and the immediate physical environment.,
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_1,Raymond Stantz commits to the Ghostbusters taking over the operation from the Fire Captain.,Fire scene: Stantz tells the Fire Captain to give it a rest and states the Ghostbusters will take over.
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_4,Raymond Stantz finds that the hole in the slime wall is the size of a dime.,
43、INT. COURTROOM - WITNESS STAND - DAY (LATER),doc_42_chunk_2,Stantz removed a slime sample from the tunnel.,"Courtroom trial, exhibit table"
32、INT. VAN HORNE STATION - NIGHT (CONTINUOUS ACTION),doc_31_chunk_0,Raymond Stantz orders the cable feeding to stop.,"Station: Cable lowering operation, Stantz orders stop."
28、EXT. EAST 77TH STREET - NIGHT (CONTINUOUS ACTION),doc_27_chunk_4,Raymond Stantz sees the letters NYPRR on the manhole cover.,Uncovering the manhole cover.
28、EXT. EAST 77TH STREET - NIGHT (CONTINUOUS ACTION),doc_27_chunk_3,Stantz hits metal while hammering.,Clearing rubble from a hole
46、INT. COURTROOM - GHOST BATTLE - DAY,doc_45_chunk_9,Ray set traps on the floor.,during the ghost trapping sequence
64、INT. FIREHOUSE - LIVING QUARTERS - CONTINUOUS ACTION - DAY,doc_63_chunk_5,Stantz decides to calm the slime specimen.,Lab: Stantz and Spengler attempt to calm the slime specimen.
64、INT. FIREHOUSE - LIVING QUARTERS - CONTINUOUS ACTION - DAY,doc_63_chunk_8,Stantz causes the toaster to stop moving.,
59、INT. ORREFORS GLASS STORE - CONTINUOUS ACTION,doc_58_chunk_1,Raymond Stantz gives a signal that causes Spengler and Winston to switch on the devices.,"Store, during the ghostbusters' demonstration"
69、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_68_chunk_0,Raymond Stantz decides to sweep the studio.,"Janosz's studio, after Ghostbusters are stopped at the door."
11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),doc_10_chunk_1,Stantz threatens the boy.,Confrontation with a boy
87、EXT. STREET - MANHOLE COVER - NIGHT (SAME TIME),doc_86_chunk_2,Raymond Stantz is wearing only long underwear.,at the open manhole
69、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_68_chunk_4,Stantz is transfixed and unable to look away.,"Room with painting, Vigo's gaze"
69、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_68_chunk_4,Stantz comes back to his senses.,"Room with painting, Winston breaks the spell"
84、INT. VAN HORNE STATION - NIGHT (LATER),doc_83_chunk_1,Stantz notices the slime rising over the edge of the platform and around his boots.,Plumb bob test on the platform
84、INT. VAN HORNE STATION - NIGHT (LATER),doc_83_chunk_3,Raymond Stantz commits to jumping into the slime flow after Winston.,
29、INT. HOLE - NIGHT (CONTINUOUS ACTION),doc_28_chunk_0,Stantz reaches the bottom of the airshaft and swings free in a tunnel.,"Airshaft descent, reaching the bottom"
87、EXT. STREET - MANHOLE COVER - NIGHT (SAME TIME),doc_86_chunk_3,Stantz is standing in front of the museum.,In front of the museum
28、EXT. EAST 77TH STREET - NIGHT (CONTINUOUS ACTION),doc_27_chunk_1,Raymond Stantz arrives at the scene wearing a Con Ed hardhat and imitating a Consolidated Edison repairman.,"Police car arrives at the scene, Spengler freezes, and Venkman and Stantz arrive in disguise."
84、INT. VAN HORNE STATION - NIGHT (LATER),doc_83_chunk_0,"Raymond Stantz has a long, coiled, graduated cord with a plumb bob on the end attached to his utility belt.","Van Horne Station, platform edge, river of slime"
83、INT. VENKMAN'S LOFT - ENTRANCE HALL - CONTINUOUS ACTION,doc_82_chunk_2,Stantz agrees to the decision to pass on the sewer trip.,"Living room, after Dana enters, during the discussion about the sewer trip."
104、INT. PARKVIEW PSYCHIATRIC - PADDED ROOM - NIGHT (SAME TIME),doc_103_chunk_0,Stantz is in a padded cell.,"Padded cell, being examined by a Psychiatrist."
104、INT. PARKVIEW PSYCHIATRIC - PADDED ROOM - NIGHT (SAME TIME),doc_103_chunk_0,Stantz is handcuffed and chained to a leather belt around his waist.,"Padded cell, being examined by a Psychiatrist."
69、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_68_chunk_3,Stantz is left alone with the painting.,Venkman leaves Stantz alone with the painting.
