doc_title,chunk_id,description,scene_context
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_3,"Jacob leans closer, grins",
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_1,Jacob brings his easy smile and optimism to the rescue.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_5,He pulls off his shirt to mop it up.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_1,Jacob's expression changes.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_1,Jacob studies the bikes.,
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_1,Jacob Charlie!,
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_1,Charlie spins to where Jacob points --,
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_0,"Jacob moves among them excitedly, piecing them together.","Scene involving motorcycle parts spread out on blankets, Jacob working on assembling them while Bella watches."
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_0,Jacob comes out of the house.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_0,Jacob gives her a hug.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_4,Jacob races toward her.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_4,Jacob hurries up.,
121、INT. WOODS - MORNING,doc_120_chunk_5,"Jacob circles one another with Edward, seconds from lunging",
121、INT. WOODS - MORNING,doc_120_chunk_5,the Jacob-wolf does the same,
121、INT. WOODS - MORNING,doc_120_chunk_3,"Jacob is horrified, starting to shake with rage.",
121、INT. WOODS - MORNING,doc_120_chunk_3,"Jacob takes Bella's arm, starts to pull her away.",
46、INT. HIGH SCHOOL - CAFETERIA - DAY,doc_45_chunk_2,"Jacob stands next to her, holding the bike up.","ECU ON JACOB AND BELLA'S FACES -- just inches apart, Bella is straddling the now completed motorcycle."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_1,Jacob quickly lifts it off her,Scene involving a bike accident with Bella.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_1,Jacob nods,Scene involving a bike accident with Bella.
121、INT. WOODS - MORNING,doc_120_chunk_1,"Jacob leans back against the tree, arms folded, waiting.",
121、INT. WOODS - MORNING,doc_120_chunk_1,Jacob sees the devotion between them. It wounds him. But he masks it.,
40、INT. JACOB'S GARAGE - OVER THE COURSE OF SEVERAL DAYS,doc_39_chunk_0,"Jacob clowns for Bella's amusement, pretends to skewer himself with a pipe.",
40、INT. JACOB'S GARAGE - OVER THE COURSE OF SEVERAL DAYS,doc_39_chunk_0,"He constantly touches her, playful, affectionate.",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_2,It pains Jacob to see him.,
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_2,"Sam keeps giving me this look, like he's waiting for me or something; it's kinda freaking me out.",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_3,"She sees he's unnerved, instinctively hugs him reassuringly.",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_3,"If this is how you're going to react, I'll freak out more often.",
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_0,Jacob rides shotgun.,Scene: Bella drives along the La Push cliffs.
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_0,He studies a grease-blackened motorcycle crankshaft.,Scene: Bella drives along the La Push cliffs.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_6,"He bends over her, carefully tending her head.",
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_6,He's surprised; there's a moment between them. He smiles.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_2,"He's shaking, almost convulsing with anger.",
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_2,Jacob climbs out after her,Scene near the cliffs where Bella stops the truck after seeing men on the ledge.
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_2,Jacob (bitter) And his cult.,Scene near the cliffs where Bella notices Sam and others on the ledge.
120、INT. EDWARD'S CAR - MORNING,doc_119_chunk_1,JACOB stands in the road directly in front of them.,"Scene: On a road at night, during a car journey."
120、INT. EDWARD'S CAR - MORNING,doc_119_chunk_1,"He glares, then turns and walks into the woods.","Scene: On a road at night, during a car journey."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_9,"He takes this in, it's hard. A wave of something sweeps over him. He sits back. Closes his eyes, takes a breath.",
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_9,"Off Jacob, rattled, and Bella, concerned...",
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_4,"He practically runs away, joining the gang who all disappear inside.",
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_3,"Jacob glances at Sam, who gives him a look. Jacob takes a breath, trying to calm himself.",
5、EXT. FORKS HIGH SCHOOL - PARKING LOT - DAY,doc_4_chunk_8,"He pulls from his coat a small woven DREAMCATCHER, feathers dangling from it. He hands it to her.",
5、EXT. FORKS HIGH SCHOOL - PARKING LOT - DAY,doc_4_chunk_8,"Jacob gives Edward an amiable smile, with just a hint of snark.",
63、INT. BELLA'S BEDROOM - NIGHT,doc_62_chunk_0,Jacob whisper shouts from off-screen: 'Bella! Ouch - damn it; open the window.',
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_2,The two guys share a smile.,
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_2,"Jacob says 'Hey. This is Bella. Bella, that's Quil and Embry. So the bike building story is true.'",
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_2,Jacob scrambles when Quil asks about Bella being his girlfriend.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_0,Jacob turns away.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_0,Jacob follows.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_0,She grabs his arm.,
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_2,"Jacob flashes anger, PUSHES Paul, hard.",
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_1,"Jacob moves in front of Bella protectively, facing Paul.",
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_8,He takes both her hands now.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_8,"JACOB Look, I know what he did to you. I can see it in your face every time his name comes up. But you need to know - I would never, ever do that to you. I promise I will never hurt you. You can count on me.",
121、INT. WOODS - MORNING,doc_120_chunk_4,"JACOB lunges, trying to extract Bella from him",
121、INT. WOODS - MORNING,doc_120_chunk_4,"Edward PUSHES Jacob away; he flies back ten feet in the air, but mid-air he PHASES INTO A WOLF!",
121、INT. WOODS - MORNING,doc_120_chunk_4,"-- The Jacob-wolf lands on all fours, spinning to face Edward in an attack stance.",
121、INT. WOODS - MORNING,doc_120_chunk_0,Jacob leaning against a tree. His expression is hard.,"Scene: Woods, Edward and Bella find Jacob."
121、INT. WOODS - MORNING,doc_120_chunk_0,Jacob (spinning on him) Stay the hell out of my head!,"Scene: Woods, Edward and Bella find Jacob."
121、INT. WOODS - MORNING,doc_120_chunk_0,Jacob doesn't buy it.,"Scene: Woods, Edward and Bella find Jacob."
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_3,"he yanks away from her, runs directly at the Paul-wolf",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_0,Jacob's laughter slows her.,
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_0,"Jacob says they're not really fighting, they're cliff diving.",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_0,"Jacob says it's scary as hell, but a total rush.",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_0,Jacob says most of us jump from lower down.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_1,"He stops, turns back.",
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_1,His face is hard as he shakes his head.,
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_1,He's not talking.,
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_0,Jacob emerges from the trees.,"Clearing illuminated by the moon, after Bella hears a rustle in the trees."
59、INT. BELLA'S TRUCK - ON BELLA - SAME,doc_58_chunk_0,"JACOB standing there. But his face is shockingly different. His hair is cropped short. No friendly smile. No warmth in his eyes. Just a hard, brooding resentment.",
59、INT. BELLA'S TRUCK - ON BELLA - SAME,doc_58_chunk_0,Bella is taken back.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_2,"steps back, bitter",
62、INT. FOREST - NIGHT,doc_61_chunk_0,"he BOLTS backward, suddenly many yards away",
62、INT. FOREST - NIGHT,doc_61_chunk_0,"He, too, retreats further, disappearing until Bella is alone",
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,"Jacob exits, make their way across the yard to her truck.",
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,Jacob says Quil keeps asking to come over.,
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,"Jacob asks what is it with you and age, mentioning the Cullen guy.",
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,He instantly regrets saying Edward's name as he sees it crush her spirits.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_0,"Jacob keeps his distance, trying to control his anger.","Scene near a cliff's edge at sunrise, during an argument with Bella."
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_4,"He looks at her, doesn't want to but knows it's the only way.",
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_4,"He nods slowly, then turns to go.",
73、EXT. EMILY'S BACKYARD - DAY,doc_72_chunk_3,Jacob looks apologetically at Bella.,
85、EXT. BEACH - DAY,doc_84_chunk_1,Jacob nods.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Jacob runs through the instructions,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,she taps it,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,she squeezes it,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,she grips it,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Jacob grins... then KICK-STARTS the bike,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Jacob cautiously steps back,
85、EXT. BEACH - DAY,doc_84_chunk_2,Jacob helps Bella up,
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_3,"Jacob jogs alongside Charlie, peering at Bella with worry.","Outside the house, as Charlie carries Bella inside."
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_3,"Jacob slows, feeling eyes on his back.","Outside the house, as Charlie carries Bella inside."
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_3,Jacob turns to see Sam Uley staring at him.,"Outside the house, as Charlie carries Bella inside."
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_3,"Jacob, uncomfortable, quickly looks away.","Outside the house, as Charlie carries Bella inside."
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_1,Jacob reacts to a repugnant smell outside,
73、EXT. EMILY'S BACKYARD - DAY,doc_72_chunk_0,"With stunning speed, Jacob grabs a four-pronged spading fork from some garden tools, and FLINGS it toward Jared's head",
64、EXT. BELLA'S HOUSE (CONTINUOUS) - NIGHT,doc_63_chunk_0,"Jacob, shirtless, clings to the top of a tree which bends with his weight.",
64、EXT. BELLA'S HOUSE (CONTINUOUS) - NIGHT,doc_63_chunk_0,"He begins to swing his legs, increasing momentum.",
64、EXT. BELLA'S HOUSE (CONTINUOUS) - NIGHT,doc_63_chunk_0,He launches himself THROUGH the window with great agility.,
92、EXT. BELLA'S HOUSE - DAY,doc_91_chunk_1,JACOB'S RABBIT appears in the distance.,
92、EXT. BELLA'S HOUSE - DAY,doc_91_chunk_3,Jacob follows Bella into --,
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_0,Jacob's still holding her close as he shuts the engine off.,"Outside a curb, after arriving in a truck at night."
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_4,"Jacob DIVES headfirst into the air - with another sharp TEARING sound, shreds of cloth blast into the air, fur BURSTS from Jacob's skin - he lands on the ground a gigantic russet-brown wolf, charging the Paul-wolf.","Outside the clearing, during a confrontation involving shape-shifting."
88、EXT. ROAD (CONTINUOUS) - NIGHT,doc_87_chunk_2,"He disappears into the darkness, leaving her alone on the dark road.","Scene: On a dark road, after saying goodbye to Bella."
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_0,Jacob lands on the balls of his feet.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_0,"He freezes, listening for Charlie.",
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_0,"A bitter, self-satisfied grin spreads on his face.",
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_0,He takes in her room.,
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_3,He SLAMS on the brakes.,
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_3,"Jacob Damn it, Bella --",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_1,Jacob stops -- a beat as his anger is replaced by confusion.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_1,He bursts out laughing.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_1,Jacob Bella -- Bella wait... (he stops her),
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,"Jacob and Paul arrive, laughing and jabbing one another.",
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,Jacob's eyes find Bella's.,
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,He nods solemnly to the door; we should talk.,
88、EXT. ROAD (CONTINUOUS) - NIGHT,doc_87_chunk_1,He stops her as she starts to move past him.,
88、EXT. ROAD (CONTINUOUS) - NIGHT,doc_87_chunk_1,He hands her the keys.,
96、INT. BELLA'S ROOM - DAY,doc_95_chunk_1,Jacob (squaring off with Alice),
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,JACOB Upgraded from good looking?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,JACOB I feel fine.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,He takes her hand from his forehead. Holds it.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,JACOB What? I can't hold your hand?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,"JACOB One, that's my problem. But two... we have fun, you think I'm hot --",
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_7,JACOB I know you like me.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_1,JACOB I know. And I want to explain. But... I can't.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_1,He stays put.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_1,"JACOB I broke my promise not to hurt you, I know. But I'm trying to keep it now. I need you to understand... even if you don't want to see me when you find out --",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_3,JACOB looks worried as he speaks.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_3,"JACOB explains the origin of the tribe's ability, describing how the gene activates when a vampire appears.",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_3,Desolation fills him. She sees this.,
96、INT. BELLA'S ROOM - DAY,doc_95_chunk_2,"Jacob growls, a shudder ripping through him.",
86、INT. BELLA'S TRUCK - NIGHT,doc_85_chunk_0,Jacob drives.,
86、INT. BELLA'S TRUCK - NIGHT,doc_85_chunk_0,"He pulls her close, wrapping an arm around her",
86、INT. BELLA'S TRUCK - NIGHT,doc_85_chunk_0,JACOB (grins),
93、INT. BELLA'S HOUSE - LIVING ROOM - DAY,doc_92_chunk_0,Jacob enters behind Bella.,
93、INT. BELLA'S HOUSE - LIVING ROOM - DAY,doc_92_chunk_0,"She sees he's shut down, cold.",
74、EXT. BELLA'S HOUSE - NIGHT,doc_73_chunk_0,Jacob walks her to the door.,
74、EXT. BELLA'S HOUSE - NIGHT,doc_73_chunk_0,He sees she's blue.,
74、EXT. BELLA'S HOUSE - NIGHT,doc_73_chunk_0,He offers a reassuring look before jogging into the woods.,
93、INT. BELLA'S HOUSE - LIVING ROOM - DAY,doc_92_chunk_2,"Jacob, the closest to it, doesn't move his face, just keeps looking into her eyes as he reaches for the phone, answers --",
85、EXT. BEACH - DAY,doc_84_chunk_0,Jacob hits her on the back.,"Scene involving Bella coughing up water after being unconscious, Jacob trying to revive her."
85、EXT. BEACH - DAY,doc_84_chunk_0,"Jacob hovers over her, relieved.","Scene involving Bella coughing up water after being unconscious, Jacob trying to revive her."
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_2,JACOB I can't do it.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_2,JACOB It's not something I can run away from.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_2,JACOB I would run with you though. If I could.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_2,"JACOB (beat, realizing) Wait. Wait, I already -- I told you. You know this -- you can guess.",
92、EXT. BELLA'S HOUSE - DAY,doc_91_chunk_2,"Jacob drives, Embry in the passenger seat.","Scene involving Jacob and Embry in a vehicle, with Bella approaching."
92、EXT. BELLA'S HOUSE - DAY,doc_91_chunk_2,Jacob climbs out.,"Scene involving Jacob and Embry in a vehicle, with Bella approaching."
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_2,"He abruptly pulls Bella back into the truck, SLAMS her door shut and starts the truck.",
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_2,"As Jacob whips the truck around, the HEADLIGHTS ILLUMINATE --",
87、EXT. BELLA'S HOUSE/INT. TRUCK (CONTINUOUS) - NIGHT,doc_86_chunk_2,Jacob floors it --,
96、INT. BELLA'S ROOM - DAY,doc_95_chunk_0,"Jacob dogs her, protesting.",
96、INT. BELLA'S ROOM - DAY,doc_95_chunk_0,Jacob (stops her),
96、INT. BELLA'S ROOM - DAY,doc_95_chunk_0,This wounds him.,
97、EXT. BELLA'S HOUSE - DAY,doc_96_chunk_0,"Jacob catches Bella's arm, not hostile. Just pleading.",
97、EXT. BELLA'S HOUSE - DAY,doc_96_chunk_0,"He watches, agonized as she races to the car, climbs in...",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_5,"JACOB
Yeah, didn't mind taking him out. His
red-headed girlfriend will be fun,
too.",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_5,"JACOB
We chased her all the way to the border the other night. But she won't stay gone. Keeps coming back -- if we knew what she was after...",
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_5,(sees Bella's face),
95、INT. BELLA'S HOUSE - LIVING ROOM - SAME,doc_94_chunk_0,Jacob hangs up the phone.,
95、INT. BELLA'S HOUSE - LIVING ROOM - SAME,doc_94_chunk_0,"Jacob's eyes go wild, his body stiffens, starts trembling in the way that precedes a wolf-morph.",
95、INT. BELLA'S HOUSE - LIVING ROOM - SAME,doc_94_chunk_0,"Jacob steps away from me, Bella.",
