doc_title,chunk_id,text,scene_context
137、INT. JD'S BAR - NIGHT,doc_136_chunk_5,Thank you.,
31、INT. BOXING GYM - NIGHT,doc_30_chunk_0,Ten grand blind.,
32、INT. BOXING GYM CHANGING ROOM - NIGHT,doc_31_chunk_0,Twenty thousand open.,
137、INT. JD'S BAR - NIGHT,doc_136_chunk_3,The silly sod.,
103、INT. JD'S BAR - DAY,doc_102_chunk_0,"That inspires confidence, that does.",
34、INT. BOXING GYM - NIGHT,doc_33_chunk_0,,
25、INT. BOXING GYM - NIGHT,doc_24_chunk_2,When my knees stop knocking I'll live with it. Four hundred blind.,
26、INT. BOXING GYM CHANGING ROOM - NIGHT,doc_25_chunk_2,One thousand blind.,
26、INT. BOXING GYM CHANGING ROOM - NIGHT,doc_25_chunk_2,Two thousand blind.,
15、INT. JD'S BAR - NIGHT,doc_14_chunk_0,I am going to the john.,JD's bar; Eddy speaks to the group before leaving to go to the restroom.
130、EXT. HATCHET HARRY'S OFFICE ED'S CAR - DAY,doc_129_chunk_0,"You and me, Tom.","Outside Hatchet's door, Eddy speaks to Tom just before they are about to ring the doorbell."
139、INT. JD'S BAR - NIGHT,doc_138_chunk_0,There's nothing in it!,
139、INT. JD'S BAR - NIGHT,doc_138_chunk_0,I mean it's fucking empty.,
25、INT. BOXING GYM - NIGHT,doc_24_chunk_1,"No Frazer, it's just I'm the only classy fella you have had the pleasure of seeing in London. One hundred and seventy-five blind.",
2、EXT. STREET (FLASHBACK] - DAY,doc_1_chunk_2,"Bargain, that's a bloody bargain if I ever heard one. Ten pounds you say? I'll have five. Certainly sir. I'll just wrap.",
37、INT. BOXING GYM - MGHT,doc_36_chunk_0,One hundred grand.,
26、INT. BOXING GYM CHANGING ROOM - NIGHT,doc_25_chunk_4,"Donald, do you know how to play this game? The reason I put in half the anti is because I don't know what I have got. Now play, or fold.",
"135、INT. SIDE ROOM TO INTERROGATION ROOM - PRESENT, OPENING SCENE",doc_134_chunk_0,"If you think you're in the dark, I am in a black hole, blindfolded.","Scene: Behind a two-way mirror, Eddy responds to SERG who is questioning him about a situation."
3、INT. GROCER'S SHOP - MORNING,doc_2_chunk_0,"Nick the Greek, always a pleasure. All right Tom, what you been eating?","At a grocer's shop, Eddy greets Nick the Greek and Tom, then asks Tom about his eating habits."
22、INT. BOXING GYM - NIGHT,doc_21_chunk_2,"Yup, you must be Harry? Sorry, I didn't know your father.",
