doc_title,chunk_id,text,scene_context
57、EXT. DESERT - DAY,doc_56_chunk_0,Come get your comb.,"Desert ride, Lo tells Jen to come get her comb."
57、EXT. DESERT - DAY,doc_56_chunk_0,Hurry back to your mother.,"After Jen is flung off her horse, Lo tells her to hurry back to her mother."
56、EXT. CARRIAGE/MONGOLIAN DESERT - DAY,doc_55_chunk_0,Don't touch the women!,Attack on caravan: Lo orders bandits not to touch women.
63、INT. CAVE - NIGHT,doc_62_chunk_0,You've got quite a temper. It's better this way.,Cave: Lo speaks to tied-up Jen after she chokes on water
63、INT. CAVE - NIGHT,doc_62_chunk_0,Still in a bad mood? At least you're speaking. What's your name?,Cave: Lo speaks to Jen after she calls him a coward
63、INT. CAVE - NIGHT,doc_62_chunk_0,I didn't think the Hans had names like that.,Cave: Lo speaks to Jen after she spits at him
66、EXT. CAVE - NIGHT,doc_65_chunk_0,"When I was a boy, one night, I saw a thousand shooting stars. I thought, where did they all go? I'm an orphan. I used to look for stars alone. I thought if I rode to the other end of the desert, I'd find them. I've been riding in the desert ever since.","In the bath, Lo speaks to Jen about his childhood as an orphan and his search for stars."
64、INT. CAVE - NIGHT,doc_63_chunk_1,I don't take orders from anyone.,Confrontation with Jen over orders
69、EXT. CLIFF - DAY,doc_68_chunk_0,"Your father's men are still looking for you. They're still out there, circling closer.",Crest of cliff: Lo and Jen see uniformed men; Lo discusses father's men searching for Jen.
69、EXT. CLIFF - DAY,doc_68_chunk_0,It is trouble for me.,Crest of cliff: Lo and Jen see uniformed men; Lo states the trouble for him.
66、EXT. CAVE - NIGHT,doc_65_chunk_1,"Out here, you always fight for survival. You have to be part of a gang to stand a chance. Slowly, your gang becomes your family. All that Dark Cloud stuff is just to scare people and make my life easier.","Speaking with Jen about survival, gangs, and Dark Cloud"
66、EXT. CAVE - NIGHT,doc_65_chunk_1,I am a man. And now I've found the brightest star of all.,Speaking with Jen about being a man and finding the brightest star
64、INT. CAVE - NIGHT,doc_63_chunk_0,No more hitting on the head! All this trouble for a comb?,"In a scene where Lo is removing cactus needles from Jen's feet, discussing a comb."
64、INT. CAVE - NIGHT,doc_63_chunk_0,Not true. I can use it to pick fleas from my horse.,"In a scene where Lo is removing cactus needles from Jen's feet, discussing a comb."
64、INT. CAVE - NIGHT,doc_63_chunk_0,I'm sorry... I guessed wrong. I though you were a Han.,"In a scene where Lo is removing cactus needles from Jen's feet, discussing a comb."
58、EXT. DESERT BLUFF - DAY,doc_57_chunk_0,She's mine.,Sand scene: Lo claims Jen as her own to the bandits.
78、INT. CITY OUTSKIRTS - DAY,doc_77_chunk_0,She's mine.,After Lo tells his story to Yu and Li.
78、INT. CITY OUTSKIRTS - DAY,doc_77_chunk_0,I don't care anymore.,After Lo tells his story to Yu and Li.
78、INT. CITY OUTSKIRTS - DAY,doc_77_chunk_0,All right.,After Lo tells his story to Yu and Li.
107、EXT. WU TAN MOUNTAIN - DAY,doc_106_chunk_0,A faithful heart makes wishes come true.,"Bridge: Jen asks about the legend of the young man, Lo responds with the saying."
107、EXT. WU TAN MOUNTAIN - DAY,doc_106_chunk_0,"To be back in the desert, together again.","Bridge: Jen prompts Lo to make a wish, Lo states his wish."
70、INT. TENT - DAY,doc_69_chunk_0,I will.,Jen asks Lo to return the jade comb; Lo agrees.
54、INT. JEN'S ROOM - NIGHT,doc_53_chunk_0,Jen!,Jen's room: Lo sneaks in through the window and calls Jen's name.
54、INT. JEN'S ROOM - NIGHT,doc_53_chunk_0,With all the traffic on your rooftop these days... it took me a while to get in here. I can't wait any longer. I was wrong to let you go. Come back with me. You'll be happy in the desert. You'll be free there.,Jen's room: Lo pleads with Jen to return to the desert.
76、INT. WEDDING CARRIAGE - DAY,doc_75_chunk_0,Jen! Come with me! You're mine!,"Outside carriage, Lo calls to Jen inside."
76、INT. WEDDING CARRIAGE - DAY,doc_75_chunk_0,Come with me to the desert! Jen!,"In the crowd, Lo calls to Jen about the desert."
76、INT. WEDDING CARRIAGE - DAY,doc_75_chunk_0,Come with me to Xin Jiang!,"In the crowd, Lo calls to Jen about Xin Jiang."
59、EXT. DESERT - DAY,doc_58_chunk_0,Let's stop a moment.,"Riding, Lo suggests stopping to rest."
59、EXT. DESERT - DAY,doc_58_chunk_0,You're tired. You need rest. Your horse needs water. There's a creek up here.,"Riding, Lo explains the need for rest and points to a creek."
59、EXT. DESERT - DAY,doc_58_chunk_0,"Well, there used to be! What's your name? I'm Lo. The Hans call me Dark Cloud. I'm not that tall or big, but I'm quick as lightning.","At a dry creek bed, Lo speaks to Jen about the creek."
72、INT. JEN'S ROOM - NIGHT,doc_71_chunk_0,Jen...,After Jen whispers 'Go' to Lo
60、INT. CAVE - DAY,doc_59_chunk_1,You're eating too fast. Slowly.,Jen is wolfing down food; Lo tells her to slow down.
63、INT. CAVE - NIGHT,doc_62_chunk_1,"Relax. If I had wanted to, I would already have done it. You must be dying for a bath. Fresh water's hard to get here. But I managed to bring some up. You can wear my clothes when you're done. They're clean. Don't worry. I'll sing, so you'll know where I am.","In a makeshift bathroom, Lo speaks to Jen after untying her, offering a bath and explaining the water situation."
67、EXT. DESERT - DAY,doc_66_chunk_0,"Your father's men are looking for
you.",Lo uses binoculars to inform Jen that her father's men are looking for her.
