id,scene,question,answer,evidence,qa_type
1,2、INT. FLETCHER'S APARTMENT - NIGHT,What action does Gerald take toward his wife as the slides change?,Gerald runs his hand along his wife's stockinged leg.,Gerald runs his hand along his wife's stockinged leg.,detailed description
2,21、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY,"In [21、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY], Where is the electric razor plugged in?",Into the lamp above his dead brother,His electric razor is plugged into the lamp above his dead brother.,scene localization
3,27、EXT. FRANK CARTER'S HOUSE - DAY,"In [27、EXT. FRANK CARTER'S HOUSE - DAY], What is Eddie Appleyard's emotional state during the funeral?",Grieving Frank's death,EDDIE states Frank was a 'good bloke' and 'one of the best' while at the funeral,character states
4,24、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY,"In [24、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY], What is Doreen's emotional state when she first sees the coffin?",Mesmerized and dazed,She seems mesmerized by what's going on. Doreen is dazed when answering Carter.,character states
5,51、INT. BOARDING HOUSE - HALL/SITTING ROOM - NIGHT,What does Carter say the casket contains?,"My brother, Frank.","EDNA What is it? CARTER My brother, Frank.",dialogue/beliefs
6,63、INT. BOARDING HOUSE - HALL - NIGHT,How does Carter prevent the man from exiting the car?,"Carter grabs the door and slams it against the man, shattering the window.","Carter grabs it and pulls it wide open. With all his force, he slams it against the man as he gets out. The window shatters over his head.",detailed description
7,53、INT. BOARDING HOUSE - SITTING ROOM - NIGHT,What does Carter express a desire to do to Edna?,Stroke her and kiss her all over,CARTER ... I want to stroke you and kiss you all over.,dialogue/beliefs
8,46、INT. THE HEIGHTS - SITTING ROOM - LATE AFTERNOON,What does Kinnear say about fixing Eric up?,"If I'd known, I'd have fixed him up with something better.","KINNEAR
If I'd known, I'd have fixed him
up with something better.",dialogue/beliefs
9,39、EXT. TRACK SADDLING ENCLOSURE - DAY,What does Carter claim about his feelings for Eric?,He claims to care about Eric's welfare and is nosy.,"CARTER: I've always ad your welfare at heart, Eric. Besides which, I'm nosy.",dialogue/beliefs
10,38、EXT. TRACK ENCLOSURE - DAY,"In [38、EXT. TRACK ENCLOSURE - DAY], What action does Albert take after paling?",He holds his race card and disappears into the crowd.,He holds his race card in front of his face and disappears into the crowd.,character states
