doc_title,chunk_id,fact,scene_context
公园，夜，外,doc_103_chunk_0,纪念册上'喜欢的人'那一栏写着徐太宇的名字。,长椅上，林真心查看纪念册
演唱会门口，日，外,doc_106_chunk_0,林真心发现神秘男子的身份是刘德华。,演唱会前的小摊附近
教导主任室，日，内,doc_36_chunk_0,林真心目睹了徐太宇捏碎欧阳非凡的照片。,教导主任办公室
教导主任室，日，内,doc_36_chunk_0,林真心被判处清理泳池十个小时的爱校服务。,教导主任办公室
教室，日，内,doc_10_chunk_0,林真心的桌子上铺满了刘德华的照片,教室，陈老师讲课期间
教室，日，内,doc_16_chunk_0,林真心在班主任的书里夹了一封信。,教室，班主任教训学生时
游泳池，日，外,doc_38_chunk_0,林真心被徐太宇从水池中救出。,泳池
演唱会，夜，外林真心打电话：喂！,doc_107_chunk_0,林真心确认了神秘男子的身份是徐太宇。,电话交谈中
演唱会门口，日，外,doc_106_chunk_1,林真心与刘德华完成了合影。,
演唱会门口，日，外,doc_106_chunk_1,刘德华为林真心签名。,
演唱会门口，日，外,doc_106_chunk_1,刘德华在纸上写下了电话号码。,
林真心家，夜，内,doc_15_chunk_0,林真心在家庭聚餐中被父母忽视。,餐桌前，家庭聚餐
篮球场，日，外,doc_48_chunk_0,林真心从崇德国中的校录中找到了徐太宇和欧阳非凡的名字。,崇德国中篮球场
林真心家，日，内,doc_105_chunk_0,林真心看到了刘德华的演唱会通知,电脑前
写字楼，日，内,doc_104_chunk_0,林真心提交了辞职信。,老板办公室
超市，夜，内,doc_2_chunk_0,林真心的电话无人接听。,超市
超市，夜，内,doc_2_chunk_0,林真心躲在柜台后。,超市
超市，夜，内,doc_2_chunk_0,林真心一脸不高兴。,超市
仓库，日，内,doc_43_chunk_0,林真心离开了现场,
仓库，日，内,doc_41_chunk_0,林真心发现了狗,仓库二楼，林真心和徐太宇探出头时
林真心家，日，内,doc_5_chunk_0,林真心是高中生。,卧室，早晨
楼顶，日，外,doc_44_chunk_0,林真心被指定在找到收养人之前带狗回家。,楼顶
公园，夜，外,doc_72_chunk_0,林真心能够自己溜冰。,公园溜冰
林真心卧室，夜，内,doc_83_chunk_0,林真心给徐太宇的电话未被接通。,
街道，夜，外,doc_59_chunk_0,林真心获得了刘德华塑料玩具。,送林真心回家的路上
街道，夜，外,doc_59_chunk_0,林真心获得徐太宇教溜冰的承诺。,送林真心回家的路上
画面组合,doc_68_chunk_0,欧阳非凡从林真心手里拿走了传单。,福利社门口
林真心家门口，日，外,doc_6_chunk_0,林真心即将十八岁,
街道，日，外,doc_92_chunk_0,林真心发现搂她的人是欧阳非凡。,街道
公园，夜，外,doc_94_chunk_0,林真心的技术已经娴熟。,小广场
食堂，日，内,doc_91_chunk_0,桌子上放着林真心和徐太宇读书时留下的笔记。,围坐聊天处，林真心走来后
林真心家，夜，内林母在批评林真心。,doc_70_chunk_0,林真心被禁止出门两天。,家庭客厅，林父命令林真心
317 教室，日，内,doc_90_chunk_0,林真心到达了317教室。,317教室
林真心家，夜，外,doc_85_chunk_0,林真心的生日是明天,门口，樱木和大贺为林真心准备生日惊喜
林真心家，夜，外,doc_85_chunk_0,林真心获得了磁带,门口，樱木和大贺为林真心准备生日惊喜
画面组合,doc_98_chunk_0,林真心被徐太宇从泳池中救出,游泳池
街道，日，外,doc_51_chunk_0,林真心拒绝了徐太宇的扶起请求。,徐太宇走到林真心身边后，林真心摔倒时
街道，日，外,doc_51_chunk_0,林真心的胳膊上满是血。,林真心再次摔倒后
街道，日，外,doc_51_chunk_0,林真心最先到达了那条线。,比赛结束时
林真心家，日，外,doc_61_chunk_0,林真心的发型与女孩儿的发型相同。,家门口，林真心与女孩儿对比发型时
教室楼顶，日，外,doc_87_chunk_0,徐太宇没有拿林真心的毕业册。,楼顶，生日庆生讨论中
食堂门口，日，外,doc_62_chunk_0,林真心的发型是短发。,食堂
