doc_title,chunk_id,description,scene_context
101、INT. CABIN - OUTSIDE TOILET,doc_100_chunk_0,Ted leans his back against the door and breathes heavily.,
103、INT. CABIN - OUTSIDE TOILET,doc_102_chunk_0,Ted spots Elaine coming.,
135、INT. SEEDY HOTEL ROOM - NIGHT,doc_134_chunk_2,Ted grabs his straightjacket and leaves.,
134、EXT. GROUNDS OF MENTAL HOSPITAL - DAY,doc_133_chunk_0,He looks both ways and bolts.,"Hospital grounds, escape attempt"
145、INT. CABIN,doc_144_chunk_0,Ted lies unconscious.,
150、INT. COCKPIT,doc_149_chunk_0,Ted enters.,
150、INT. COCKPIT,doc_149_chunk_0,Ted picks up Oveur who is still gasping.,
150、INT. COCKPIT,doc_149_chunk_0,Ted drags him onto the floor and takes his seat.,
188、INT. CABIN,doc_187_chunk_3,Ted tackles him.,
161、INT. COCKPIT,doc_160_chunk_0,Ted is at controls and on the radio.,
112、INT. CABIN,doc_111_chunk_0,Ted becomes slightly hypnotized.,Hypnosis session with Stella
225、INT. COCKPIT,doc_224_chunk_0,Ted shifts a stick shift on the steering column.,
154、INT. COCKPIT,doc_153_chunk_0,Ted grabs the radio.,on a ship
154、INT. COCKPIT,doc_153_chunk_0,Ted hits a switch.,on a ship
135、INT. SEEDY HOTEL ROOM - NIGHT,doc_134_chunk_0,Ted stands at window.,"Chicago, inside a room"
135、INT. SEEDY HOTEL ROOM - NIGHT,doc_134_chunk_0,Ted turns away from the window and passes the lamb in bed.,"Chicago, inside a room"
106、EXT. GRAVESIDE - RAINY DAY,doc_105_chunk_0,"He holds her high by the waist, twirls her around as they laugh.",Funeral at a grave
165、INT. COCKPIT,doc_164_chunk_0,Ted writes a note to Elaine and hands it to her,cabin
105、INT. CABIN,doc_104_chunk_1,Ted sits down and Stella starts patching him up.,
137、EXT. ANOTHER DARK STREET - CLOSEUP OF TED,doc_136_chunk_0,"standing, looking at a bar.",At a bar
137、EXT. ANOTHER DARK STREET - CLOSEUP OF TED,doc_136_chunk_0,He pulls out a cigarette.,At a bar
137、EXT. ANOTHER DARK STREET - CLOSEUP OF TED,doc_136_chunk_0,Ted draws deeply on the cigarette.,At a bar
188、INT. CABIN,doc_187_chunk_0,Ted and Mary huddle.,Front of cabin
215、INT. COCKPIT,doc_214_chunk_0,Ted pulls the lever hard toward himself.,On a ship
234、INT. COCKPIT,doc_233_chunk_0,Ted sticks the bobby pin into the wires.,
110、INT. CABIN,doc_109_chunk_0,Ted notices Unger float by outside his window.,At window
110、INT. CABIN,doc_109_chunk_0,He tries to take a drink and pours it on his forehead.,At window
133、INT. CABIN - ANOTHER ANGLE,doc_132_chunk_4,"Ted looks at the red flashing ""FASTEN YOUR SEATBELTS"" sign.",
133、INT. CABIN - ANOTHER ANGLE,doc_132_chunk_4,It takes him back.,
138、INT. HARRY'S,doc_137_chunk_3,He pulls out a cigarette.,"Bar, Ted pulling out a cigarette"
248、INT. COCKPIT,doc_247_chunk_0,Ted and Elaine are covered in piano keys.,
213、INT. COCKPIT,doc_212_chunk_0,Ted fights for control.,On the ship during violent shake
213、INT. COCKPIT,doc_212_chunk_0,Ted pulls an acceleration lever.,On the ship after the 'Compute' sign flashes
139、EXT. COCKPIT - TED,doc_138_chunk_0,getting a drink of water.,"Outside cockpit door, Simon shuts the door and bumps into Ted"
232、INT. COCKPIT,doc_231_chunk_0,Ted throws it on his face.,
232、INT. COCKPIT,doc_231_chunk_0,"He reaches down and rips the panel off, exposing all sorts of wires.",
232、INT. COCKPIT,doc_231_chunk_0,Ted looks around for a piece of metal.,
232、INT. COCKPIT,doc_231_chunk_0,Ted is overwhelmed by her.,
172、INT. CABIN,doc_171_chunk_0,"Ted has the coffee machine apart, wears a headset and holds wires in pliars.","At coffee machine, anxious passengers stand over Ted."
228、INT. COCKPIT,doc_227_chunk_0,Ted is fighting to maintain control.,
228、INT. COCKPIT,doc_227_chunk_0,Ted and Elaine give startled looks of recognition.,
112、INT. CABIN,doc_111_chunk_1,he pops automatically,On a ship
112、INT. CABIN,doc_111_chunk_1,misses his face with his drink,On a ship
136、EXT. CITY STREET - NIGHT,doc_135_chunk_1,Ted steps into light.,Street scene
136、EXT. CITY STREET - NIGHT,doc_135_chunk_1,He ignores piano and gives Gloria and Cab a quizzical look.,Street scene
136、EXT. CITY STREET - NIGHT,doc_135_chunk_1,"He steps in a puddle where a ""BAR-COCKTAILS"" sign is reflected.",Street scene
136、EXT. CITY STREET - NIGHT,doc_135_chunk_1,"He bends down and picks up a wet matchbook -- ""HARRY'S PLACE -- FOR A GOOD TIME.""",Street scene
35、INT. HOTEL ROOM,doc_34_chunk_2,Ted spins and the paper stays still. He stops.,
138、INT. HARRY'S,doc_137_chunk_8,still playing,"stage, after PULL BACK"
201、INT. COCKPIT,doc_200_chunk_0,Ted is at the controls.,"At the controls, Elaine rushes in."
230、INT. COCKPIT,doc_229_chunk_0,Ted pushes his WORP lever forward but it comes off in his hand.,
190、INT. COCKPIT,doc_189_chunk_0,Ted is back at the controls,"Cockpit, incredibly hot"
190、INT. COCKPIT,doc_189_chunk_0,He looks down and sees two eggs frying on the dash.,"Cockpit, eggs frying on dash"
194、INT. COCKPIT,doc_193_chunk_0,(grabs case),After womb visual and doctor's voice
194、INT. COCKPIT,doc_193_chunk_0,Ted leaves.,After womb visual and doctor's voice
197、INT. COMPUTER CORE,doc_196_chunk_0,Ted wears a gas mask and attaches the time-bomb to the computer.,
197、INT. COMPUTER CORE,doc_196_chunk_0,Ted makes sure his gas mask is tight.,Gas spewing from a vent
220、INT. COCKPIT,doc_219_chunk_0,Ted struggles with the controls.,"Inside the interior, on course to Mercury."
244、INT. COCKPIT,doc_243_chunk_0,Ted fights the controls.,Plane during landing.
32、INT. HOTEL ROOM - DAY,doc_31_chunk_0,"Ted lies on the bed soaked with sweat, a drink in his hand, a cigarette dangling from his lip.","Hotel Montenegro room, hot and dusty"
32、INT. HOTEL ROOM - DAY,doc_31_chunk_0,"He takes a drink and, forgetting to remove the cigarette, swallows it without batting an eye.","Hotel Montenegro room, hot and dusty"
36、EXT. HOTEL MONTENEGRO,doc_35_chunk_0,Ted races out.,"Outside, attempting to hail a taxi"
36、EXT. HOTEL MONTENEGRO,doc_35_chunk_0,Ted jumps into the taxi on bottom of pile.,Inside the pile of cars
36、EXT. HOTEL MONTENEGRO,doc_35_chunk_0,Ted throws a map onto the floor of the front seat.,In the taxi
38、INT. TERMINAL,doc_37_chunk_2,Ted pushes his way through the crowd past two businessmen.,In a crowd
38、INT. TERMINAL,doc_37_chunk_3,He seems a bit puzzled but moves on.,"Ticket line, after agent's response to Ted's question about mission control"
257、EXT. PLANET SURFACE - DAWN,doc_256_chunk_0,Ted and Elaine walk off into the distance.,Walking away from crash area (sirens in distance)
257、EXT. PLANET SURFACE - DAWN,doc_256_chunk_0,"Ted stops and looks into the distant, dark sky.",After Elaine's question about their future
43、INT. TERMINAL,doc_42_chunk_0,Ted is still following Elaine.,
43、INT. TERMINAL,doc_42_chunk_0,Ted has another FLASHBACK.,
44、INT. MENTAL HOSPITAL,doc_43_chunk_4,Ted gags on his spaghetti.,
44、INT. MENTAL HOSPITAL,doc_43_chunk_4,He turns away.,
35、INT. HOTEL ROOM,doc_34_chunk_0,Ted pacing,At the Cross
40、INT. ROCKET HANGAR,doc_39_chunk_4,He struggles and rants.,
40、INT. ROCKET HANGAR,doc_39_chunk_4,Ted falls unconscious.,
38、INT. TERMINAL,doc_37_chunk_4,Ted passes travellers in rags.,2nd Class line
38、INT. TERMINAL,doc_37_chunk_4,"Ted passes the ""NO CLASS"" line.",NO CLASS line
38、INT. TERMINAL,doc_37_chunk_4,Ted spots the INFORMATION counter and heads for it.,Information counter
40、INT. ROCKET HANGAR,doc_39_chunk_6,Ted still standing alone and muttering.,Ted standing alone and muttering
40、INT. ROCKET HANGAR,doc_39_chunk_6,Ted notices Stella Barrington looking at him.,Ted noticing Stella Barrington
41、INT. TERMINAL - OUTSIDE DRUGSTORE,doc_40_chunk_0,Ted approaches.,Near a photo booth
257、EXT. PLANET SURFACE - DAWN,doc_256_chunk_1,Ted and Elaine walk towards crawl,New Frontier: Ted and Elaine walking towards crawl
255、EXT. SHIP ON A HILL - DAWN,doc_254_chunk_0,Ted and Elaine stand looking down on the wreckage.,Wreckage site
255、EXT. SHIP ON A HILL - DAWN,doc_254_chunk_0,Ted holds Elaine.,Wreckage site
255、EXT. SHIP ON A HILL - DAWN,doc_254_chunk_0,Ted and Elaine kiss.,Wreckage site
44、INT. MENTAL HOSPITAL,doc_43_chunk_1,Ted hands her bills.,"Room with bed, nurse presents bill."
39、INT. TERMINAL - ANOTHER AREA,doc_38_chunk_2,The wind is still blowing in his hair even though he stands still.,ANGLE ON TED
