doc_title,chunk_id,text,scene_context
152、电梯内，日，内,doc_151_chunk_0,你认错人了。,电梯中，麦克与包世宏对峙，主题为身份认错。
32、文庙外售票窗前，日，外,doc_31_chunk_0,谢谢！,文庙售票窗口，麦克购票后说谢谢。
23、理发店，日，内,doc_22_chunk_1,一台车就够了，满意嘛，280。,理发店，麦克与四眼讨论车价。
147、文庙附近街道/汽车旁，日，外,doc_146_chunk_0,……出了一点小小的意外……情况还在我的控制中,街边：麦克与四眼通话，讨论意外情况。
147、文庙附近街道/汽车旁，日，外,doc_146_chunk_0,……我是讲诚信的……，相信我，一定会对您做出补偿。,街边：麦克与四眼通话，承诺诚信和补偿。
25、机场外，日，外,doc_24_chunk_0,先生，你认错人。,机场：黑皮蒙眼后，麦克否认被误认。
25、机场外，日，外,doc_24_chunk_0,先生！放开，我不认识你。,机场：出租车开走后，麦克要求黑皮放开。
25、机场外，日，外,doc_24_chunk_0,shit!,机场：发现皮箱消失后，麦克惊呼。
28、一组镜头,doc_27_chunk_0,削铁如泥，你试试。,街头卖货处，麦克展示剃斗刀
28、一组镜头,doc_27_chunk_0,外贸的，你看这弹性。,街头卖货处，麦克展示夜行衣
28、一组镜头,doc_27_chunk_0,包你看得清清楚楚？姑娘吧？,街头卖货处，麦克展示微型探头
28、一组镜头,doc_27_chunk_0,不要发票吧？,街头卖货处，麦克展示笔记本电脑
28、一组镜头,doc_27_chunk_0,前苏联的，打美帝都使这个。,街头卖货处，麦克展示夜视眼镜
150、冯董办公室，日，内,doc_149_chunk_3,shit,办公室，麦克被箭射中后拔箭
150、冯董办公室，日，内,doc_149_chunk_3,喂，你好……,办公室，麦克接起电话
150、冯董办公室，日，内,doc_149_chunk_3,喂……,办公室，麦克继续打电话
150、冯董办公室，日，内,doc_149_chunk_3,shit！,办公室，麦克将手机和电话同时接听
60、歌厅/街角，夜，内,doc_59_chunk_0,shit，对不起，我没有时间猜你是睡,电话中，与四眼在沙发上对话
60、歌厅/街角，夜，内,doc_59_chunk_0,SHIT，我再给你说一遍，没有特殊情况，请不要打这个电话。OK?。,电话中，与四眼在沙发上对话
60、歌厅/街角，夜，内,doc_59_chunk_0,你跟老板讲，现在情况比较复杂，其他人也有介入。但我会如期交货。,电话中，与四眼在沙发上对话
23、理发店，日，内,doc_22_chunk_0,造型师！,在椅子上，麦克与四眼讨论工作细节。
23、理发店，日，内,doc_22_chunk_0,十天内交货，行价是十万美金。内地取货加收50％。,在椅子上，麦克与四眼讨论工作价格和条件。
23、理发店，日，内,doc_22_chunk_0,环境不同，内地还在建设中，软硬件都不规范，工作起来不方便。,在椅子上，麦克与四眼讨论工作条件。
23、理发店，日，内,doc_22_chunk_0,那你来找我干吗？在大陆解决好了，我是看着大哥成的面子才见你，不然请便。,在椅子上，麦克与四眼讨论工作条件。
