scene,question,answer,evidence,qa_type
40、医院，日，外,谢小盟为什么坚持让菁菁上车？,担心她身体虚弱，不放心她独自离开,谢小盟：'你现在身体好虚弱，我怎么放心让你一个人走？',causal/relational queries
85、文庙展厅，日，内,"在[85、文庙展厅，日，内]中, 黑皮在展厅的行为表现出什么情绪？",愤怒和挑衅,我给你们说别动手动脚啊，想打架是不是！来呀，一起上！操你妈！,character states
19、文庙卫生间，日，内,"在[19、文庙卫生间，日，内]中, 包世宏在小便器前的状态如何？",表情狰狞，无法排尿,包世宏小解，尿不出来，他狠命的运着气，表情狰狞,character states
1.缆车内外，日，外,"在[1.缆车内外，日，外]中, 谢小盟被殴打的场景发生在哪里？",陈旧的缆车箱内,陈旧的缆车箱内的其他人瞬间消失，空空的车厢只有莫西干头在酣畅的拳击谢小盟,scene localization
2.医院门诊室，日，内,包世宏如何描述自己的情况？,没孩子，结婚三年了，查不出原因。,包世宏回过神来，尴尬的笑笑，悄声：“没孩子，结婚三年了，查不出原因。”,dialogue/beliefs
18、厂长家，夜，内,"在[18、厂长家，夜，内]中, 谢小盟的情绪状态如何？",害怕，求饶,谢小盟抱头鼠窜：别打脸，别打脸！,character states
67、文庙院内，日，外,"在[67、文庙院内，日，外]中, 谢小盟装进兜里的物品是什么？",翡翠莲花赝品,挑了一个赝品……装进兜里,objects/props
32、文庙外售票窗前，日，外,小军如何处理菁菁手中的钱？,抽出来两张钱塞进自己兜里,（从菁菁手里抽出来两张，塞到自己兜里）,detailed description
25、机场外，日，外,"在[25、机场外，日，外]中, 麦克在箱子被拿走后的情绪如何？",大惊，说‘shit!’,麦克大惊：‘shit!’,character states
37、厂长家客厅，日，内（调至外景）或加一场送翡翠自我陶醉。,谢小盟如何处理翡翠照片？,撕下并比划在菁菁脖子上,顺手将一张翡翠照片撕下来，比划在菁菁脖子上,detailed description
76、卫生间，夜，内,"在[76、卫生间，夜，内]中, 马桶里有什么？",谢小盟的脑袋,马桶盖被掀开，谢小盟的脑袋被强行摁进马桶，冲水,objects/props
13、文庙外，日，外,"在[13、文庙外，日，外]中, 谢小盟的腿伤情况如何？",腿缠绷带，使用拐棍和石膏脚套。,谢小盟腿缠绷带从出租车下来，拎着拐棍，夹着一个石膏脚套,character states
23、理发店，日，内,麦克如何展示他的刀法？,掷剃刀钉在墙壁标盘上,麦克一笑，掷出手中的剃刀。剃刀稳准狠地钉在墙壁的标盘上。,detailed description
85、文庙展厅，日，内,"在[85、文庙展厅，日，内]中, 小军在尝试开锁时的状态如何？",紧张并出汗,脸上渗出汗水,character states
22、文庙展厅，日，内,包世宏为何质疑厂长的提问？,你又不给钱？还那么多意见！,"包世宏：""你又不给钱？还那么多意见！""",dialogue/beliefs
20、别墅花园，日，内,"在[20、别墅花园，日，内]中, 冯董如何处理车本？",扔进火堆。,冯董顺手将车本扔进火堆。,character states
30、文庙院里，日，外,包世宏认为住到最便于监控的地方的目的是什么？,有效保护对象。,包世宏：“要想有效的保护对象，就要住到最便于监控的地方。”,dialogue/beliefs
13、文庙外，日，外,"在[13、文庙外，日，外]中, 谢小盟的行动状态是怎样的？",需要拐棍和石膏脚套辅助行走。,拎着拐棍，夹着一个石膏脚套，走向文庙,character states
30、文庙院里，日，外,包世宏要求包下哪个房间？,对面招待所最边上那个房间。,包世宏：“对面招待所，最边上那个房间，包下来。”,dialogue/beliefs
17、洗澡间，夜，内,谢小盟建议如何解决资金问题？,问你爸要，或假装被绑架,没钱？问你爸要啊……你们香港那边那么多黑社会，就说是你被绑架了,dialogue/beliefs
