doc_title,chunk_id,fact,scene_context
18、INT. GREENHOUSE - DAY,doc_17_chunk_2,Zarkov points a gun at Flash.,
19、INT. TOP LEVEL OF GREENHOUSE TOWER,doc_18_chunk_1,Zarkov physically pushes Dale off-balance into the capsule.,
103、EXT. ARBORIA - VINCINITY OF LODGE,doc_102_chunk_0,Zarkov is actively re-wiring a control panel inside his space capsule.,
101、EXT. SQUADRON OF HAWKMEN - IN FLIGHT,doc_100_chunk_0,"Zarkov provides the location of the capsule, stating it is in the high grass east of Mingo.",
107、EXT. FOREST OF ARBORIA,doc_106_chunk_1,Zarkov states that Flash Gordon is dead.,Main part of forest: After the shuttle craft lands and Klytus approaches Zarkov.
96、INT. LOWER PLATFORM,doc_95_chunk_4,Zarkov explicitly defines the act of sparing Barin as an expression of compassion and mercy.,
97、INT. MING'S DOME,doc_96_chunk_2,Zarkov offers a hand to Vultan after Vultan decides to save the Earthlings.,
15、INT. GREENHOUSE - DAY,doc_14_chunk_1,Zarkov possesses a revolver.,
15、INT. GREENHOUSE - DAY,doc_14_chunk_1,Zarkov attempts to aim a revolver at Munson's back.,
124、INT. CRAWLSPACE BEHIND THE MEZZANINE,doc_123_chunk_0,Zarkov observes that the plasma is contracting into a critical mass.,
124、INT. CRAWLSPACE BEHIND THE MEZZANINE,doc_123_chunk_0,Zarkov warns that Earth will be finished when the needle hits the red.,
142、INT. PLASMA CAVERN,doc_141_chunk_0,Zarkov reaches the Mezzanine Control area during the battle.,
142、INT. PLASMA CAVERN,doc_141_chunk_0,Zarkov issues a command to attach electrodes to the shovels and pitch them into the plasma.,
147、EXT. PALACE BATTLEMENTS,doc_146_chunk_1,Zarkov successfully contributes to the effort that saves Earth.,
147、EXT. PALACE BATTLEMENTS,doc_146_chunk_1,"Zarkov states that Dale is home, implying his role in establishing or enabling a safe return to Earth.",
9、INT. GREENHOUSE TOWER - DAY,doc_8_chunk_2,Zarkov receives a computer print-out report from Munson.,
9、INT. GREENHOUSE TOWER - DAY,doc_8_chunk_2,Zarkov asserts that the event is a deliberate attack by an intelligent mind.,
20、INT. CAPSULE,doc_19_chunk_0,Zarkov is portrayed as a solitary genius distinct from conventional science.,
20、INT. CAPSULE,doc_19_chunk_0,Zarkov begins operating controls with intense activity.,
20、INT. CAPSULE,doc_19_chunk_0,Zarkov possesses and uses a gun to direct Flash.,
18、INT. GREENHOUSE - DAY,doc_17_chunk_1,"Dale identifies Zarkov as Dr. Hans Zarkov, a former NASA scientist.","Scene: As they start up the tower stairs, Dale recognizes Zarkov."
18、INT. GREENHOUSE - DAY,doc_17_chunk_1,Zarkov confirms his identity by acknowledging that he is Dr. Hans Zarkov.,"Scene: As they start up the tower stairs, after Dale recognizes him."
86、EXT. CAPSULE - ZARKOV AND DALE - CONTINUOUS,doc_85_chunk_1,Zarkov's hands are initially invisible but become visible during the scene.,
86、EXT. CAPSULE - ZARKOV AND DALE - CONTINUOUS,doc_85_chunk_1,"Zarkov demonstrates that his invisible hands can physically interact with objects, such as picking up and tossing a pebble.",
86、EXT. CAPSULE - ZARKOV AND DALE - CONTINUOUS,doc_85_chunk_1,"Zarkov states that the invisibility of his hands is related to Mongo's gravitational field affecting his generator, implying a scientific explanation for the phenomenon.",
27、INT. CAPSULE - SHOOTING FROM WITHIN,doc_26_chunk_1,Zarkov successfully focuses his eyes after initially struggling to do so.,"Scene: Inside the capsule, as it approaches the planet Mongo."
27、INT. CAPSULE - SHOOTING FROM WITHIN,doc_26_chunk_1,Zarkov visually identifies the destination of the capsule as the planet Mongo.,"Scene: Inside the capsule, as it approaches the planet Mongo."
27、INT. CAPSULE - SHOOTING FROM WITHIN,doc_26_chunk_1,Zarkov attempts to operate a control panel by pushing switches to alter the capsule's descent.,"Scene: Inside the capsule, as it approaches the planet Mongo."
9、INT. GREENHOUSE TOWER - DAY,doc_8_chunk_4,Zarkov decides to leave the current location and go to the capsule.,"Scene: After the TV screen explodes, Zarkov announces it is time to leave."
9、INT. GREENHOUSE TOWER - DAY,doc_8_chunk_4,Zarkov explicitly instructs Munson to prepare for departure by bringing personal items.,"Scene: After the TV screen explodes, Zarkov tells Munson to get his toothbrush and whatever."
9、INT. GREENHOUSE TOWER - DAY,doc_8_chunk_4,Zarkov uses a revolver to compel Munson to comply with the plan to go to the capsule.,Scene: Zarkov pulls out a revolver and points it at Munson when Munson resists.
