doc_title,chunk_id,text,scene_context
17、INT. DIRECTOR'S ROOM,doc_16_chunk_5,This is a line spoken by the target character.,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_8,Only common sense.,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_12,A child? My uncle's?,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_12,That's awful. The poor woman should be taken care of immediately.,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_13,Twenty! What did he do with them?,Scene 369: Longfellow Deeds is speaking with Walter about someone who hosted many people in his house.
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_11,What kind of wife did you say she was?,Scene where Hallor and Cedar discuss a legal case involving Longfellow's uncle; Longfellow speaks to Hallor about the woman's marital status.
17、INT. DIRECTOR'S ROOM,doc_16_chunk_8,"Now, where were we?","Scene at a table; Longfellow Deeds is speaking during a meeting, likely with Douglas and others, resuming a conversation after being seated."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_7,"You go to an awful lot of work to keep
a fellow warm, don't you?",MEDIUM SHOT: Longfellow speaks with Cedar and two tailors while being fitted for clothes.
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_0,It's the first time I ever had a suit made on purpose.,"Scene: A tailor shop; Longfellow is being fitted for a suit by two tailors, with Cedar and Cobb present; topic is the suit being made."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_10,Mrs. Semple?,"Scene 358: In a hall, Longfellow Deeds responds to Hallor, who is introducing Mrs. Semple as his uncle's common-law wife with a legal claim on the estate."
19、EXT. CORRIDOR,doc_18_chunk_2,Is that so?,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_11,Entertainment?,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_11,What're you talking about?,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_11,Oh.,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_5,Thanks,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_5,"Oh, did you send that telegram to Jim Mason?",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_5,Fine. Send it right away. I don't want him to fire Arthur.,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_6,"There's one nice thing about being rich - you ring a bell and things happen. When the servant comes in, Mr. Hallor, I'm going to ask him to show you to the door. Many people don't know where it is.",
17、INT. DIRECTOR'S ROOM,doc_16_chunk_1,I'm Chairman?,"Scene 361: In a meeting room, Longfellow Deeds reacts to being elected Chairman, speaking to Douglas and Cobb."
17、INT. DIRECTOR'S ROOM,doc_16_chunk_1,I'm Chairman.,"Scene 361: In a meeting room, Longfellow Deeds announces to Cobb that he has been made Chairman."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_3,"That involves a lot of extra work, doesn't it?",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_3,"Budington. Funny, I can't think of a rhyme for Budington yet.",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_3,They are? I forgot all about them. (to Cobb) What do you think they want?,
19、EXT. CORRIDOR,doc_18_chunk_3,That's going to be fun.,
19、EXT. CORRIDOR,doc_18_chunk_3,"Uh, will you do something for me before
we go out?",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_1,"Oh, yes, there've been a lot of them around here already. Strangest kind of people. Salesmen - politicians - moochers - all want something. I haven't had a minute to myself. Haven't seen Grant's Tomb yet.","Scene: In a room, Longfellow Deeds speaks with Cedar about the constant attention and requests he's been receiving since his arrival, expressing his lack of personal time."
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_11,"He was? Gee, that's too bad. If there's anything I can do to",
15、INT. CORRIDOR,doc_14_chunk_0,"Gee, I'm busy. Did the opera people always come here for their meetings?","Scene: In a corridor, Longfellow is speaking with Cobb about opera people and their meeting location."
15、INT. CORRIDOR,doc_14_chunk_0,That's funny. Why is that?,"Scene: In a corridor, Longfellow is speaking with Cobb about why opera people come to that location."
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_12,He talks about women as if they were cattle.,"After Cobb exits, Longfellow speaks to Walter, the valet, about Cobb's attitude toward women."
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_12,"Tell me, Walter, are all those stories I hear about my uncle true?","Longfellow speaks to Walter, the valet, inquiring about the truth of stories concerning his uncle."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_2,"Besides wanting to be my lawyer, you also want to handle my investments too?",Scene context not specified: Longfellow Deeds speaks with Cedar about legal and financial arrangements following his uncle's death.
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_2,"Well, outside of your regular fee, how much extra will it cost?",Scene context not specified: Longfellow Deeds questions Cedar about potential additional costs for investment management services.
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_15,"Yes, indeed. I wonder why he left me all that money? I don't need it.",
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_8,You gentlemen make yourselves comfortable.,"Scene: In a room, Longfellow Deeds greets Mr. Cornelius Cobb and Mr. Anderson upon their arrival."
