doc_title,chunk_id,fact,scene_context
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_0,Charlene is present at Ramalho's West End Gym during Micky's training session.,Ramalho's West End Gym - Micky's training session
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_33,Charlene is at the corner.,"Ring corner, during the fight."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_50,Charlene is watching ringside at the gym.,RAMALHO'S WEST END GYM - 1ST FLOOR: Dicky's return
"14、INT. TRAP, 1ST FLOOR - B.H.C. - NIGHT",doc_13_chunk_4,Charlene has not been seen by Micky in a while,"Micky's apartment, living room/kitchen, night"
17、INT. GYM - CONTINUOUS,doc_16_chunk_6,Charlene exits the gym.,gym
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_5,Charlene is at the front door of her apartment.,FRONT DOOR - CHARLENE'S APARTMENT - DAY
17、INT. GYM - CONTINUOUS,doc_16_chunk_0,Charlene is present and watching Micky's mistake.,"Scene 85: Gym, Micky about to work out with O'Keefe"
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_40,Charlene is unable to watch the boxing match.,Scene A130: Boxing match
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_49,Charlene kisses Micky deeply.,Ring during Alice's celebration of her boys as champions
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_12,Charlene is in the crowd.,Weigh-in event
3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -,doc_2_chunk_5,Charlene is standing on Micky's doorstep.,"Next morning, Micky's apartment doorstep"
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_7,Charlene confirms the arrangement is complete.,"Room, Micky and Dicky in conversation, Charlene at doorway."
5、EXT. LEXINGTON ART-HOUSE MOVIE THEATER - NIGHT,doc_4_chunk_11,Charlene and Alice share an icy wary look.,"Alice & George Ward's house, living room, day: Charlene meets the group."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_4,Charlene sees two sisters on her porch.,"Charlene's apartment, living room, day"
3、EXT. ALICE & GEORGE WARD'S HOUSE - LIMOUSINE (PARKED) -,doc_2_chunk_3,Charlene's number is written on a cocktail napkin.,"Micky's apartment, above garage, night"
8、EXT. CHARLENE'S YARD - DAY,doc_7_chunk_1,"Charlene clears a 5'1"" high jump bar.",Lawn: high jump attempt
