doc_title,chunk_id,text,scene_context
1.缆车内外，日，外,doc_0_chunk_0,这是我儿时的城市，虽然我在香港多年，但这副情景依然时常萦绕在梦里。我见到你就有一种说不出的感觉，说不清是似曾相识还是一见如故。这感觉好亲切，好强烈……,缆车中，谢小盟对身旁美女表达对儿时城市的怀念。
36、游戏厅，日，内,doc_35_chunk_0,稍微侧一下脸，对对，手这样才够‘恶本’，哎呀，这样这样（他做出示范），一定要抽搐别僵硬，稍等！（他扯出一个女孩脖子里的项链）这就对了。机器太烂了，这不糟践你俩嘛！,在电动自拍机前，指导两个女孩摆造型
36、游戏厅，日，内,doc_35_chunk_2,你们先考虑考虑……,在跳舞机旁，谢小盟对两个女孩说话。
78、卫生间，夜，内,doc_77_chunk_0,大哥，你饶了我吧！,在墙角，谢小盟向道哥求饶。
18、厂长家，夜，内,doc_17_chunk_0,别打脸，别打脸！,家门处，谢小盟被厂长追打。
122、土贼房间\\保安房间，傍晚，内,doc_121_chunk_0,我被人绑架了，你要来救我呀！,电话中，谢小盟声称被绑架并请求救援。
68、文庙展厅，昏，内,doc_67_chunk_3,对不住包哥，走火了，走火了。,展柜前，谢小盟向包世宏道歉
1.缆车内外，日，外,doc_0_chunk_1,……你知道你什么气质吸引我？——忧郁！我从你眼睛里看的出来，你有一个不堪回首的过去！,缆车中，谢小盟与美女对话，主题为气质。
17、洗澡间，夜，内,doc_16_chunk_0,"要想浪漫，就先浪费，没钱怎么泡妞？搞艺术要激情，没有爱情哪来激情，……没钱？问你爸要啊……你们香港那边那么多黑社会，就
说你被绑架了，不信你老子不给……好啦不给你说啦，正在搞派对啦，我们这边美女无数，嗯啊，……拜拜。",浴缸中打电话，与电话对方讨论浪漫、艺术、金钱和派对。
78、卫生间，夜，内,doc_77_chunk_1,这是真的……,卫生间：道哥质问谢小盟翡翠真假
78、卫生间，夜，内,doc_77_chunk_1,是真的！你拿走吧……,卫生间：道哥质问谢小盟翡翠真假
78、卫生间，夜，内,doc_77_chunk_1,假的，是假的……,卫生间：道哥质问谢小盟翡翠真假
78、卫生间，夜，内,doc_77_chunk_1,是真的！我没骗她！,卫生间：道哥质问谢小盟翡翠真假
78、卫生间，夜，内,doc_77_chunk_1,是假的，你饶了我吧……,卫生间：道哥质问谢小盟翡翠真假
14、展厅内，日，内,doc_13_chunk_2,搞活动呢？,与包世宏对话，主题是活动。
14、展厅内，日，内,doc_13_chunk_2,不用，我能走。,包世宏提议扶他，谢小盟拒绝。
14、展厅内，日，内,doc_13_chunk_2,爸，爸！,向厂长走去，称呼父亲。
36、游戏厅，日，内,doc_35_chunk_3,……我叫小盟，你叫我查尔斯好了……,游戏厅：谢小盟望着菁菁，自我介绍。
36、游戏厅，日，内,doc_35_chunk_3,……其实我一见到你就有一种从来没有过的感觉……,游戏厅：游戏开始后，谢小盟望着菁菁表达感觉。
36、游戏厅，日，内,doc_35_chunk_3,……从来没有这种感觉……,游戏厅：菁菁凑近后，谢小盟迷失表达感觉。
36、游戏厅，日，内,doc_35_chunk_3,嗨，你的东西！,游戏厅：菁菁离去后，谢小盟发现纸袋并喊话。
73、ktv女卫生间，夜，内,doc_72_chunk_0,今…天是……我生日，我要送你一件礼物！,女卫生间，谢小盟对菁菁说生日礼物
73、ktv女卫生间，夜，内,doc_72_chunk_0,(美玉配佳人，希望你能了解我的衷肠，你要……收下，我发誓会好好爱护你，)我会给你带来幸福。翡翠代表我的心！,女卫生间，谢小盟对菁菁献翡翠
73、ktv女卫生间，夜，内,doc_72_chunk_0,对不起啊,女卫生间，谢小盟对旁观者道歉
36、游戏厅，日，内,doc_35_chunk_1,看，吹弹欲破，（有意无意欲摸女孩的手臂，女孩避开，谢小盟继续把手返回到书上）曲线多么优美，你要相信我……,与两个女孩交谈，讨论人体曲线。
36、游戏厅，日，内,doc_35_chunk_1,我在香港皇家艺术学院专攻人体。不相信我，你也要相信你们自己嘛，多好的底版！其实我一见到你们就有一种从来没有过感觉，好久没有这种感觉，强烈的创作冲动……,与两个女孩交谈，强调艺术专攻和创作冲动。
68、文庙展厅，昏，内,doc_67_chunk_0,怎么回事。,台子上，警报声大作后谢小盟询问原因
68、文庙展厅，昏，内,doc_67_chunk_0,行啊，包哥，您这工程师啊，包工啊。,台子上，包世宏展示声波防盗器后谢小盟表示赞赏
14、展厅内，日，内,doc_13_chunk_3,出车祸了……,在工厂，厂长询问车祸原因时
14、展厅内，日，内,doc_13_chunk_3,哎呀，别捅，别捅。骨头没断，筋，筋……我开小四的车，撞墙上了，小四还在医院呢。,厂长用刀试探性碰谢小盟腿时
14、展厅内，日，内,doc_13_chunk_3,打打打，就知道打，人家小四在医院趴着呢。先给我拿点钱吧。,厂长推谢小盟脑袋后，谢小盟躲闪要求钱
76、卫生间，夜，内,doc_75_chunk_0,我……喝……喝多了，真的不记得了。,卫生间，道哥质问
76、卫生间，夜，内,doc_75_chunk_0,我喝太多了，我真不记得了。,卫生间，道哥质问
76、卫生间，夜，内,doc_75_chunk_0,你等等，我想想，我想想，我没干，我真没干。,卫生间，道哥质问
76、卫生间，夜，内,doc_75_chunk_0,我承认我承认，可能是干了！,卫生间，道哥质问
120、土贼房间，日，内,doc_119_chunk_0,我再试试。,谢小盟在道哥抱怨儿子被绑后尝试再次拨打手机
68、文庙展厅，昏，内,doc_67_chunk_2,包哥帮我举一下反光板。,展柜旁，谢小盟与包世宏讨论反光板位置
68、文庙展厅，昏，内,doc_67_chunk_2,这儿，这儿，正对灯的位置。,展柜旁，谢小盟与包世宏讨论反光板位置
68、文庙展厅，昏，内,doc_67_chunk_2,你看着灯，正对着，就这，就着。,展柜旁，谢小盟与包世宏讨论反光板位置
111、土贼房间，日，内,doc_110_chunk_1,我……不知道。,展厅：与道哥对话，讨论石头来源
111、土贼房间，日，内,doc_110_chunk_1,哎呀！展厅，从展厅拿出来的。,展厅：与道哥对话，讨论石头来源
