id,scene,question,answer,evidence,qa_type
1,18、车站，夜，外,老三为什么在车站等静秋？,我怕你不回来了，又怕你路上出事。,老三：我怕你不回来了，又怕你路上出事。,dialogue/beliefs
2,3、田间小路，日，外,肖老师提到山楂树的花色变化原因是什么？,因为被烈士的鲜血浇过，所以花色越变越红。,肖老师：你们都知道山楂树是开白花的吧，但这棵树不一样，因为被烈士的鲜血浇过，所以它的花色越变越红，后来就彻底开红花了。,dialogue/beliefs
3,4、村口，日，外,在[4、村口，日，外]中，肖老师为何要求学生住在贫下中农家里？,为发扬不拿群众一针一线的光荣传统,肖老师补充：我们就住在贫下中农家里，两个人一家，记住，要发扬不拿群众一针一线的光荣传统。,causal/relational queries
4,3、田间小路，日，外,在[3、田间小路，日，外]中，肖老师如何解释山楂树被称为英雄树的原因？,因为它见证了抗日战争年代革命先烈英勇献身的场面。,肖老师：这棵山楂树之所以被称为英雄树，是因为他在如火如荼的抗日战争年代里，见证了无数革命先烈为祖国为人民英勇献身的可歌可泣的场面。,dialogue/beliefs
5,17、静秋家，日，内,"在[17、静秋家，日，内]中, 静秋母亲对女儿的前途持什么态度？",担心且强调要努力表现,你千万要好好表现啊，人的前途，一步走错就步步错了，你爸就是个例子,character states
6,21、乡间小路，夜，外,老三最后如何握住静秋的手？,扔掉树枝后直接握住她的手,老三索性直接扔掉树枝，攥住了静秋的手,detailed description
7,40、魏红家，日，内,魏红对静秋说了什么？,你是找到组织了吧。,魏红：你是找到组织了吧。,dialogue/beliefs
8,22、张队长家，日，内,静秋坐在椅子上时是什么状态？,撅着嘴，似乎在生闷气,静秋坐在椅子上撅着嘴，似乎在生闷气。,detailed description
9,63、病房，夜，内,护士如何回应静秋的请求？,多远都不行，比你远的多的是,多远都不行，比你远的多的是。,dialogue/beliefs
10,19、村子，夜，外,静秋对老三的提议有何反应？,表示不能骗人，强调自己不是勘探队的。,静秋：我又不是勘探队的，不能骗他们啊！,detailed description
11,58、静秋家，日，内,"在[58、静秋家，日，内]中, 静秋母亲的丈夫有何身份？",右派。,静秋母亲：我丈夫是右派。,character states
12,72、宿舍，夜，内,老三为什么把水倒回去了？,因为静秋说不能弄脏山楂树,静秋：不行，我不能把脚放在山楂树里，把它弄脏了。老三：对，不能弄脏了。,causal/relational queries
13,24、学校办公室，日，内,静秋在什么情况下突然站起来？,当主任质疑她能否干活时,主任：你这小姑娘，小胳膊小肉的能干什么？就怕你受不了啊！,detailed description
14,24、学校办公室，日，内,静秋引用了谁的教导？,伟大领袖毛主席,静秋：伟大领袖毛主席教导我们说，一不怕苦，二不怕死。,detailed description
15,19、村子，夜，外,老三敲门时说了什么？,老乡，我是地质勘探队的，有工作证，粮票和钱。,老三敲了敲门：老乡，我是地质勘探队的，有工作证，粮票和钱。,detailed description
16,52、街道，日，外,"在[52、街道，日，外]中, 静秋的脚状况如何？",脚已经发炎了,老三：我带你去医院啊！现在就去，你的脚已经发炎了。,character states
17,68、布店，日，内,老三认为静秋穿红布好看吗？,不鲜艳，你穿这颜色好看，你不要老穿蓝色的，跟别人一样。,老三在静秋身上比划了一下：不鲜艳，你穿这颜色好看，你不要老穿蓝色的，跟别人一样。,dialogue/beliefs
18,51、水房，日，外,"在[51、水房，日，外]中, 老三在做什么？",推着自行车偷看,老三在旁边推着自行车偷看。,character states
19,68、布店，日，内,静秋对红布颜色的看法是什么？,太鲜艳了吧！,静秋：太鲜艳了吧！,dialogue/beliefs
20,57、街道，日，外,老三认为静秋应该怎样称呼他？,不能跟别人一样。,反正不能跟别人叫的一样。,dialogue/beliefs
21,4、村口，日，外 | 6、屋子，日，内 | 30、静秋家，日，外,静秋在见到常林站在家门口时，对她自己的行为和常林带来的物品表现出怎样的态度？,静秋主动询问常林并开门让他进来，表现出友好和接纳的态度；她接受了常林带来的核桃，显示出对这份礼物的认可。,静秋看见常林站在门口，便问他怎么来了、等了多久，并打开门让他进来；常林将核桃倒进她家的脸盆中，她收下了这些核桃。,character states
22,38、静秋家，夜，内 | 42、学校操场，日，外,静秋在得知自己可以留校后，表现出怎样的心理状态？,静秋表现出一种安静而略带感伤的情绪，她在校园里独自驻足，默默回顾熟悉的环境，然后安静地走向宿舍。,静秋独自站在校园里看教室和走廊，随后提着箱子走向分配的宿舍。,character states
23,22、张队长家，日，内 | 37、亭子，日，外,在老三用体温为静秋取暖时，他的具体行为表现出怎样的情感状态？,老三表现出关切和依恋的情感状态，他主动为静秋披上大衣，并在无法共披的情况下将她拉入怀中，用身体温暖她，体现出不愿分离的深情。,老三见静秋冷，便把大衣披在她身上，见大衣太短无法共披，就穿上大衣将她拉入怀中，两人紧紧相拥，一动不动地坐着，谁也没有再提离开。,character states
24,34、静秋家，日，外 | 38、静秋家，夜，内 | 42、学校操场，日，外,静秋在得知母亲因找她而摔伤后，表现出怎样的心理状态？,静秋感到内疚和担忧，立即放下书包为母亲上药，并认真听从母亲关于谨言慎行的叮嘱。,静秋听到母亲因找她掉进沟里后连忙放下书包，蹲下为母亲上药并仔细包扎，之后在母亲叮嘱时低着头轻轻点头。,character states
25,14、张队长家，日，内 | 24、学校办公室，日，内 | 42、学校操场，日，外,静秋在向主任请求留校工作时，如何回应主任对她身体条件的担忧？,静秋立即站起来，引用毛主席的教导，表示一不怕苦、二不怕死，以此表明自己不怕吃苦的态度。,主任说她胳膊细弱怕吃不消，静秋站起来引用毛主席的话表示不怕苦不怕死。,character states
26,46、篮球场，日，外 | 22、张队长家，日，内 | 45、街道，日，外,老三在静秋决定断绝来往后表现出怎样的心理状态？,老三表现出失落和恍惚的心理状态，他沉默地站在原地，神情恍惚，没有做出任何反应。,老三站在原地，没再说话，脸上神情恍惚，一时没有动作。,character states
27,6、屋子，日，内 | 30、静秋家，日，外,静秋在被常林拒绝做饭请求后，采取了什么方式表达她的心意？,静秋趁着常林不注意，悄悄把一些钱塞进了装冰糖的袋子里。,静秋在被拒绝后趁常林不注意，将钱塞进冰糖袋中作为回礼。,character states
28,5、张队长家，日，外 | 6、屋子，日，内 | 30、静秋家，日，外,静秋在常林拒绝她做饭后，采取了什么方式表达心意？,静秋趁着常林不注意，悄悄把一些钱塞进了装冰糖的袋子里。,静秋在常林拒绝做饭后，趁其不备将钱放入装冰糖的袋子中作为回礼。,character states
29,46、篮球场，日，外 | 22、张队长家，日，内 | 36、河边，日，外,在静秋决定断绝来往后，老三当时表现出怎样的心理状态？,老三表现出恍惚和呆立不动的心理状态，显示出他因静秋的拒绝而受到打击，陷入短暂的失神。,静秋表示要断绝来往后，老三站在原地没说话，脸上神情恍惚，一时没有动作。,character states
30,5、张队长家，日，外 | 11、张队长家，夜，内,当静秋称呼常林为‘二哥’时，常林表现出怎样的状态？,常林立刻从座位上站起来回应，表现出认真而拘谨的态度。,静秋叫了声‘二哥’，常林突然从座位上站起来应声。,character states
31,9、勘探队，日，外,为什么老三认为静秋会写关于山楂树的内容？,因为老三推测静秋作为来采写村史的学生，很可能会记录具有代表性的当地事物，而山楂树是当地一个显眼的标志。,老三说‘你肯定要写那棵山楂树吧’，并表示是猜的，说明他是基于静秋采写村史的任务做出的推断。,causal/relational queries
32,34、静秋家，日，外 | 38、静秋家，夜，内,静秋为什么叮嘱弟弟不要把陌生男子来过的消息告诉母亲？,因为静秋担心母亲知道有陌生男子来找她会起疑心，影响她留校的机会，而且她已经向母亲隐瞒了来访者的真实性别。,静秋向母亲谎称来访者是女性，而实际上是一名男子，且母亲曾特别叮嘱她要小心行事，尤其是在留校结果即将公布的时候。,character states
33,6、屋子，日，内 | 30、静秋家，日，外,常林在见到静秋后表现出怎样的态度和行为？,常林在见到静秋后点头答应父亲要向她学习，并表示自己是进来挑水的，随后就出去干活了。,常林见到静秋后点头，表示要向她学习，并说明自己是来挑水的，接着就出门挑水。,character states
34,49、静秋家，日，内,老三看到静秋的脚伤后表现出怎样的情绪状态，以及他通过什么方式表达对她的关心？,老三看到静秋的脚伤后情绪激动，眼眶红了，并通过送她一双粉色雨鞋和以极端言语相劝的方式表达对她的深切关心。,老三蹲下查看静秋的脚后立刻红了眼眶，并从盒子里取出雨鞋送给她；当静秋犹豫时，他表示若她不穿，自己也要跳进石灰里烧坏脚。,character states
35,6、屋子，日，内 | 4、村口，日，外 | 6、屋子，日，内 | 30、静秋家，日，外,静秋在常林拒绝她做饭后，以什么方式表达了她的心意？,静秋趁着常林不注意，悄悄把一些钱塞进了装冰糖的袋子里。,静秋在常林拒绝做饭后，趁其不备将钱放入装冰糖的袋子中作为回礼。,character states
