id,scene,question,answer,evidence,qa_type
1,14、INT. BARAGWANATH MORTUARY - DAY,How do the children's bodies appear?,"Some in torn, dirty clothes, others naked, some mutilated, others whole but with small holes and blood","They belong to children, some in torn, dirty clothes, others naked, some mutilated, others whole and seemingly unharmed, as if asleep, until the small, neat hole in temple or chest and the small crust of blood is brought to our attention",detailed description
2,28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe is necessary for him to have peace?,Knowing how his son died and where he was buried.,Gordon: 'How can I have peace? I must know how my son died...',dialogue/beliefs
3,28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe could have prevented Jonathan's death?,If someone had heard their concerns.,Gordon: 'If we had... if someone heard what we had to say this would not have happened.',dialogue/beliefs
4,12、INT. GORDON'S HOUSE - EVENING,What does Gordon ask the girl about?,Are you sure it was Jonathan they took away?,GORDON (to girl) Are you sure it was Jonathan they took away?,dialogue/beliefs
5,4、EXT. DUTCH REFORM CHURCH - DAY,"In [4、EXT. DUTCH REFORM CHURCH - DAY], What is Mrs. Coetzee's emotional state?",Drawn and worried,"Mrs. Coetzee (WOMAN) He won't come to church. He lies in bed all day, listening to his headphones.",character states
6,63、EXT. GARAGE - DAY,"In [63、EXT. GARAGE - DAY], What is Ben's emotional state during his conversation with Stanley?",Confused.,Ben is confused and Stanley is staring at him.,character states
7,16、INT. STANLEY'S TAXI - DAY,What group does 'Boers' denote in the context?,Descendants of Dutch settlers in South Africa.,STANLEY: Those Boers... the bastards'll kick him around till they lose him.,terminology/abbreviation/concept
8,6、INT. BEN'S KITCHEN - DAY,Why is Gordon concerned about a police record for his son?,Because it would make it difficult for Jonathan to get a job.,It will be there for the rest of his life and make it difficult for him to get a job in the future.,causal/relational queries
9,18、INT. BEN'S DEN - MORNING,"In [18、INT. BEN'S DEN - MORNING], What is Johan's behavioral state?",Engaged in an imaginary boxing match,having an imaginary boxing match,character states
10,67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Ben's emotional state when he sees Gordon's body?",Horror and shock,looks at the wounds with horror and is ashen,character states
11,67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Gordon's physical condition as described in the passage?",Battered with a distorted face and bruised chest,"bruised and battered chest, face... distorted, blackish purple, rough stitches",character states
12,36、INT. BEN'S STUDY - NIGHT,What does Ben mutter in response to Gordon's voice in his thoughts?,Jeezus -- Jeezus -- Jeezus Christ.,"BEN
Jeezus -- Jeezus -- Jeezus Christ.",dialogue/beliefs
13,11、INT. SOWETO TRAIN CARRIAGE - LATE AFTERNOON,What action does the man in blue overalls take?,He jumps on his seat and shouts for quiet.,Suddenly a MAN jumps on his seat... 'Quiet! Thulani! Thulani!',detailed description
14,41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY,"In [41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY], Where is Ben when he fills in the slip?",In a bulletproof glass cage,Under the gaze of a uniformed POLICEMAN in a bulletproof glass cage,scene localization
15,64、INT. STANLEY'S CAR - DAY,"In [64、INT. STANLEY'S CAR - DAY], What ethnic identity does Stanley claim?",He identifies as African.,I am an African. That's all!,character states
16,53、INT. DINING ROOM - NIGHT,"In [53、INT. DINING ROOM - NIGHT], What is Ben's behavioral state?",Ben jumps up and hurries to the door,"Ben jumps up, hurries to the door",character states
17,22、INT. LEWINSON'S OFFICE - DAY,What does Lewinson say about his state in the morning?,I'm a zombie.,"man, I'm a zombie",dialogue/beliefs
18,20、INT. BEN'S STUDY - MORNING,"In [20、INT. BEN'S STUDY - MORNING], What is the gardener's emotional state?",Worried,he's worried,character states
19,36、INT. BEN'S STUDY - NIGHT,What does Susan say about Ben's actions toward the family?,"I'm proud of you, Ben... what you've done for that family.","SUSAN
I'm proud of you, Ben... what you've done for that family.",dialogue/beliefs
20,11、INT. SOWETO TRAIN CARRIAGE - LATE AFTERNOON,What does the large woman do in the crowded carriage?,She shouts at the man in front of her to be careful with his bag.,A LARGE middle-aged WOMAN is standing... She suddenly shouts: 'Careful with your bag...',detailed description
21,26、INT. LEWINSON'S OFFICE - DAY,When did the boy die according to Lewinson?,The boy died the day of the riots.,He died ... the day of the riots,dialogue/beliefs
22,15、EXT. MORTUARY - DAY,"In [15、EXT. MORTUARY - DAY], What is Stanley's role according to the passage?",Owner and driver of a pirate taxi,he is the owner and driver of a pirate taxi,character states
23,24、INT. DAN PIENAAR SCHOOL - STAFF ROOM - DAY | 28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY | 29、EXT. CAR PARK | 38、EXT. DAN PIENAAR SCHOOL - VERANDA - DAY,What does Ben state about his relationship with Gordon when speaking to Cloete?,Ben states that he has known Gordon a long time and that he isn't a crusader.,"Ben told Cloete not to worry, saying he wasn't a crusader and that he'd known Gordon a long time.",character states
24,46、EXT. JON VORSTER SQUARE | 50、INT. DU TOIT HOUSE - KITCHEN - NIGHT,Why does Suzette tell Ben to be careful after he mentions going to John Vorster Square?,"Suzette tells Ben to be careful because she is concerned he might get into trouble, especially given the significance or sensitivity of John Vorster Square, even though he went there to report a mistake.","She says, 'Be careful,' and adds, 'I don’t want my favorite papa in trouble,' showing her concern for Ben’s safety or reputation after he reveals his visit to John Vorster Square.",causal/relational queries
25,6、INT. BEN'S KITCHEN - DAY | 47、INT. BEN'S CAR - DAY | 36、INT. BEN'S STUDY - NIGHT,What does Ben state about Jonathan's condition?,Ben states that Jonathan is dead and that there is nothing they can do.,Ben tells him that Jonathan is dead and that there is nothing they can do.,character states
26,45、INT. COLONEL'S OFFICE | 40、INT. INTERROGATION ROOM - JOHN VORSTER SQUARE - DAY | 35、INT. GORDON'S HOUSE (SOWETO) - NIGHT,Why does Captain Stolz order Gordon and the black cleaner to be arrested despite finding no evidence during the search?,Captain Stolz orders their arrest because he disregards the report of finding nothing and proceeds with the detention regardless of the lack of evidence.,Lieutenant Venter reports that nothing has been found. Stolz ignores the report and commands that Gordon and the black cleaner be taken away.,causal/relational queries
27,40、INT. INTERROGATION ROOM - JOHN VORSTER SQUARE - DAY | 42、INT. INTERROGATION ROOM (JOHN VORSTER SQUARE) - DAY | 35、INT. GORDON'S HOUSE (SOWETO) - NIGHT,What does Captain Stolz state about Gordon and the cleaner during the raid?,Captain Stolz states that Gordon and the black cleaner should be taken away.,Stolz ignores the report and commands that Gordon and the black cleaner be taken away.,character states
28,19、EXT. BEN'S GARDEN | 33、EXT. DUBE'S SHOP - DAY | 35、INT. GORDON'S HOUSE (SOWETO) - NIGHT,Why did the police taking Jonathan lead to Gordon's distress during the testimony reading?,"The police taking Jonathan led to Gordon's distress because he later learned Jonathan had been taken to the hospital after being severely beaten and that he never saw him again, which caused emotional pain as he recounted the traumatic events.","Gordon speaks of hearing Jonathan scream during a beating, followed by the sound of furniture crashing and Stolz shouting at him to get up. Gordon says he later learned Jonathan had been taken to hospital and that he never saw him again. A heavy silence follows. Emily closes her eyes, then begins to sob. Robert stands beside her chair, his face set in anger. Gordon pauses, closes his eyes, and steadies himself.",causal/relational queries
29,35、INT. GORDON'S HOUSE (SOWETO) - NIGHT,Why did Wellington flee from the room before the policemen arrived?,"Wellington fled because he heard an approaching truck and panicked, likely fearing the arrival of the police.","Wellington rushes to the window, then flees through a bedroom window in panic after hearing an approaching truck.",causal/relational queries
30,2、EXT. SOWETO BEER HALL - AFTERNOON | 19、EXT. BEN'S GARDEN | 43、INT. VILJOEN'S OFFICE - DAY,What does Gordon state about Jonathan after the police raid?,"Gordon states that the police took Jonathan and that Jonathan has disappeared, with the authorities denying they are holding him.","Gordon turns off the machine, stands still, and says the police took Jonathan. He says many were arrested and that the authorities deny holding him—Jonathan has disappeared.",character states
31,24、INT. DAN PIENAAR SCHOOL - STAFF ROOM - DAY | 39、EXT. DAN PIENAAR SCHOOL - DAY,What does Ben express on his face as Stanley drives away?,Ben expresses confusion on his face as Stanley drives away.,"The camera focuses on Ben’s face, where a look of confusion settles as he watches the car disappear.",character states
32,36、INT. BEN'S STUDY - NIGHT | 47、INT. BEN'S CAR - DAY | 36、INT. BEN'S STUDY - NIGHT,What does Ben state about Jonathan's status and what instruction does he give regarding the visit?,"Ben states that Jonathan is dead and that there is nothing they can do, and he instructs Johan not to mention the visit to their mother.",Ben tells him that Jonathan is dead and that there is nothing they can do. He then tells Johan not to mention the visit to their mother.,character states
33,14、INT. BARAGWANATH MORTUARY - DAY,What does Gordon state about the body he examines in the morgue?,Gordon states that the body is not his son Jonathan.,"Gordon peers into the last metal drawer. The small face inside is not Jonathan's. He steps back, silent.",character states
34,9、EXT. SOWETO SCHOOL - SOWETO UPRISING - MORNING,What does the student leader state to initiate the protest at Orlando Secondary School?,"The student leader calls for silence and then speaks to the students, prompting them to shout slogans against Bantu education, apartheid, and in support of freedom.","A student leader steps forward and calls for silence. The students immediately stop talking and turn to listen. He speaks to them, and they respond by shouting slogans: 'No to Bantu education,' 'No to apartheid,' and 'Freedom Now.'",character states
35,43、INT. VILJOEN'S OFFICE - DAY,What does Ben imply about the emotional impact of a child's death during his conversation with Colonel Viljoen?,"Ben implies that the death of a child would cause profound grief, suggesting that Colonel Viljoen would understand the depth of Gordon Ngubene's sorrow if he imagined it happening to his own son.","Ben responds by asking the Colonel how he would feel if it were his own son, implying that such a loss would evoke deep personal grief.",character states
36,1、EXT. DAN PIENAAR SECONDARY SCHOOL FOR BOYS - DAY | 19、EXT. BEN'S GARDEN | 36、INT. BEN'S STUDY - NIGHT | 47、INT. BEN'S CAR - DAY | 36、INT. BEN'S STUDY - NIGHT,What does Ben state about Jonathan when Johan asks him about Jonathan?,Ben states that Jonathan is dead and that there is nothing they can do.,Ben tells him that Jonathan is dead and that there is nothing they can do.,character states
37,31、EXT. SOWETO MAIN ROAD - DAY | 32、INT. STANLEY'S CAR - DAY | 33、EXT. DUBE'S SHOP - DAY,What does Wellington indicate about the cause of his injury?,Wellington indicates that others caused his injury.,Gordon asks if the injury was caused by others. Wellington responds with a nervous twitch in his arm and silently nods.,character states
