doc_title,chunk_id,description,scene_context
98A.京城郊外（夜),doc_102_chunk_0,玉娇龙着女装骑马奔驰。,
122.废弃作坊(日),doc_126_chunk_2,玉娇龙愣住，回身看着高师娘。,
101.乡间（日）,doc_105_chunk_0,着男装骑马奔驰在乡间。,
123.野外(日),doc_127_chunk_0,玉娇龙骑马狂奔,雨中
110.雄远镖局二厅供(日),doc_114_chunk_0,玉娇龙一身狼狈地出现在她面前。,牌位前
122.废弃作坊(日),doc_126_chunk_0,玉娇龙摇头。,场景63：室内，李慕白询问碧眼狐狸下落。
21.贝勒府内院花园（日）,doc_20_chunk_0,玉娇龙远观。,院子
105.聚星楼,doc_109_chunk_1,玉娇龙当作没听到。,聚星楼，米大彪请教时
105.聚星楼,doc_109_chunk_1,玉娇龙闲闲喝完茶等在那里，只用手指打穴就把他打退了。,聚星楼，米大彪跑上楼后
105.聚星楼,doc_109_chunk_1,玉娇龙横眉一怒。,聚星楼，鲁君雄问话时
120.废弃作坊(日),doc_124_chunk_0,玉娇龙醒来,
120.废弃作坊(日),doc_124_chunk_0,她拿起一只杯子喝了一口——没有水。,
120.废弃作坊(日),doc_124_chunk_0,玉娇龙扔掉空杯子站起来,
120.废弃作坊(日),doc_124_chunk_0,见屋内漏雨便走了过去。,
114.激流溪谷（日),doc_118_chunk_1,玉娇龙剑就架在李慕白的脖子上。,
114.激流溪谷（日),doc_118_chunk_1,玉娇龙不能下手。,
114.激流溪谷（日),doc_118_chunk_1,玉娇龙觉得自己像是被催眠了一样不能有自主的能力。,
105.聚星楼,doc_109_chunk_3,飞身下楼便和下面的人打起来,
105.聚星楼,doc_109_chunk_3,边打带骂,
105.聚星楼,doc_109_chunk_3,一招一句气势如虹,
116.废弃作坊（雨日）,doc_120_chunk_0,玉娇龙转醒,
116.废弃作坊（雨日）,doc_120_chunk_0,玉娇龙想着再也不能回家，眼泪便溢出眼眶。,
116.废弃作坊（雨日）,doc_120_chunk_0,玉娇龙看着碧眼狐狸，虚弱得说不出话。,
116.废弃作坊（雨日）,doc_120_chunk_0,玉娇龙起初仍十分戒备握住宝剑,
128.武当山寺庙(傍晚/夜),doc_134_chunk_0,玉娇龙走到罗小虎的床边。,罗小虎的床边
100.客栈房间内（日）,doc_104_chunk_0,玉娇龙把自已打扮成男人。,
100.客栈房间内（日）,doc_104_chunk_0,玉娇龙身体旋转缠绕一圈置于榻上的白绢，把胸部压平。,
100.客栈房间内（日）,doc_104_chunk_0,一双纤手在手掌心将粉和油匀开，涂在耳孔上挡住耳洞,
100.客栈房间内（日）,doc_104_chunk_0,套上靴子,
100.客栈房间内（日）,doc_104_chunk_0,玉娇龙拿起青冥剑,
100.客栈房间内（日）,doc_104_chunk_0,离开房间,
105.聚星楼,doc_109_chunk_0,玉娇龙坐在二楼，放下宝剑,二楼
105.聚星楼,doc_109_chunk_0,玉娇龙解下腰间的钱袋才发现银两无多,二楼
16.马车内，京城街道（日）,doc_15_chunk_0,玉娇龙放下窗帘。,场景8：室内，玉夫人与玉娇龙讨论嫁人规矩。
16.马车内，京城街道（日）,doc_15_chunk_0,玉娇龙说着又掀开窗帘的一角朝外窥看，最后又意兴阑珊地放下窗帘。,场景8：室内，玉夫人与玉娇龙讨论嫁人规矩。
122.废弃作坊(日),doc_126_chunk_3,脑门已经一棒被打空了,
122.废弃作坊(日),doc_126_chunk_3,她更是傻,
126.路上（清晨),doc_131_chunk_0,玉娇龙手里捧着药包,朝阳初起时，路上疾驰
126.路上（清晨),doc_131_chunk_0,一心希望,朝阳初起时，路上疾驰
126.路上（清晨),doc_131_chunk_0,马鞭更是使劲,朝阳初起时，路上疾驰
25.铁小贝勒书斋(日),doc_24_chunk_2,着急坚持,
111.雄远镖局俞秀莲房（日),doc_115_chunk_1,玉娇龙一听惊起。,场景57：房内
111.雄远镖局俞秀莲房（日),doc_115_chunk_1,玉娇龙慌乱中几乎被俞秀莲说服。,场景57：房内
111.雄远镖局俞秀莲房（日),doc_115_chunk_1,蹿窗出去，脚上连鞋也没穿,场景57：房内
122.废弃作坊(日),doc_126_chunk_5,玉娇龙含着眼泪望着俞秀莲。,李慕白中毒，玉娇龙决定去找药
26.铁府外院（傍晚）,doc_25_chunk_0,玉娇龙由女仆陪同离开铁府书斋。,铁府书斋，黄昏时分
26.铁府外院（傍晚）,doc_25_chunk_0,玉向俞道别分手。,铁府书斋，黄昏时分
50.玉娇龙的闺房(夜),doc_47_chunk_0,玉娇龙叹息一声，回到床前。,
122.废弃作坊(日),doc_126_chunk_4,玉娇龙受死的神情。,
122.废弃作坊(日),doc_126_chunk_4,玉娇龙含泪凝视彼此。,
126A.废弃作坊（日）,doc_132_chunk_0,俞秀莲与玉娇龙凝视彼此。,洞内
126A.废弃作坊（日）,doc_132_chunk_0,玉娇龙走到李慕白的身边,洞内
126A.废弃作坊（日）,doc_132_chunk_0,玉娇龙过来跪下，放下药，慢慢递还玉簪给俞,洞内
126A.废弃作坊（日）,doc_132_chunk_0,玉煽情大哭,洞内
25.铁小贝勒书斋(日),doc_24_chunk_0,玉娇龙身子娇弱的微微往前一倾。,书斋
25.铁小贝勒书斋(日),doc_24_chunk_0,玉娇龙说着自己都笑起来,书斋
25.铁小贝勒书斋(日),doc_24_chunk_0,玉娇龙睹剑，眼中有一丝惊喜。,书斋
111.雄远镖局俞秀莲房（日),doc_115_chunk_0,玉娇龙已经梳洗过穿着白布衫子，坐在俞秀莲床上,俞秀莲的房间
111.雄远镖局俞秀莲房（日),doc_115_chunk_0,玉娇龙看她,俞秀莲的房间
111.雄远镖局俞秀莲房（日),doc_115_chunk_0,玉娇龙赌气看着俞秀莲，突然眼一红抱着她便大哭,俞秀莲的房间
76.沙漠（日）,doc_72_chunk_0,玉娇龙骑马在大漠沙滩上飞驰。,大漠沙滩上
49.马车内/大漠(日),doc_46_chunk_0,玉娇龙坐在行进在大漠之中的骆驼队伍中的一辆马车上。,
49.马车内/大漠(日),doc_46_chunk_0,她让大漠干燥的热风吹拂起她的乌发。,
49.马车内/大漠(日),doc_46_chunk_0,玉娇龙仍向窗外看着。,
23.铁府书斋(日),doc_22_chunk_0,正在看墙上的字，而且徐徐不惊地转身,书斋内，得禄推开书斋门时
23.铁府书斋(日),doc_22_chunk_0,玉却没有还礼，只是脸上一派喜气,书斋内，俞秀莲施礼时
46.玉娇龙房（日）,doc_43_chunk_0,玉娇龙练字敛气凝神,
46.玉娇龙房（日）,doc_43_chunk_0,玉娇龙则纹风不动,
46.玉娇龙房（日）,doc_43_chunk_0,玉娇龙终于抬眼，停了一下,
46.玉娇龙房（日）,doc_43_chunk_0,玉娇龙翩然一笑，指一指高师娘绣的东西,
46.玉娇龙房（日）,doc_43_chunk_0,玉娇龙涮着笔，从容的神情,
72.玉府玉娇龙房（夜）,doc_68_chunk_1,玉娇龙转过身去。,
72.玉府玉娇龙房（夜）,doc_68_chunk_1,玉娇龙又转回身，在罗小虎的臂膀上躺了一会儿。,
72.玉府玉娇龙房（夜）,doc_68_chunk_1,玉娇龙刚要说话，忽听门外仆人动静。,
62.铁府花厅(日),doc_58_chunk_0,玉将目光移开,挑选嫁妆
72.玉府玉娇龙房（夜）,doc_68_chunk_2,她张开手掌，一见到罗小虎留下的38东西，她顿时呼吸急促起来。,
72.玉府玉娇龙房（夜）,doc_68_chunk_2,玉娇龙把东西拿到灯光下。,
87.大漠绿洲(日),doc_83_chunk_0,玉娇龙紧紧地抱着罗小虎的腰。,大漠上，快马奔驰
94.玉娇龙房内(夜),doc_90_chunk_0,玉娇龙在哭泣。,
83.在石砾山区(日),doc_79_chunk_0,玉娇龙徒步在石砾山区寻路而行，身上没有一滴水，手脚也被磨破渗血，两眼昏花的继续往前走。,石砾山区
83.在石砾山区(日),doc_79_chunk_0,玉娇龙抬头向天空望去。,石砾山区
69.玉娇龙房(夜),doc_65_chunk_0,玉娇龙悄声溜进窗户进屋。,屋里
69.玉娇龙房(夜),doc_65_chunk_0,她摘下蒙面黑纱，却发现高师娘(碧眼狐狸）正坐在屋里做着针线活。,屋里
88.沙丘(夜),doc_84_chunk_0,躺在一起,沙丘上，夜晚，缠绵后
86.岩洞内(夜),doc_82_chunk_0,玉娇龙咬牙不吭。,场景44：山洞内
86.岩洞内(夜),doc_82_chunk_0,玉娇龙生气，不由地拿起散在地上的小箭弩，一刺就刺进罗小虎的胸膛，流出了鲜血。,场景44：山洞内
86.岩洞内(夜),doc_82_chunk_0,玉娇龙挣扎，爆发的情欲取代打斗。,场景44：山洞内
73.马车内/大漠(日）,doc_69_chunk_0,玉娇龙玩看这块她拥有的最贵重的东西。,马车上，玉娇龙在玩玉梳。
73.马车内/大漠(日）,doc_69_chunk_0,玉娇龙把玉梳插在发上，向马车外眺望沙漠风光。,马车上，玉娇龙把玉梳插在发上并眺望沙漠。
72.玉府玉娇龙房（夜）,doc_68_chunk_0,玉娇龙在解衣裳，疲惫万分。,场景37：玉娇龙住所，夜深人静
72.玉府玉娇龙房（夜）,doc_68_chunk_0,她迅速将被子卷成一个筒，看上去像有人在睡觉，然后自己藏在窗子下面。,场景37：玉娇龙住所，夜深人静
72.玉府玉娇龙房（夜）,doc_68_chunk_0,玉娇龙手中的宝剑「仓啷」一声摔落在地。,场景37：玉娇龙住所，夜深人静
84.岩洞内(夜),doc_80_chunk_0,玉娇龙再一次睁开眼,
84.岩洞内(夜),doc_80_chunk_0,她挣扎咳嗽,
84.岩洞内(夜),doc_80_chunk_0,发现手脚被绑起来,
84.岩洞内(夜),doc_80_chunk_0,玉娇龙把水喷到他脸上,
84.岩洞内(夜),doc_80_chunk_0,玉娇龙一听到水和洗澡，差点没有开口求他,
84.岩洞内(夜),doc_80_chunk_0,她不肯开口,
84.岩洞内(夜),doc_80_chunk_0,她绝望地啜泣起来,
74.马车内/大漠（日）,doc_70_chunk_0,玉娇龙抓住那只胳膊，吧一声将其打断。,驼队遇袭
74.马车内/大漠（日）,doc_70_chunk_0,玉娇龙从马车里纵身跃出，弯腰从一名戎卫的尸体手中拾起一把39大刀。,驼队遇袭
74.马车内/大漠（日）,doc_70_chunk_0,玉娇龙抬头看到这群盗匪已经骑上马背，正在撤离。,驼队遇袭
89.大漠(日),doc_85_chunk_0,同骑一匹马通过一个山口,场景45：山口，大漠
69.玉娇龙房(夜),doc_65_chunk_1,玉娇龙冲向高师娘，两人交手了几个回合。,场景35：屋内，对峙中。
69.玉娇龙房(夜),doc_65_chunk_1,玉娇龙一下点中高师娘的穴位，使其动弹不得。,场景35：屋内，对峙中。
69.玉娇龙房(夜),doc_65_chunk_1,玉娇龙把她向屋外推。,场景35：屋内，对峙中。
69.玉娇龙房(夜),doc_65_chunk_1,玉娇龙轻易地点穴,场景35：屋内，对峙中。
85.岩洞外(夜),doc_81_chunk_0,玉娇龙从岩洞里一拐一拐地出来，站在罗小虎的背后,岩洞外
85.岩洞外(夜),doc_81_chunk_0,玉娇龙迟疑，在他身边坐下,岩洞外
85.岩洞外(夜),doc_81_chunk_0,玉娇龙也没有真的听他在说，只被眼前荒山的夜色迷惑,岩洞外
93.大漠哈萨克营队(日),doc_89_chunk_0,玉娇龙转向罗小虎与他亲吻告别。,场景47：与罗小虎告别
93.大漠哈萨克营队(日),doc_89_chunk_0,她从发中取下玉梳塞在罗小虎的手中。,场景47：与罗小虎告别
81.岩洞内(日),doc_77_chunk_0,玉娇龙突然坐起，想起昨天的混战，发现自己在岩洞里，下意识检查衣服。,岩洞
81.岩洞内(日),doc_77_chunk_0,玉娇龙看见山洞里的打猎用品，赶紧拿了几支箭弩藏在身上。,岩洞
81.岩洞内(日),doc_77_chunk_0,玉娇龙举起小箭要扑上前，结果脚下瘫软无力，扑倒在罗小虎身上。,岩洞
81.岩洞内(日),doc_77_chunk_0,玉娇龙饿得虚软颤抖，怀着恨意一口一口开始吃，狼吞虎咽吃光了食物。,岩洞
