doc_title,chunk_id,description,scene_context
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_3,Alexei runs his hand across Nadia's cheek.,On the bed after Yuri leaves bathroom
146、INT. / EXT. AIRPORT EXIT - NIGHT,doc_145_chunk_2,"Alexei crouches down in front ofher and puts a hand on her knee, coaxing her.",
146、INT. / EXT. AIRPORT EXIT - NIGHT,doc_145_chunk_2,Alexei takes her by the arm and leads her away.,
76、INT. JOHN'S LIVING ROOM - NIGHT,doc_75_chunk_0,Alexei suddenly slams his hand down on the table. He raises his palm. There is an ant squashed there. He shows Yuri.,
110、INT. / EXT. MOVING ROVER - DAY,doc_109_chunk_0,Alexei opens one of the cases and looks inside.,
110、INT. / EXT. MOVING ROVER - DAY,doc_109_chunk_0,He takes a deep breath and swears in Russian.,
110、INT. / EXT. MOVING ROVER - DAY,doc_109_chunk_0,He shows what is in the case to Nadia.,
110、INT. / EXT. MOVING ROVER - DAY,doc_109_chunk_0,Alexei gently lowers the gag and kisses her on the mouth.,
77、EXT. JOHN'S GARDEN - NIGHT,doc_76_chunk_4,Alexei begins softly singing a song.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,"He looks at the jumper, then back at her.",
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,Eventually he pulls the jumper on.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,He is still staring at her.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,He is still looking at her.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,He strokes his hair.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,"He places his big hand around her throat and holds it there, holding her at arms length.",
139、EXT. ROADSIDE VERGE - DUSK,doc_138_chunk_1,he watches her leave him and walk across the floor.,"Flashback: Airport, day"
139、EXT. ROADSIDE VERGE - DUSK,doc_138_chunk_1,"Alexei watches Nadia approach John, and see him shake her hand.","Flashback: Airport, day"
161、INT. ALEXEI'S BEDROOM - NIGHT,doc_160_chunk_0,Alexei sits on the bed.,Subtitled scene
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,Alexei stands.,
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,Alexei walks calmly towards John and throws a punch.,
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,Alexei turns round to see Nadia holding the knife.,
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,Alexei kicks John in the ribs.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,Alexei seems not to relax.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,He keeps his hand there.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,Alexei removes his hand.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,Now he seems shocked.,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,He lights a cigarette.,
156、INT. INSIDE ALEXEI'S SUITE - NIGHT,doc_155_chunk_0,He kisses Nadia again and leaves.,In the room
77、EXT. JOHN'S GARDEN - NIGHT,doc_76_chunk_0,Alexei tinkles beautifully on his guitar.,"Patio, late summer, candlelit table"
77、EXT. JOHN'S GARDEN - NIGHT,doc_76_chunk_0,He stops asks a question in Russian.,"Patio, late summer, candlelit table"
167、INT. ALEXEI'S SUITE - NIGHT,doc_166_chunk_0,Alexei is only watching Nadia.,"Inside a room, John is taking Alexei's passport while Alexei watches Nadia."
83、EXT. FOREST - DAY,doc_82_chunk_4,Alexei notices marks on Nadia's midriff.,
83、EXT. FOREST - DAY,doc_82_chunk_4,He asks her about them in Russian.,
139、EXT. ROADSIDE VERGE - DUSK,doc_138_chunk_2,"Alexei, dressed in a suit, stands outside John's house,looking up.","Flashback: Exterior John's Street, night"
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_4,He is still absorbing the news.,Nadia holds Alexei
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_4,"We see Alexei's face over her shoulder, behind her back, unreadable.",Nadia holds Alexei
166、INT. HOTEL CORRIDOR / ALEXEI'S SUITE - NIGHT,doc_165_chunk_0,"Alexei, heartbroken, tied and bound to a desk chair","Bedroom, finding Alexei tied and bound"
167、INT. ALEXEI'S SUITE - NIGHT,doc_166_chunk_1,Alexei's eyes widen in pain,During the kiss
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_5,Alexei speaks.,
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_5,Alexei turns off the light again.,
113、INT. BATHROOM - NIGHT,doc_112_chunk_1,Alexei looking on,Viewing a series of photographs
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_1,Alexei grabs her and throws her in the air and she comes down with a splash.,Water play with Nadia
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_4,"Alexei stares at John, then swims off powerfully back towards the shore.","Lake, after Yuri's admonishment"
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_3,Alexei grabs Nadia's wrist and forces her to the ground.,In the confusion
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_3,He grabs the knife,In the confusion
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_3,"Alexei lets Nadia surface, coughing and spluttering",
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_3,Alexei makes for her again,
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,Alexei studies her face.,"After Nadia claims she burnt herself cooking, they sit in silence."
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,He keeps staring.,"After Nadia claims she burnt herself cooking, they sit in silence."
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,Alexei watches her closely.,"In a bedroom, Nadia searches her bag for a knitted jumper."
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_0,Yuri and Alexei are sitting on a double bed counting the money.,"Motel chalet, counting money on a double bed"
86、INT. JOHN'S SITTING ROOM - NIGHT,doc_85_chunk_0,Alexei stares at John as he backs out of the room.,"Inside a room, John backs out."
91、INT. KITCHEN - DAY,doc_90_chunk_0,Alexei pulls a gag tight around her mouth and holds the knife to her throat.,"Nadia tied to chair, Alexei holding knife to her throat"
91、INT. KITCHEN - DAY,doc_90_chunk_0,Alexei shouts at Yuri in Russian.,"Nadia tied to chair, Alexei holding knife to her throat"
91、INT. KITCHEN - DAY,doc_90_chunk_0,Alexei shouts again.,"Nadia tied to chair, Alexei holding knife to her throat"
91、INT. KITCHEN - DAY,doc_90_chunk_0,Alexei addresses John.,"Nadia tied to chair, Alexei holding knife to her throat"
83、EXT. FOREST - DAY,doc_82_chunk_1,Alexei and Nadia are laughing and chatting.,"Small clearing, group sitting with blanket, cushions, bread, vodka, Yuri strumming guitar"
83、EXT. FOREST - DAY,doc_82_chunk_1,He removes a small twig from her hair and flattens it under his big hand.,"Small clearing, group sitting with blanket, cushions, bread, vodka, Yuri strumming guitar"
83、EXT. FOREST - DAY,doc_82_chunk_1,Alexei has Nadia falling about laughing about something.,"Small clearing, group sitting with blanket, cushions, bread, vodka, Yuri strumming guitar"
83、EXT. FOREST - DAY,doc_82_chunk_1,He smiles at her then nods to John.,"Small clearing, group sitting with blanket, cushions, bread, vodka, Yuri strumming guitar"
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_2,Alexei holds Nadia tight and looks like he might even kiss her.,"In a body of water, after surfacing from underwater"
84、EXT. LAKE IN FOREST - DAY,doc_83_chunk_2,he ducks her and holds her under the water.,"In a body of water, after surfacing from underwater"
91、INT. KITCHEN - DAY,doc_90_chunk_3,Alexei speaks.,
91、INT. KITCHEN - DAY,doc_90_chunk_3,Alexei has a reply.,
90、INT. STAIRS / HALL / KITCHEN - DAY,doc_89_chunk_1,Alexei steps between them in the doorway.,"Hallway, Alexei steps between Yuri and John in the doorway."
90、INT. STAIRS / HALL / KITCHEN - DAY,doc_89_chunk_1,"As he moves out of view, we see he is holding his hunting knife.","Hallway, Alexei moves out of view holding a hunting knife."
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_1,He is counting in his head.,counting money
