scene,question,answer,evidence,qa_type
11、INT. PROWLER,Why does Wade insist on calling a professional?,Because his daughter is taken.,"They got Jean here! I give these sons a bitches a million dollars, where's my guarantee they're gonna let her go.",causal/relational queries
10、INT. GUNDERSON HOUSE,Why does Marge suddenly double over and say she might barf?,She is overwhelmed by the crime scene's gruesome details.,"Marge looks up from the car and suddenly doubles over, putting her head between her knees down near the snow.",causal/relational queries
24、INT. WADE'S OFFICE,What does Jerry say about the finder's fee?,"He says he needs the principal, not a finder's fee.","No, see, I don't need a finder's fee, I need - finder's fee's, what, ten percent, heck that's not gonna do it for me. I need the principal.",dialogue/beliefs
22、EXT. CAR,What caused Marge to express concern about Mike?,He was bothering Linda and had psychiatric issues.,VOICE: 'he was bothering Linda... he's been struggling.',causal/relational queries
10、INT. GUNDERSON HOUSE,What caused the high-speed pursuit that ended at the wreck?,The state trooper pulling someone over led to a shooting and subsequent pursuit.,"Marge states, 'we got a state trooper pulls someone over, we got a shooting, and these folks drive by, and we got a high-speed pursuit, ends here.'",causal/relational queries
9、EXT. GUNDERSON HOUSE,"In [9、EXT. GUNDERSON HOUSE], What is Marge's current action?",Making her way down the icy front stoop to her prowler.,Dawn. Marge is making her way down the icy front stoop to her prowler.,character states
29、INT. CIERA,When does Jean start screaming?,After Grimsrud stubs the cigarette,"Grimsrud takes the cigarette from his mouth and stubs it in his ashtray. We hear... In the back seat, Jean starts screaming.",temporal references
25、INT. CAR,What does Carl say about Grimsrud's speech?,That's more'n I've heard you say all week.,CARL Geez. That's more'n I've heard you say all week.,dialogue/beliefs
22、EXT. CAR,Why was Mike pestering Linda according to the phone conversation?,He had psychiatric problems and was struggling.,VOICE: 'Mike's had psychiatric problems.',causal/relational queries
21、EXT. JERRY'S HOUSE,What does the man say about the guy's situation at the lake?,I'm goin' crazy out there at the lake.,"The man recounts the guy saying, 'I'm goin' crazy out there at the lake.'",dialogue/beliefs
17、EXT. HOUSE,"In [17、EXT. HOUSE], What is Wade's behavioral state as described in the passage?",Slams the door and peels out.,"Wade, briefcase in hand, gets into his Cadillac, slams the door and peels out.",character states
12、EXT. CABIN,What actions does the hooded woman perform as she moves across the snow?,"She lurches, staggers, stumbles, and falls face-first into the snow.","With muffled cries, the hooded woman lurches across the unbroken snow, staggering this way and that, stumbling on the uneven terrain. She stops... lurches out... reels, staggers, and falls face-first into the snow.",detailed description
2、INT. WADE'S OFFICE,"In [2、INT. WADE'S OFFICE], What is Wade's emotional state during the conversation?",Angry,Wade is angry.,character states
8、EXT. ROAD,"In [8、EXT. ROAD], Where is the young man limping across after the car wreck?",A snowfield abutting the highway,The wrecked car's headlights shine off into a snowfield abutting the highway.,scene localization
33、INT. PROWLER,What belief does Marge express about the tag number DLR?,She thinks the vehicle had dealer plates.,MARGE: I think that vehicle there probly had dealer plates. DLR?,dialogue/beliefs
33、INT. PROWLER,What does Marge say about Lou's policework?,She isn't sure she agrees with him a hundred percent.,"MARGE: I'm not sure I agree with you a hunnert percent on your policework, there, Lou.",dialogue/beliefs
38、INT. CABIN,What does 'TV voice-over' refer to in the passage?,A voice-over from the television describing the bark beetle's behavior.,TV VOICE-OVER The bark beetle carries the worm to the nest ... where it will feed its young for up to six weeks...,terminology/abbreviation/concept
30、EXT. ROAD,What does Marge tell Norm about sleeping?,"You can sleep, hon. It's early yet.","MARGE / ... You can sleep, hon. It's early yet.",dialogue/beliefs
3、INT. CAR,"In [3、INT. CAR], Where is Jean located?",back seat underneath a tarpaulin,Jean lies bound and curled on the back seat underneath a tarpaulin.,scene localization
23、INT. CAR,What does Carl suggest to Gaear about Brainerd?,He suggests stopping outside Brainerd to get laid.,CARL: 'We'll stop outside of Brainerd. I know a place there we can get laid.',dialogue/beliefs
