doc_title,chunk_id,fact,scene_context
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_0,"Jacob receives two dilapidated, rusting motorcycles from Bella.",
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_0,Jacob follows Sam's lead toward the house.,
64、EXT. BELLA'S HOUSE (CONTINUOUS) - NIGHT,doc_63_chunk_0,Jacob successfully launches himself through the window with great agility.,
86、INT. BELLA'S TRUCK - NIGHT,doc_85_chunk_0,Jacob explicitly states that he heals fast.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_3,Jacob agrees to participate in a plan he describes as stupid and reckless.,"Scene where Jacob and Bella prepare motorcycles, following a discussion about a risky endeavor."
121、INT. WOODS - MORNING,doc_120_chunk_4,Jacob phases into a wolf during a confrontation with Edward.,"Scene: A physical confrontation occurs when Jacob tries to extract Bella from Edward and is pushed back, leading to his transformation."
92、EXT. BELLA'S HOUSE - DAY,doc_91_chunk_3,Jacob delays attending the funeral in order to speak with Bella first.,
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_2,Jacob physically pushes Paul with enough force to send him flying backward.,"Scene where tensions escalate between Jacob, Paul, and Sam; Jacob intervenes during Paul's verbal attack."
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_1,The target character offers to find a sunny spot with Bella after she declines to share a specific location.,Scene following Bella's mention of a sunny place above the cloud line; Jacob responds to her reluctance with a positive suggestion.
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_1,Jacob clarifies that he does not kill hikers and is instead trying to protect them.,Scene: Confrontation with Bella after she accuses him of killing hikers.
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_1,The target character acknowledges breaking a promise to not hurt Bella.,
65、INT. BELLA'S BEDROOM (CONTINUOUS) - NIGHT,doc_64_chunk_1,The target character commits to trying to keep his promise to not hurt Bella.,
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_1,Jacob moves in front of Bella to protect her from Paul.,
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_1,Jacob reveals that Bella knows information about the bloodsuckers from being on the inside.,
89、INT. BELLA'S HOUSE - KITCHEN - NIGHT,doc_88_chunk_0,Jacob saved the target character from being pulled from the water.,
89、INT. BELLA'S HOUSE - KITCHEN - NIGHT,doc_88_chunk_0,Jacob saved the target character more than once.,
85、EXT. BEACH - DAY,doc_84_chunk_0,"Jacob performs a life-saving intervention by hitting Bella on the back, causing her to spit up water.",
85、EXT. BEACH - DAY,doc_84_chunk_0,"Jacob successfully revives Bella, who regains consciousness and recognizes him.",
88、EXT. ROAD (CONTINUOUS) - NIGHT,doc_87_chunk_0,Jacob explicitly states that he can no longer protect Bella in her current location.,
88、EXT. ROAD (CONTINUOUS) - NIGHT,doc_87_chunk_0,Jacob insists that Bella must come with him for her safety due to a breach of territorial boundaries.,
85、EXT. BEACH - DAY,doc_84_chunk_2,Jacob is informed about Harry Clearwater's heart attack.,
85、EXT. BEACH - DAY,doc_84_chunk_2,Jacob assists Bella by helping her up.,
85、EXT. BEACH - DAY,doc_84_chunk_2,Jacob commits to driving Bella home.,
121、INT. WOODS - MORNING,doc_120_chunk_3,The target character explicitly threatens retaliatory action if the human is transformed by the opposing group.,"Scene: Confrontation at the clearing, following Bella's declaration of intent."
121、INT. WOODS - MORNING,doc_120_chunk_3,The target character expresses a binding personal commitment to prevent the human's transformation.,"Scene: Confrontation at the clearing, following Bella's declaration of intent."
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_4,Jacob transforms into a russet-brown wolf.,The clearing and surrounding woods: Jacob undergoes a physical transformation during a confrontation.
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_4,Jacob engages in physical combat with the Paul-wolf.,The clearing and surrounding woods: The fight between Jacob and Paul-wolf begins and moves into the woods.
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,Jacob arrives at the location with Paul.,
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,Jacob is unharmed upon arrival.,
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,Jacob establishes eye contact with Bella.,
69、INT. EMILY'S HOUSE (CONTINUOUS) - NIGHT,doc_68_chunk_4,Jacob signals to Bella that they should talk.,
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_2,The target character confirms participation in the killing of a vampire named Laurent.,Scene where Bella confronts Jacob about vampires; location appears to be outdoors near the reservation.
70、EXT. LA PUSH - CLIFFS - DAWN,doc_69_chunk_2,The target character is bound by a treaty that restricts attacks on the Cullens unless they violate the agreement by biting someone.,Scene where Bella confronts Jacob about vampires; location appears to be outdoors near the reservation.
