doc_title,chunk_id,description,scene_context
第33场,doc_32_chunk_0,叶问把练功的木桩劈了做柴。,家里：劈木桩做柴
第28场,doc_27_chunk_0,叶问轻缕张永成的发丝,第三次全家福
第2场,doc_1_chunk_0,叶问在祠堂里练棍。,场景2：祠堂内，练棍。
第63场,doc_62_chunk_0,叶问和弟子们合影。,
第30场,doc_29_chunk_0,叶问登上狭窄的楼梯,
第30场,doc_29_chunk_0,叶问抱着孩子哄。,
第4场,doc_3_chunk_0,叶问回来后,家门口
第24场,doc_23_chunk_0,叶问两人交手,
第32场,doc_31_chunk_0,叶问拿过饭盒，走出金楼，和一帮日本,金楼：酒楼老板提供剩菜后，叶问拿饭盒离开。
第3场,doc_2_chunk_0,小叶问下跪拜师,
第3场,doc_2_chunk_0,叶问在打木桩练功,
第23场,doc_22_chunk_0,叶问出现在宫二的对面。,金楼：叶问出现在宫二对面
第35场,doc_34_chunk_0,叶问抱着死去的女儿悲痛欲绝。,金楼，一九三八年
第10场,doc_9_chunk_0,叶问的手握住饼，叶问试了几个回合。,中华武士会成立时，掰饼比试
第10场,doc_9_chunk_0,叶问的手和宫羽田的手搭在一起，叶问动，宫羽田也跟着动。,中华武士会成立时，掰饼比试
第16场,doc_15_chunk_0,叶问走进金楼,金楼内，祝贺叶问
第16场,doc_15_chunk_0,叶问一层一层往上走,金楼内，祝贺叶问
第48场,doc_47_chunk_0,叶淡定的收起桌上的钱。,
第48场,doc_47_chunk_0,叶问一脚踢开踢馆领头人。,
第48场,doc_47_chunk_0,叶问开启一个打十个模式。,
第48场,doc_47_chunk_0,踢馆领头人被踢到之后，叶问收回脚，没有再踢，而是等他站起。,
第48场,doc_47_chunk_0,踢馆人被叶问一脚踢飞，玻璃碎了一地。,
第57场,doc_56_chunk_0,1952年冬天。,
第57场,doc_56_chunk_0,我最后一次见她是在大南。,
第20场,doc_19_chunk_0,叶问用锤子钉，将一颗纽扣钉在了墙上。,雄哥住所
第16场,doc_15_chunk_1,叶问只用一只手就挡住了三姐种种招式，最后抓住了三姐的一只金莲。,与三姐试手
第16场,doc_15_chunk_1,叶问走上更高的一层。,试手后上楼
第16场,doc_15_chunk_1,叶问摆好阵势，闭上眼全身心感受对方动作，慢镜头，挡下对方的拳头。,与瑞先生对练
第5场,doc_4_chunk_0,抱着自己的一个孩子,照全家福
第5场,doc_4_chunk_0,相视而笑,照全家福
第5场,doc_4_chunk_0,目光移向前方,照全家福
第16场,doc_15_chunk_2,叶问往上走。,
第16场,doc_15_chunk_2,叶问将勇哥击败。,屋内
第16场,doc_15_chunk_2,拱手,屋内
