doc_title,chunk_id,description,scene_context
101、INT. MASTER BEDROOM - NIGHT,doc_100_chunk_0,"Burnham looks down, at the baseboard below.",
110、INT. LIVING ROOM - NIGHT,doc_109_chunk_0,"Burnham slides to his knees, snatches a flashlight from his duffel, leaps up and takes off again.",
118、INT. MECHANICAL ROOM - NIGHT,doc_117_chunk_0,"Burnham turns, sees another, smaller metal box",
140、INT. PANIC ROOM - NIGHT,doc_139_chunk_4,Burnham sitting in a chair,"Panic room, living room monitor"
112、INT. STAIRWELL - NIGHT,doc_111_chunk_0,Burnham flies down the stairs,
127、INT. KITCHEN - NIGHT,doc_126_chunk_1,Burnham SHOUTS incoherently and turns.,"Kitchen, after Junior is shot"
131、INT. KITCHEN - NIGHT,doc_130_chunk_1,The skin around Burnham's eye is an angry red.,
131、INT. KITCHEN - NIGHT,doc_130_chunk_1,"His eyes dart, strain to look over at Harris, MOANING on the floor. And at Junior, dead.",
116、INT. MECHANICAL ROOM - NIGHT,doc_115_chunk_0,"Burnham runs to it, flings it open.",Mechanical room
116、INT. MECHANICAL ROOM - NIGHT,doc_115_chunk_0,SLAMS it shut.,Mechanical room
122、INT. MASTER BEDROOM - NIGHT,doc_121_chunk_0,"Tired, Burnham drags himself back up the stairs and into the doorway of the master bedroom.","Master bedroom doorway, Burnham returns from stairs"
130、INT. PANIC ROOM - NIGHT,doc_129_chunk_0,Burnham hurries to the door,After seeing Harris being dragged inside by Raoul
139、INT. MASTER BEDROOM - NIGHT,doc_138_chunk_0,"Burnham stand in the doorway, neither in nor out of the room, a silhouette, head hung.","Room, Harris unconscious, Raoul standing over him"
132、INT. MASTER BEDROOM - NIGHT,doc_131_chunk_0,"Burnham, bends down next to him.","panic room, Harris collapsed at the door"
132、INT. MASTER BEDROOM - NIGHT,doc_131_chunk_0,"Burnham stands up, turns to the video camera, and SHOUTS.","panic room, after Harris nods"
126、INT. LIVING ROOM - NIGHT,doc_125_chunk_0,Burnham is behind him.,"Living room, Junior heading to kitchen stairs"
126、INT. LIVING ROOM - NIGHT,doc_125_chunk_0,Burnham follows.,Junior heading down to kitchen
