doc_title,chunk_id,text,scene_context
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_3,Right. Quil took his cousin to prom.,
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_2,And his cult.,"Scene: By the cliffs, Jacob speaks to Bella as they observe Sam and others from a distance."
46、INT. HIGH SCHOOL - CAFETERIA - DAY,doc_45_chunk_2,You look scared.,Scene with Jacob and Bella near a completed motorcycle; Jacob is speaking to Bella as she straddles the bike.
23、EXT. BELLA'S HOUSE - NIGHT,doc_22_chunk_1,Charlie!,"Scene at the edge of the woods; Jacob calls out to Charlie, directing his attention to Sam Uley emerging from the woods with Bella."
121、INT. WOODS - MORNING,doc_120_chunk_4,You don't speak for her!,Scene: A confrontation where Jacob intervenes to defend Bella against Edward; Jacob speaks directly to Edward before transforming into a wolf.
121、INT. WOODS - MORNING,doc_120_chunk_1,"No, you didn't. And it wasn't for your benefit, trust me.","Scene: Outside, leaning against a tree; Jacob speaks to Edward about keeping Bella alive."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_5,Forget it. I'm revoking your motorcycle privileges.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_5,You're apologizing for bleeding?,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_3,"Oh it's totally stupid and reckless. (leans closer, grins) When do we start?","Scene: Outside a garage, Jacob responds to Bella's concern about a plan, then asks when they will begin."
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_2,"Hey. This is Bella. Bella, that's Quil and Embry. So the bike building story is true.",
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_2,I said she's a girl and a friend.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_0,Bella!,"Scene: Outside Jacob's house, Jacob greets Bella as she arrives in her truck."
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_0,'Bout time you came by.,"Scene: Outside Jacob's house, Jacob speaks to Bella after hugging her."
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_2,You know exactly what I'm talking about.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_2,Charlie's gonna love that.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_2,Wow.,
35、EXT. JACOB BLACK'S HOUSE - DAY,doc_34_chunk_2,Lying to Dad. Blowing through college money. Repairing dangerous machines - that I'm guessing you'll want to ride?,
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_0,You influence me? Please.,"Scene: Working on motorcycle parts, Jacob is building with Bella present; discussing influence and age."
39、INT. JACOB'S GARAGE - ANOTHER DAY,doc_38_chunk_0,Age ain't nothin' but a number.,"Scene: Working on motorcycle parts, Jacob is building with Bella present; discussing influence and age."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_4,Bank it! Bank - hit the brake!,"Scene: During a driving moment, Jacob instructs Bella on how to handle a turn."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_4,"What, are you training for the X-games?","Scene: After Bella crashes, Jacob approaches her and comments on her driving."
60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,doc_59_chunk_0,Go away.,"Scene: Outside a house, Jacob speaks to Bella as he turns away from her."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_6,What are you staring at?,Scene in which Jacob is tending to Bella's head injury; he speaks to Bella after noticing her looking at him.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_6,How hard did you hit your head?,Scene in which Jacob responds to Bella's compliment about his appearance; he speaks to Bella with surprise and humor.
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_1,Like there's any place sunny around here.,
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_1,Where is it?,Scene with Bella; Jacob is asking about a sunny place mentioned by Bella.
44、INT. BELLA'S TRUCK - DAY,doc_43_chunk_1,"So we'll find our sunny spot, right?",Scene with Bella; Jacob is suggesting they find a sunny place together.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Brake?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Clutch?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Right. Gas?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,You ready?,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_0,Slowly... release the clutch.,
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_9,No. That's not -- I just feel... weird.,Scene: Jacob is speaking with Bella; the conversation is about his physical condition and how he feels unwell.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_9,It doesn't... feel like flu. I don't know what it is.,Scene: Jacob is speaking with Bella; the conversation continues about his unusual symptoms.
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_1,"Man, first motorcycles, now cliff diving?",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_1,"They think they run this place. Acting all bad ass, calling themselves ""protectors.""",
45、EXT. LA PUSH CLIFFS (CONTINUOUS) - DAY,doc_44_chunk_1,"The tribe, the land, their right to be jerks. Embry used to call them hall monitors on steroids; now look at him.",
64、EXT. BELLA'S HOUSE (CONTINUOUS) - NIGHT,doc_63_chunk_0,Get out of the way.,Scene: Jacob is clinging to a tree outside Bella's window; he speaks to Bella before launching through the window.
121、INT. WOODS - MORNING,doc_120_chunk_0,You're still alive.,"Scene: In the woods, Jacob confronts Bella and Edward upon their arrival."
121、INT. WOODS - MORNING,doc_120_chunk_0,Couldn't drop by?,"Scene: In the woods, Jacob speaks to Bella and Edward after expressing surprise they are alive."
121、INT. WOODS - MORNING,doc_120_chunk_0,Stay the hell out of my head!,"Scene: In the woods, Jacob speaks angrily to Edward after Edward comments on his thoughts."
63、INT. BELLA'S BEDROOM - NIGHT,doc_62_chunk_0,Bella! Ouch - damn it; open the window.,"Scene: Bella's room at night; Jacob is outside the window, trying to get her attention."
5、EXT. FORKS HIGH SCHOOL - PARKING LOT - DAY,doc_4_chunk_8,I saw it the other day and thought of you - it catches bad dreams.,Scene: Jacob gives Bella a dreamcatcher as a birthday gift; conversation involves Bella and Edward.
5、EXT. FORKS HIGH SCHOOL - PARKING LOT - DAY,doc_4_chunk_8,"Ooh, look at you, all psychic.",Scene: The bell rings; Jacob speaks to Edward with a hint of snark; conversation involves Edward and Bella.
67、EXT. LA PUSH - CLEARING IN THE FOREST - NIGHT,doc_66_chunk_2,Watch what you call her.,
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,Quil keeps asking to come over. I think he likes you a little too much.,"Scene: In a yard, Jacob speaks to Bella as they head to her truck; topic involves Quil's interest in Bella."
41、EXT. JACOB'S GARAGE - NIGHT,doc_40_chunk_0,"What is it with you and age? I mean, that Cullen guy was young, didn't seem to... bother you.","Scene: In a yard, Jacob speaks to Bella as they head to her truck; topic involves Bella's relationship with Edward Cullen."
121、INT. WOODS - MORNING,doc_120_chunk_2,We'll see.,
121、INT. WOODS - MORNING,doc_120_chunk_2,"She's been laying low. Ever since
your freaky sister showed up. Guess
she can't stand you Cullens either.",
121、INT. WOODS - MORNING,doc_120_chunk_2,"She does, she's ours. She killed on
our turf.",
121、INT. WOODS - MORNING,doc_120_chunk_2,"My turn to talk. I'm here to remind
you about a key point in the Treaty.",
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_1,"You okay? Bruises, breaks -- ?","Scene: After Bella's bike accident, Jacob checks on her well-being."
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_1,I'm not sure that's a good --,Scene: Jacob expresses concern about Bella riding again.
47、EXT. LA PUSH - CLEARING IN THE FOREST (CONTINUOUS) - DAY,doc_46_chunk_1,Guess we're going again. Now what are you going to do with the clutch?,Scene: Jacob observes Bella getting back on the bike and asks about her next step with the clutch.
