doc_title,chunk_id,text,scene_context
102、EXT. MOUNTAIN JUNGLE,doc_101_chunk_0,What are we doing?,"Jungle, speaking with Carl about their current activity"
"116、EXT. MOUNTAIN, CANYON - CONTINUOUS",doc_115_chunk_3,Hang on to Kevin!,Cliff edge: Russell tells Carl to hang on to Kevin as the house moves toward the chasm.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_9,But we haven't even had dessert yet.,"At the table, Russell objects to leaving without dessert."
103、EXT. MOUNTAIN STEEP HILLSIDE,doc_102_chunk_0,"Hey, uh, we're pretty far now.","On a hill after Carl falls, Russell mentions being far and Kevin missing him."
103、EXT. MOUNTAIN STEEP HILLSIDE,doc_102_chunk_0,Kevin's gonna miss me.,"On a hill after Carl falls, Russell mentions being far and Kevin missing him."
115、INT. CAVE,doc_114_chunk_0,I am hurrying!,"While untieing the house, Russell responds to Carl's urgency."
115、INT. CAVE,doc_114_chunk_0,They're coming!,"Dogs descending, Russell warns Carl about the approaching dogs."
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_4,Uh-huh.,"At the cave, Russell is asked if he is tired and hungry."
"105、EXT. MOUNTAIN, FLAT ROCKY AREA - NIGHT",doc_104_chunk_3,"Well, he's away a lot. I don't seehim much.",Speaking with Carl about someone being away.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,Kevin?,"Inside Muntz's house, after a haunted wail"
"105、EXT. MOUNTAIN, FLAT ROCKY AREA - NIGHT",doc_104_chunk_6,Cross your heart?,Campfire: Russell asks Carl to cross his heart.
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_4,"That's it, go Kevin! Go find your babies!","Running toward the labyrinth entrance, Russell encourages Kevin to find her babies."
"116、EXT. MOUNTAIN, CANYON - CONTINUOUS",doc_115_chunk_6,No no no! Kevin! Stay down. (to Carl) She's hurt real bad. Can't we help her get home?,Rock maze area: Russell speaks to Carl about helping a hurt bird.
"116、EXT. MOUNTAIN, CANYON - CONTINUOUS",doc_115_chunk_2,Help! Help!,"On rock spires, Russell calls for help to Carl while swinging in the air."
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_3,"That might sound boring, but I think the boring stuff is the stuff I remember the most.","Walking with Carl, discussing memorable boring moments"
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_3,"Look, there it is!",Spotting the labyrinth while tethered
"106、EXT. MOUNTAIN, FLAT ROCKY AREA - MORNING",doc_105_chunk_2,Her babies! Kevin's a girl?,Roof: Russell asks if Kevin is a girl after DUG states the bird has babies.
