scene,question,answer,evidence,qa_type
11、INT. REDSKINS' HEAD COACH'S OFFICE - DAY,"In [11、INT. REDSKINS' HEAD COACH'S OFFICE - DAY], What is Reese Evans' emotional state according to his dialogue?","Bored and ready to retire, seeking one last hit.",Bored and ready to retire. I'm just looking for one more hit.,character states
8、INT. TILDON'S OFFICE,"In [8、INT. TILDON'S OFFICE], What is O'Neil's behavioral state when he fires Tildon?",Aggressive and confrontational,You're fired! Get out! Get out! Get out!,character states
43、INT. LOCKER ROOM - DAY (HALF-TIME),What does Shane say about the plays?,"We can't put three plays together without a penalty, a fumble or a fight.","We can't put three plays together without a penalty, a fumble of a fight.",dialogue/beliefs
10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does O'Neil mention using replacement players?,"Because the actual players flew home, leaving no team.","McGinty states the players flew home in their jets, prompting O'Neil's plan for replacements.",causal/relational queries
8、INT. TILDON'S OFFICE,"In [8、INT. TILDON'S OFFICE], What is O'Neil's emotional state during his conversation with Tildon?",Angry and frustrated,Bullshit he slipped! You god damn wimp!,character states
3、EXT. UNDERWATER - DAY,"In [3、EXT. UNDERWATER - DAY], What object does Shane pick up from the mud?",a broken trophy half-buried in the mud,picks it up,objects/props
10、INT. O'NEIL'S BEDROOM - CLOSE ON O'NEIL - NIGHT,Why does O'Neil ask McGinty to return as head coach?,Because he is dying and needs help bringing a winner back to D.C.,O'Neil says he'll be gone by Superbowl Sunday and asks McGinty to help bring a winner back.,causal/relational queries
45、EXT. FIELD - DAY,What does McGinty tell Shane about the huddle?,"Half your job is getting that huddle in the right mindset. Use your imagination, Shane.","McGINTY (V.O) Half your job is getting that huddle in the right mindset. Use your imagination, Shane.",dialogue/beliefs
19、EXT. STANDS - MAGIC HOUR,"In [19、EXT. STANDS - MAGIC HOUR], What is O'Neil's physical condition?",He uses an oxygen tank and is huddled in a large coat.,Augustine holds O'Neil's oxygen tank as the old man sits huddled in a coat that's way too big for him.,character states
39、EXT. FIELD - DAY,What does Jamal say to Lee during the conflict?,Don't be messing with my brother.,JAMAL (to Lee) Don't be messing with my brother...,detailed description
39、EXT. FIELD - DAY,What action does Lee take against Andre in the huddle?,Lee punches Andre through his face guard.,IN HUDDLE Lee suddenly punches Andre through his face guard.,detailed description
33、EXT. BIG O STADIUM - DAY,What does 'scabs' refer to in the context of the passage?,Individuals who replace striking workers,LINDELL (to kid) Don't be asking for no autographs from the real players and then go in and watch the scabs!,terminology/abbreviation/concept
31、INT. McGINTY'S HOUSE - DAY,What does 'break a leg' mean in the context of the passage?,A theater expression for good luck before opening night.,Annabelles explanation about it being from the theater for opening night.,terminology/abbreviation/concept
