doc_title,chunk_id,text,scene_context
140、INT. ENTERPRISE - CREW LOUNGE - NIGHT,doc_139_chunk_0,To absent friends... o family.,"Shattered crew lounge: Picard toasts Data with the senior crew, wearing mourning bands."
141、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,doc_140_chunk_0,"I don't know if all this has made sense to you, but I wanted you to know what kind of man he was. In his quest to be more like us, he helped show us what it means to be human.","At desk, speaking with B-9 about a man's quest to be human."
139、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_138_chunk_2,Geordi... prepare the shuttlebay for arrivals. They don't know our,Speaking to Geordi about preparing the shuttlebay for arrivals.
112、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_111_chunk_0,Savage them!,
139、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_138_chunk_1,On screen... (he remembers there is no longer a viewscreen) ... Open a channel.,"After Geordi reports being hailed, Picard instructs to open a channel."
139、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_138_chunk_1,"Thank you, Commander.","After Donatra's transmission about medical shuttles, Picard thanks her."
102、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_101_chunk_0,Do you have life support?,"On viewscreen, Picard and Donatra discuss the condition of Donatra's ship."
102、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_101_chunk_0,Understood --,"On viewscreen, Picard and Donatra discuss the condition of Donatra's ship."
121、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_120_chunk_1,"I never told you about my first Academy evaluation, did I? I received very high marks for my studies. But I was found lacking in certain other areas. Personality traits, you might say. In particular I was thought to be extremely... (he glares up at the prow of the Scimitar) ... over-confident.",Picard speaking to Deanna at helm about his Academy evaluation.
117、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_116_chunk_1,What if we target all phasers in a concentrated attack?,"During battle with Scimitar, Picard proposes concentrated phaser attack to Geordi and Data."
145、INT. ENTERPRISE - READY ROOM - FOLLOWING,doc_144_chunk_0,Reminds me of a young doctor I used to know...,Beverly on viewscreen at Starfleet Medical office; topic: new medical team
146、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_145_chunk_0,What's this?,Bridge: Picard arrives and questions the new chair installation.
145、INT. ENTERPRISE - READY ROOM - FOLLOWING,doc_144_chunk_1,"Not tonight, I have work here.",Officer's mess: Picard declines Beverly's dance invitation (on viewscreen)
145、INT. ENTERPRISE - READY ROOM - FOLLOWING,doc_144_chunk_1,"Welcome aboard, Commander. I hope, your transfer didn't come as too much of a surprise.",Officer's mess: Picard welcomes Commander Madden after his arrival
115、INT. ENTERPRISE - BRIDGE - NIGHT,doc_114_chunk_0,Divert power and compensate --,Bridge: Picard responds to Data's report of lost ventral shielding on deck twenty nine.
