doc_title,chunk_id,fact,scene_context
1、INT. WAREHOUSE - EARLY MORNING,doc_0_chunk_2,Barry is told the operator's extension number 215.,Barry's warehouse during a phone call with the operator
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_6,Barry refuses the breakfast invitation.,"At the car, Elizabeth invites Barry to join her and Lena for breakfast."
2、INT. BARRY'S WAREHOUSE - THAT MOMENT,doc_1_chunk_4,Barry receives Lena's keys from Lena.,Street scene: Lena hands Barry her keys.
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_23,Barry refuses to join Elizabeth and Lena for a meal.,at the crates
17、INT. KITCHEN - MOMENTS LATER,doc_16_chunk_0,Barry is dressed for work in a suit.,"Home, about to leave for work"
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_12,Barry says he will call back.,"Office: Barry on phone, Elizabeth enters and whispers to him."
2、INT. BARRY'S WAREHOUSE - THAT MOMENT,doc_1_chunk_0,Barry is informed that the voice will call him back first thing tomorrow.,
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_11,Barry is on the phone.,Barry's office
3、INT. WAREHOUSE - OFFICE - EARLY MORNING,doc_2_chunk_0,The harmonium produces no sound when Barry hits a key.,"Warehouse office, Barry attempts to play harmonium"
4、INT. WAREHOUSE/MAIN AREA - DAY,doc_3_chunk_2,Barry is informed by Rico that his sister is on line two.,Workplace setting with customers and Dave
4、INT. WAREHOUSE/MAIN AREA - DAY,doc_3_chunk_4,Barry commits to attending the party.,Phone call with Karen about the party
32、INT. RECEPTION AREA/LENA'S BUILDING,doc_31_chunk_0,Barry is the recipient of a phone call.,Reception desk area
14、INT. BARRY'S APARTMENT - MOMENTS LATER,doc_13_chunk_1,Barry agrees to take his pants off and stroke it.,
17、INT. KITCHEN - MOMENTS LATER,doc_16_chunk_4,Barry explicitly refuses the request.,Phone call with the sexy voice
17、INT. KITCHEN - MOMENTS LATER,doc_16_chunk_4,Barry terminates the phone call.,Phone call with the sexy voice
43、INT. WAREHOUSE/BARRY'S OFFICE - MOMENTS LATER,doc_42_chunk_0,Barry gains access to the information that the pudding is stacked up.,Barry and Lance in a room; Barry sees pudding stacked up.
26、EXT/INT. LENA'S APARTMENT COMPLEX - EVENING,doc_25_chunk_1,Barry receives complicated directions from the Security Guard.,Security desk: Security Guard gives Barry complicated directions.
29、INT. RESTARAUNT - MOMENTS LATER,doc_28_chunk_3,Barry paid for the drinks and salad.,Restaurant counter
38、EXT. GROCERY STORE/BANK PARKING LOT - NIGHT,doc_37_chunk_2,Barry notices a Utah license plate,Confrontation with Mike D
75、INT. PROVO - BAR - BACK ROOM AREA - THAT MOMENT,doc_74_chunk_0,"Barry demands to speak to the owner, supervisor, or whoever runs the business.",Phone call with Latisha at a business
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_17,Barry is being called on Line One.,Worker announces telephone call on Line One for Barry
71、INT. AIRPORT/HONOLULU - AT THE GATE/WAITING AREA,doc_70_chunk_0,Barry agrees to Lena's request to come home with him upon arrival.,"On a return flight, Lena asks to come home with Barry."
76、INT. DEAN'S MATTRESS/FURNITURE STORE - THAT MOMENT,doc_75_chunk_1,Barry Egan is connected to the supervisor.,Phone call with Latisha and Dean
18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,doc_17_chunk_2,Barry destroys his credit card.,Office
76、INT. DEAN'S MATTRESS/FURNITURE STORE - THAT MOMENT,doc_75_chunk_3,Barry threatens to hurt Dean for hurting her.,Confrontation after screaming stops
5、INT. WAREHOUSE - OFFICE - THAT MOMENT,doc_4_chunk_0,Barry moves the harmonium to a different spot on the desk.,at the desk
51、INT. WAREHOUSE AREA - MOMENTS LATER,doc_50_chunk_0,Barry appoints Lance to be in charge until Barry returns.,Barry and Lance discussing pudding and Barry's departure
51、INT. WAREHOUSE AREA - MOMENTS LATER,doc_50_chunk_0,Barry instructs Lance not to tell his sisters anything.,Barry and Lance discussing pudding and Barry's departure
60、INT. ROYAL HAWAIIAN/LOBBY - LATER,doc_59_chunk_0,Barry sees Lena in the hotel lobby,Hotel lobby
9、INT. SUPERMARKET - NIGHT,doc_8_chunk_2,Barry's cart wheel is damaged.,"Grocery store, Barry collides with another person, damaging his cart wheel."
7、INT. WAREHOUSE/NEAR LANCE'S DESK - LATE AFTERNOON,doc_6_chunk_0,Barry commits to attending an event tonight.,Barry's workplace: conversation with his sister Elizabeth
10、INT. SUSAN'S HOUSE - NIGHT,doc_9_chunk_3,"Barry is revealed to Elizabeth, Karen, Nicole, Anna, Walter, Larry, and Steve.",KITCHEN/DINING ROOM
77、EXT. WAREHOUSE - NIGHT,doc_76_chunk_0,Barry has the phone in his hand.,Alley scene
47、EXT. SMART AND FINAL - DAY,doc_46_chunk_0,Barry acts as if nothing happened after the Toyota pickup passed without incident.,"Parking lot, loading pudding in car after Toyota pickup passes without incident."
66、INT. HAWAIIAN HOTEL ROOM - NIGHT/NEAR DAWN - LATER,doc_65_chunk_1,Barry is asleep.,"Hotel room, Lena calls Barry and he is asleep."
10、INT. SUSAN'S HOUSE - NIGHT,doc_9_chunk_9,Three sliding glass doors are shattered.,Barry shatters three floor-to-ceiling sliding glass doors in a room with others present.
72、INT. BARRY'S GARAGE - NIGHT,doc_71_chunk_1,Barry seems to get the best of both Nate and Mike D.,"Barry confronts Mike D and Nate, leading to a brawl."
