doc_title,chunk_id,fact,scene_context
120、INT. CAVERN,doc_119_chunk_11,Liz successfully unleashes a powerful explosion that flattens scores of enemy soldiers.,
18、INT. SALES ROOM - SAME,doc_17_chunk_0,Liz Sherman demonstrates the ability to generate fire on her palm.,
22、INT. SALES ROOM - CONTINUOUS,doc_21_chunk_2,"Liz successfully activates her fire-based power, resulting in a supernova-like explosion.",
69、EXT. STREET -- CONTINUOUS,doc_68_chunk_2,Liz uses fire to destroy a pair of crab-like creatures.,
104、INT. CONFERENCE ROOM - LATER,doc_103_chunk_2,Liz leaves the room after expressing disillusionment with Johann and the team.,"Scene following a discussion about Red's fate, where Liz confronts Johann and Manning's decision."
124、EXT. COASTLINE - DAY,doc_123_chunk_2,Liz Sherman reveals that she is pregnant with Hellboy's child.,A yard; during a conversation with Hellboy before the credits roll.
38、INT. HELLBOY'S ROOM - DAY,doc_37_chunk_2,Manning states that Liz was the only one who handled herself with dignity during the incident.,Scene where Manning turns off the TVs and comments on the public reaction.
74、EXT. CONSTRUCTION SITE - SAME,doc_73_chunk_8,Liz Sherman successfully burns the roots trailing into the river using a bolt of white-hot energy from her hands.,
114、EXT. INLET - DAY,doc_113_chunk_3,Liz Sherman intervenes to prevent the Goblin from touching Hellboy's wound.,
114、EXT. INLET - DAY,doc_113_chunk_3,Liz Sherman positions herself at Hellboy's side to protect him from the Goblin.,
74、EXT. CONSTRUCTION SITE - SAME,doc_73_chunk_11,Liz is present at the riverbank when Abe emerges from the river.,
74、EXT. CONSTRUCTION SITE - SAME,doc_73_chunk_11,Liz participates in a group embrace with Abe and Johann.,
69、EXT. STREET -- CONTINUOUS,doc_68_chunk_9,Liz identifies the act of knocking on wood as a method to summon an elemental.,
69、EXT. STREET -- CONTINUOUS,doc_68_chunk_9,Liz warns the crowd that an elemental is being released from the tree.,
69、EXT. STREET -- CONTINUOUS,doc_68_chunk_9,Liz recognizes the tree as the dwelling place of a forest spirit.,
117、EXT. HUT - DAY,doc_116_chunk_0,Liz is in a state of happiness.,"Outside ANGEL OF DEATH's hut, after recovering from prior events."
117、EXT. HUT - DAY,doc_116_chunk_0,Liz accepts Hellboy's hand gesture as a sign of reconciliation.,"Outside ANGEL OF DEATH's hut, during a conversation with Hellboy."
117、EXT. HUT - DAY,doc_116_chunk_0,Liz acknowledges that she is no longer mad at Hellboy.,"Outside ANGEL OF DEATH's hut, during a conversation with Hellboy."
117、EXT. HUT - DAY,doc_116_chunk_0,Liz affirms the exclusivity and personal value of her relationship with Hellboy.,"Outside ANGEL OF DEATH's hut, during a conversation with Hellboy."
