doc_title,chunk_id,text,scene_context
27、INT. SLATE'S OFFICE - DAY,doc_26_chunk_3,,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_6,Where on earth did you get it?,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_0,"I'm over here, you moron -- and don't call me 'Uncle'!",
26、EXT. QUARRY - DAY,doc_25_chunk_12,"Men, this is a proud day for Slate","Quarry yard, Mr. Slate addresses workers from his office balcony."
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_4,Who are you?,"Scene: In an office or workplace setting, Mr. Slate questions Barney during an incident involving Fred and Piltdown."
51、INT. SLATE NEEDLE - NIGHT,doc_50_chunk_0,What the devil's going on here?,
14、INT. SLATE'S OFFICE - SAME TIME,doc_13_chunk_0,Bankrupt? Are you crazy?,"Scene: In a room with a model, Mr. Slate speaks to Lava about financial issues related to a housing development."
14、INT. SLATE'S OFFICE - SAME TIME,doc_13_chunk_2,What's that?,"Scene: Inside a building, Mr. Slate reacts to a loud commotion outside and asks about it; others are present, including Lava."
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_8,"Eighths, right.",
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_8,"Flintstone, what do you call this stuff?",
53、EXT. FIBRESPHERE - LONG SHOT,doc_52_chunk_18,"Honey, you're being hysterical, go lie down, okay?",
36、INT. SLATE'S OFFICE - DAY,doc_35_chunk_2,It's a gift...,"Scene: Slate is speaking to Lava while signing documents, shortly after being complimented on his ideas."
36、INT. SLATE'S OFFICE - DAY,doc_35_chunk_1,"Sky's the limit... sky's the limit... why, these two buildings, they... they practically scrape the sky! We should call them... Slate scrapers!",
51、INT. SLATE NEEDLE - NIGHT,doc_50_chunk_3,"Of course it is! Why, without
the coo-coo berry sap, Fibrerock",
27、INT. SLATE'S OFFICE - DAY,doc_26_chunk_1,Flintstone!,"Scene: Slate is startled while playing golf indoors, hits the ball after being interrupted by Fred, who barges in. The ball shatters a picture of Mrs. Slate. Slate speaks to Fred angrily."
26、EXT. QUARRY - DAY,doc_25_chunk_13,No longer will man and beast bend under the backbreaking load of stone and rock and timber... because Fibrerock is so light that even a child can handle it. (pause) That's why on Monday we're going,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_11,"Boys, this is a small step for Slate Construction... a giant step for all mankind.",
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_11,The Stone Age is over! Let the Fibre Age begin!,
53、EXT. FIBRESPHERE - LONG SHOT,doc_52_chunk_20,"Your only obligation will be to cover oh, whatever legal expenses might surface at some later time...",
12、INT. OFFICE - PULLBACK FROM WINDOW,doc_11_chunk_1,"how'd you like my fist to intersect with your nose? I've told you a hundred times, don't call me uncle in the office! Now, I didn't arrange your scholarship to Harvrock University so you could waste my time! So stop beating around the bushasaurus and get to the bottom slime!",
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_10,"You see this, Lava? All those courses of yours at Harvrock University, and who saves my bacon? Two simple-minded run-of-the-mill nobodies.","Scene: In a room with a table, Mr. Slate speaks to Lava while Fred and Barney are present, discussing who saved his business."
51、INT. SLATE NEEDLE - NIGHT,doc_50_chunk_5,"I'll tell you what's superfluous, Lava... your liver! So why don't we remove it -- !","Scene: During an argument with Lava, amidst a chaotic environment with falling debris; Fred and Barney intervene to separate them."
27、INT. SLATE'S OFFICE - DAY,doc_26_chunk_2,"Of course I can, Fred. I can lay them off like -- (snapping fingers) -- that, or like -- (a different style snap) -- that, or like -- -- that.","Scene: Office or meeting room, Mr. Slate responds to Fred's concern about laying off employees, demonstrating different ways of snapping his fingers while balancing a putter."
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_3,For five years Slate Construction has had the finest safety record in Bedrock.,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_3,I want to know how!,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_3,Shut up!,
17、INT. SLATE'S OFFICE - DAY,doc_16_chunk_3,I want one person to answer me:,
