doc_title,chunk_id,fact,scene_context
"23、INT. TENT - MED. SHOT - WILLARD, AGENT",doc_22_chunk_12,Willard decides to assign Chef to take the first drum to Hau Fat with Lance and Clean.,
"21、INT. COMMAND COPTER - KILGORE, WILLARD, LANCE, ETC.",doc_20_chunk_53,Willard's gun clip is empty.,Elephant grass during the tiger encounter
"23、INT. TENT - MED. SHOT - WILLARD, AGENT",doc_22_chunk_1,Willard refuses to disclose his destination.,In a group conversation with the agent and the girls
30、EXT. THE TRIBUTARY - P.B.R. - RAIN,doc_29_chunk_27,Willard permits his men to follow Philippe.,"Plantation: Gaston points to guest house, Willard permits men to follow Philippe."
30、EXT. THE TRIBUTARY - P.B.R. - RAIN,doc_29_chunk_14,Willard is the Chief.,"The P.B.R. at twilight, approaching a dock on an overgrown plantation building."
30、EXT. THE TRIBUTARY - P.B.R. - RAIN,doc_29_chunk_18,WILLARD gives a command that is obeyed by the crew.,Dock: Willard's command to stand away from the mounts is carried out.
52、EXT. OF THE TEMPLE AT NU MUNG BA - NIGHT,doc_51_chunk_3,WILLARD is present in the command bunker during the attack.,Command bunker during an attack
55、EXT. RIVER - MED. VIEW,doc_54_chunk_0,Willard promises to take Kurtz back.,"Riverboat, Kurtz's death"
45、EXT. THE RIVER - P.B.R. DAY,doc_44_chunk_30,Willard remains silent during Kurtz's pitch.,
64、EXT. HELICOPTER - DUSK,doc_63_chunk_19,WILLARD is instructed to terminate Colonel Kurtz's command with extreme prejudice.,
"83、INT. TENT - MED. SHOT - WILLARD, AGENT",doc_82_chunk_9,WILLARD promises to have his men bring the first drum.,Tent
36、EXT. THE TERRACE - MED. VIEW - WILLARD - NIGHT,doc_35_chunk_0,WILLARD is checking the boat.,"Terrace, Willard checking the boat"
87、EXT. THE P.B.R. APPROACHING DO LUNG BRIDGE - FULL SHOT -,doc_86_chunk_3,The character is addressed as 'Captain Willard' by a Lieutenant.,"Boat, Lieutenant addresses character as Captain Willard"
"42、EXT. P.B.R. - MED. SHOT - WILLARD, CHIEF",doc_41_chunk_11,Willard and the Chief move past the smoking mound.,"At the smoking mound, after Willard motions."
51、INT. HEADQUARTERS - NIGHT,doc_50_chunk_2,Willard explicitly refuses the bombing plan.,Headquarters
Int. Who's your commanding,doc_5_chunk_0,Willard verifies the document by signing it.,During a verification discussion with Sergeant.
90、EXT. THE TRIBUTARY - P.B.R. - RAIN,doc_89_chunk_18,WILLARD ordered the crew to carry out the Chef's instruction regarding the guns.,"Dock, during the handling of the guns."
87、EXT. THE P.B.R. APPROACHING DO LUNG BRIDGE - FULL SHOT -,doc_86_chunk_19,Willard is in possession of belts of ammunition and extra M-16s.,on the beach
64、EXT. HELICOPTER - DUSK,doc_63_chunk_0,Willard is among the armed men who jump from the Huey.,Huey landing at a heavily fortified compound outside Nha Trang
