doc_title,chunk_id,description,scene_context
109、EXT. PARK - DAY,doc_108_chunk_1,Walter watches.,
103、INT. BUS - DAY,doc_102_chunk_0,Walter gets off.,The bus pulls to a stop.
109、EXT. PARK - DAY,doc_108_chunk_9,Walter struggles to find the words.,
109、EXT. PARK - DAY,doc_108_chunk_3,Walter hesitates then shrugs.,
110、EXT. WALTER'S APARTMENT - NIGHT,doc_109_chunk_2,flashes of young Walter appear,
109、EXT. PARK - DAY,doc_108_chunk_7,Walter looks at her but makes no effort to comfort her.,
104、EXT. PARK - DAY,doc_103_chunk_0,Walter walks down park path.,"Park path, quiet with a jogger running by."
11、INT. POLICE DEPARTMENT,doc_10_chunk_0,"Walter is captured in a photograph, standing against a baby-blue background.",
118、EXT. CITY STREET - NIGHT,doc_117_chunk_0,Walter crosses an old brick bridge that spans a river.,EXT. BRIDGE - Walter is moving across a bridge over a river.
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_3,Walter folds a shirt.,"Scene involving Lucas questioning Walter, with boxes present in the setting."
109、EXT. PARK - DAY,doc_108_chunk_6,He stands up.,
109、EXT. PARK - DAY,doc_108_chunk_6,"Carefully, he sits down and stares at his hands.",
109、EXT. PARK - DAY,doc_108_chunk_5,Walter looks at her.,
109、EXT. PARK - DAY,doc_108_chunk_5,Walter slides closer and rubs her arms with his hands.,
114、INT. WALTER'S BEDROOM - NIGHT,doc_113_chunk_0,"Walter stands at the bureau, cleaned up and dressed in fresh clothes.",
114、INT. WALTER'S BEDROOM - NIGHT,doc_113_chunk_0,He looks up and stares at himself in the mirror.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_2,Walter starts folding his clothes and placing them in the duffle bag.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_2,Walter is silent.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_5,Walter pauses in his folding.,
13、EXT. WAREHOUSE - DUSK,doc_12_chunk_0,Walter stands at a bus stop across the street.,
119、EXT. VICKI'S APARTMENT - NIGHT,doc_118_chunk_0,Walter stands outside Vicki's door.,"Outside Vicki's door, prior to knocking."
119、EXT. VICKI'S APARTMENT - NIGHT,doc_118_chunk_0,After a moment he knocks.,"Outside Vicki's door, before the door opens."
109、EXT. PARK - DAY,doc_108_chunk_11,Walter is silent.,
109、EXT. PARK - DAY,doc_108_chunk_11,Walter starts to put his arms around her but refrains.,
109、EXT. PARK - DAY,doc_108_chunk_11,"Walter looks out, numb.",
109、EXT. PARK - DAY,doc_108_chunk_0,Walter continues staring at the trees.,"Clearing with a bench, the girl has just entered and seen Walter."
109、EXT. PARK - DAY,doc_108_chunk_0,Walter watches her.,"Clearing with a bench, the girl has sat down and started writing in her book."
113、INT. WALTER'S BATHROOM - NIGHT,doc_112_chunk_0,Walter stands in the shower.,
113、INT. WALTER'S BATHROOM - NIGHT,doc_112_chunk_0,He turns the water on and lets it run over him.,
113、INT. WALTER'S BATHROOM - NIGHT,doc_112_chunk_0,"Slowly, he begins to sob.",
12、INT. WALTER'S APARTMENT - DAY,doc_11_chunk_0,Walter lifts the blinds.,
12、INT. WALTER'S APARTMENT - DAY,doc_11_chunk_0,Walter stands under the shower.,
12、INT. WALTER'S APARTMENT - DAY,doc_11_chunk_0,"Walter, hair wet and clean shaven, tosses back some pills.",
"I/E. VICKI'S CAR, RESERVOIR - DAY",doc_124_chunk_1,Walter's head drops.,
"I/E. VICKI'S CAR, RESERVOIR - DAY",doc_124_chunk_1,Walter stays standing near the water.,
111、INT. WALTER'S APARTMENT - NIGHT,doc_110_chunk_0,Walter stands in the living room.,
111、INT. WALTER'S APARTMENT - NIGHT,doc_110_chunk_0,He looks down at the floor where the journal was and sees that nothing is there.,
111、INT. WALTER'S APARTMENT - NIGHT,doc_110_chunk_0,He goes to his windows and lowers the blinds.,
15、INT. BUS - DAY,doc_14_chunk_0,Walter watches out the window as farmland gives way to city.,
115、EXT. CITY STREETS - NIGHT,doc_114_chunk_0,Walter walks down a city street with boarded up store fronts.,Scene: Walter walking on a city street during a drizzle.
115、EXT. CITY STREETS - NIGHT,doc_114_chunk_0,Walter looks at the blood on his hands then at Candy moaning on the ground.,"Flashback A: Outside a school, after a violent incident."
120、EXT./INT. VICKI'S APARTMENT - NIGHT,doc_119_chunk_0,"Walter sit on the coffee table, facing her.",
120、EXT./INT. VICKI'S APARTMENT - NIGHT,doc_119_chunk_0,He starts to talk and takes her hand.,
