doc_title,chunk_id,fact,scene_context
170、EXT. SPACE,doc_169_chunk_2,Saavik participates in the funeral ritual for the departed individual.,Scene involving the group conducting a space burial ritual.
165、INT. ENTERPRISE BRIDGE,doc_164_chunk_0,Saavik is given command of the bridge by Kirk.,"Bridge of the ship, during the observation of Genesis evolving."
163、INT. ENTERPRISE BRIDGE,doc_162_chunk_0,Saavik increases power on the ship's systems when instructed by Kirk.,"Reliant bridge, during critical system restoration."
153、INT. ENTERPRISE BRIDGE,doc_152_chunk_1,Saavik acknowledges Kirk's order to achieve best speed.,"Bridge of the ship during emergency alert, following Kirk's command to escape before detonation."
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_0,Saavik is a lieutenant.,
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_0,Saavik is half Vulcan and half Romulan.,
2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_1_chunk_0,Saavik issues an order to the transporter room to prepare for beaming survivors aboard.,Enterprise approaches the stricken vessel; Klingon cruisers are detected nearby.
177、INT. ENTERPRISE BRIDGE,doc_176_chunk_0,Saavik is a lieutenant.,
177、INT. ENTERPRISE BRIDGE,doc_176_chunk_0,Saavik is half Vulcan and half Romulan.,
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_0,Saavik issues an order to the transporter room to prepare for beaming survivors aboard.,Scene: Enterprise approaches the stricken vessel; Saavik commands readiness for rescue operation.
103、INT. GENESIS CAVE - WIDER ANGLE,doc_102_chunk_1,Saavik receives an explanation from Kirk about how he beat the no-win scenario by reprogramming the simulation.,
103、INT. GENESIS CAVE - WIDER ANGLE,doc_102_chunk_1,Saavik expresses a desire to know what Kirk did during the test.,
221、INT. ENTERPRISE BRIDGE,doc_220_chunk_1,Saavik is assigned command authority by Captain Kirk.,"Kirk's quarters, during a discussion about Genesis, before heading to the Turbo Lifts."
261、INT. SPACE STATION - TIGHT GROUP,doc_260_chunk_2,Saavik confirms that all the memory cells have been emptied.,
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_8,Saavik explicitly states that she does not believe the test was a fair assessment of her command capabilities.,
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_8,"Saavik acknowledges, in response to Kirk's questioning, that the possibility of a no-win situation had not previously occurred to her.",
176、EXT. SPACE FINALE (BOARDED),doc_175_chunk_1,Saavik is assigned to the Starship Enterprise during a training mission to Gamma Hydra.,Opening scene: Captain's log entry indicating the Enterprise's training mission.
176、EXT. SPACE FINALE (BOARDED),doc_175_chunk_1,Saavik is responsible for recording the captain's log for the Enterprise.,Opening scene: Saavik's voice narrates the captain's log entry.
177、INT. ENTERPRISE BRIDGE,doc_176_chunk_3,Saavik assumes command and issues orders regarding the Kobayashi Maru scenario.,Simulation scene: Saavik commands the bridge crew during the tactical exercise.
177、INT. ENTERPRISE BRIDGE,doc_176_chunk_3,Saavik acknowledges responsibility for decisions made during the simulation.,Simulation scene: Saavik responds to Sulu's reminder by affirming awareness of her responsibilities.
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_1,Saavik receives a high efficiency rating.,
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_1,Saavik explicitly expresses gratitude for the high efficiency rating.,
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_1,Saavik acknowledges failing to resolve the Kobayashi Maru situation.,
329、INT. ENTERPRISE BRIDGE,doc_328_chunk_1,Saavik acknowledges Kirk's order to achieve best speed.,
268、INT. RELIANT BRIDGE,doc_267_chunk_1,Saavik physically restrains David from approaching the Genesis torpedo.,"Rocky Cavern: During Khan's transporter beam activation, as the Genesis device is being taken."
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_0,Saavik enters the turbo lift after requesting Kirk to hold the door.,
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_0,Saavik confirms to Kirk that her hair is regulation-compliant.,
214、INT. ENTERPRISE CORRIDOR,doc_213_chunk_0,Saavik stops the turbo lift by pressing a button.,
2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_1_chunk_5,Saavik issues a formal order to activate escape pods and abandon ship.,Scene: Smoke-filled room following ship failure; Saavik assumes command authority in crisis.
2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_1_chunk_5,Saavik transmits a command to send out the Log Buoy.,Scene: Smoke-filled room following ship failure; Saavik ensures data preservation during evacuation.
"201、INT. BRIDGE, ENTERPRISE",doc_200_chunk_0,Saavik reports that all moorings are clear to the Captain.,
