scene,question,answer,evidence,qa_type
60、INT. KITCHEN - MORNING,Why are Japanese relief workers staging a desperate effort?,To rescue hundreds of people stranded by a tidal wave.,Japanese relief workers are staging a desperate effort to rescue hundreds of people stranded by a freak tidal wave.,causal/relational queries
17、INT. SMALL WONDER DAY CARE - SAME TIME,"In [17、INT. SMALL WONDER DAY CARE - SAME TIME], What is Grace's emotional state?",Concerned,She's concerned.,character states
12、INT. HALLWAY - MOMENTS LATER,"In [12、INT. HALLWAY - MOMENTS LATER], What is Bruce's emotional state when snubbed by Susan?",Bruce feels embarrassed.,Bruce blanches at this obvious snubbing.,character states
18、INT. STUDIO CONTROL ROOM - CONTINUOUS,"In [18、INT. STUDIO CONTROL ROOM - CONTINUOUS], What is Bruce's physical condition?",Frozen solid,"CONSOLE OPERATOR
Frozen solid.",character states
7、EXT. SMALL WONDERS DAY CARE - MORNING,What causes Bruce's reluctance to donate blood?,His belief that blood is stockpiled in warehouses,They stockpile that stuff. They have an endless supply frozen in a warehouse somewhere then tell everyone there's a shortage.,causal/relational queries
39、INT. BATHROOM,What is written on the note stuck in the bathroom mirror?,I LOVE YOU. WE NEED TO TALK. Grace,A note is stuck in the bathroom mirror... The note simply says: 'I LOVE YOU. WE NEED TO TALK. Grace',detailed description
28、EXT. NIAGARA FALLS - CONTINUOUS,What does Bruce suggest might be the reason he didn't get the anchor job?,"His hair, teeth, or the erosion of his life's bedrock","BRUCE: Do you think it's my hair? Maybe my teeth aren't white enough? Or like the great falls, is the bedrock of my life slowly eroding...",dialogue/beliefs
27、INT. SMALL .WONDERS DAY CARE - CONTINUOUS,What does Grace say about the situation?,This isn't happening. This isn't happening...,GRACE This isn't happening. This isn't happening...,dialogue/beliefs
32、INT. STUDIO CONTROL ROOM - .CONTINUOUS,What action does Susan Ortega perform in the scene?,Stares frozen blankly into camera,Susan Ortega stares frozen blankly into camera.,detailed description
16、EXT. NIAGARA FALLS - CONTINUOUS,"In [16、EXT. NIAGARA FALLS - CONTINUOUS], What is Bruce's emotional state?",Numb,"He stares into camera, numb.",character states
10、INT. NEWSROOM - DAY,"In [10、INT. NEWSROOM - DAY], What emotional state does Bruce display when tasting the quiche?",Exasperated,Bruce feigns liking it with exasperation.,character states
15、EXT. NIAGARA FALLS - MAID OF THE MIST BOAT - DAY,"In [15、EXT. NIAGARA FALLS - MAID OF THE MIST BOAT - DAY], What is Bruce's emotional state when he learns about Evan Baxter?",Shocked and pale,His FACE GOES WHITE. He stands in shock.,character states
7、EXT. SMALL WONDERS DAY CARE - MORNING,Why does Grace place prayer beads on the mirror?,"To keep Bruce safe, as the kids made them",Prayer beads. The kids made 'em. Keep you safe.,causal/relational queries
47、EXT. CITY STREETS,What does Bruce's car do when it peels out?,"Peels out, races through traffic, dodging and passing cars right and left.","PEELS OUT, races through traffic, dodging and passing cars right and left.",detailed description
47、EXT. CITY STREETS,What actions do the pit crew members perform on Bruce's car?,"Jacks up the car, slaps on HUGE MAG TIRES, gases him up.","jacks up his car, slaps on HUGE MAG TIRES, gases him up, etc.",detailed description
4、INT. BEDROOM - MORNING,What belief does Bruce express about anchor sign-offs?,Every great anchor needs a signature sign-off.,Everything great anchor has his own signature sign-off.,dialogue/beliefs
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,"In [1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY], What is Bruce Nolan's emotional state after wearing the hair net?",Disgruntled,"Bruce spreads the hair net, bends down out of frame, comes up looking ridiculous and very disgruntled.",character states
3、INT. BRUCE AND GRACE'S APARTMENT - MORNING,When does Bruce throw a mock hissy fit?,After the covers are ripped out of frame,The covers are RIPPED OUT OF FRAME. Bruce throws a mock hissy fit.,temporal references
14、EXT. NIAGARA FALLS - DAY,"In [14、EXT. NIAGARA FALLS - DAY], What is Grace's emotional state when she warns Bruce?",Cautious,I just want to make sure we're not getting too ahead of ourselves,character states
52、EXT. ALLEY,What does 'PILE ON THE RABBIT' refer to?,The action where multiple Bruce's attack the gang,PILE ON THE RABBIT T HE B RUGES CONV ERGE ON TH E GA NG,terminology/abbreviation/concept
