doc_title,chunk_id,description,scene_context
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_6,checks watch,
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_4,"Israel wrist-flicks a playing card, it embeds a sofa cushion like a ninja throwing star, right next to a beige coat.",
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_8,"(beat, cooling down)",
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_3,"Israel, the patience of a gorilla, crammed into a canary cage.",
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_2,"Israel fidgets, twitches, rubs coke residue from his nose and over his gumline","In a room with a fridge, during a conversation with Hugo"
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_9,Israel prods him.,
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_1,"Israel, walks toward Hugo.",Party setting with hookers
34、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_33_chunk_0,"Israel sweats like a stuck pig, pained, clutching his chest.",
31、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_30_chunk_0,Israel throws the lock.,Phone call with Dr. Gill
31、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_30_chunk_0,Israel checks the wall clock.,Phone call with Dr. Gill
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_11,"Cards dance, Israel's hands moves at lightspeed, he reaches into Hugo's shirt front and pulls a playing card out...Joker.",Card game confrontation
122、INT. CEDARS SINAI -- I.C.U. -- RECOVERY ROOM -- DAY,doc_121_chunk_1,"Israel and Sparazza glare at one another across the room with pure, unadulterated hated for the other.","The Diner, during the paternity suit discussion"
122、INT. CEDARS SINAI -- I.C.U. -- RECOVERY ROOM -- DAY,doc_121_chunk_18,the faintest of smiles,"Messner aims at oxygen tent with Sparazza inside, explosion occurs"
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_5,"Israel, phone to his ear, retires to the bedroom for privacy.",
11、INT. BRIEFING ROOM -- CONTINUOUS,doc_10_chunk_5,"Israel sits with a group of FBI agents, discusses a deal.","Room with FBI agents, discussing a deal"
11、INT. BRIEFING ROOM -- CONTINUOUS,doc_10_chunk_5,Israel is walked out of the room,"Room, as Israel is escorted out"
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_5,"reshuffles, stares",
26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_25_chunk_5,"beat, then",
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_2,to Hugo,
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_2,points to hookers,
109、INT. PENTHOUSE APARTMENT -- SAME,doc_108_chunk_0,"Israel, propped up, sweating badly, seizures still hobbling his heart.",in the room
35、INT. PENTHOUSE SUITE -- CONTINUOUS,doc_34_chunk_2,"he catches his reflection in a living room mirror, a profound sense of sadness there.","Living room, reflection and sadness"
105、INT. PENTHOUSE APARTMENT -- SAME,doc_104_chunk_1,Israel averts his eyes,
105、INT. PENTHOUSE APARTMENT -- SAME,doc_104_chunk_1,"He looks over and sees his lamb-skin coat, lying there, soaking in Beanie's blood, ruined beyond recognition.",
105、INT. PENTHOUSE APARTMENT -- SAME,doc_104_chunk_1,A tear escapes his eye.,
59、INT. BEDROOM -- SAME,doc_58_chunk_4,"a card slipping from his sleeve, into his throwing hand...Ace Of Spades. He keeps it cupped.",
59、INT. BEDROOM -- SAME,doc_58_chunk_0,Israel looks from the ringing phone-- to the gun in his bag--,
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_2,"Israel almost chokes on his own smile, nodding.",
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_2,Israel starts zipping up some of his bags.,
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_2,Israel averts his eyes.,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_0,"Israel lies on the floor behind the bed, breathless, chest heaving, frantically trying to pull the small automatic pistol out of his overnight bag.","Inside a room, behind the bed, during a confrontation"
42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,doc_41_chunk_2,"(beat, considers, looks over at Hugo)",
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_0,"Israel, furious, screaming at an immense black man standing in front of him","Confrontation with Sir Ivy, second-in-command"
30、INT. PENTHOUSE SUITE -- DAY,doc_29_chunk_0,Israel gets up in Ivy's grill,"Confrontation with Sir Ivy, second-in-command"
32、INT. PRIVATE PRACTICE -- DAY,doc_31_chunk_0,"Israel, grave.","Hallway, discussion about cocaine use"
32、INT. PRIVATE PRACTICE -- DAY,doc_31_chunk_0,Guilt in his silence.,"Hallway, discussion about cocaine use"
70、INT. MASTER BEDROOM -- SAME,doc_69_chunk_1,nodding to phone,
70、INT. MASTER BEDROOM -- SAME,doc_69_chunk_1,"readies the playing card behind his back, slips it between his index and middle finger",
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_5,"beat, clutching chest",
35、INT. PENTHOUSE SUITE -- CONTINUOUS,doc_34_chunk_1,"Israel, who has walked back out, looks on with total disdain for what he's seeing...",Amidst a slugfest free-for-all
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_1,turning back to Ivy,
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_1,"stiffens, board-straight, the guilt goosing him",
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_4,"Israel, unnerved now-- spots a small handgun sticking out of his bag.",
53、INT. PENTHOUSE SUITE -- MASTER BEDROOM -- DAY,doc_52_chunk_4,"He covers it with the bedspread, looking up at Ivy.",
41、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_40_chunk_0,lying on a baby-grand piano,"Israel's bedroom, piano with sawed-off legs"
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_2,looking up at Ivy,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_2,starting to see his sweetheart deal with the Feds go up in smoke,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_2,immediately mobilizes,
59、INT. BEDROOM -- SAME,doc_58_chunk_2,"Israel looks over at the ringing phone, then back at Ivy.",
59、INT. BEDROOM -- SAME,doc_58_chunk_2,"He slowly withdraws the deck of cards from his robe pocket, begins shuffling at lightspeed, firing them across his body, left to right, right to left.",
70、INT. MASTER BEDROOM -- SAME,doc_69_chunk_3,"Israel steps hard, slinging the Ace sidearm, sailing it toward Ivy, surgical strike, right eye, blood bursting at his browline","Interior setting, Israel throws Ace sidearm at Ivy"
70、INT. MASTER BEDROOM -- SAME,doc_69_chunk_3,Israel goes to the ground,"Interior setting, Israel falls to the ground as Ivy fires"
81、INT. PENTHOUSE SUITE -- SAME,doc_80_chunk_0,"sitting down on a couch, setting the small handgun down on the table next to him",
81、INT. PENTHOUSE SUITE -- SAME,doc_80_chunk_0,"He digs at his chest now, in considerable pain, rotating his arm around, trying to rouse it.",
81、INT. PENTHOUSE SUITE -- SAME,doc_80_chunk_0,"Israel gazes at Beanie's body, trying to figure out an appropriate course of action.",
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_1,"Israel peers out, sees the same thing.","At the doorway, after Beanie is shot, Israel peers out to see the body."
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_3,"Israel turns back, sees this demented version of Vitoli aiming at gun right in his face.",
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_3,"Israel's breathing suddenly cinches up tight, his pulse triple-timing.",
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_3,He turns back to Gill.,
81、INT. PENTHOUSE SUITE -- SAME,doc_80_chunk_1,"He takes out his cellphone, dialing Morris Mecklen.",During a conversation with Vitoli
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_1,"Israel is completely unaware as he clutches his chest, breath coming in great laborious gulps.",Gun pointed at Israel's skull
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_0,"Israel on the phone, consumed by chest spasms.",
89、INT. PENTHOUSE APARTMENT -- SAME,doc_88_chunk_0,"He throws back the tablecloth covering his service tray, takes an igloo cooler off ice inside, pulls surgical tools from it-- scalpel, forceps rib-spreader, etc., He arranges them pre-op style.",
100、INT. PENTHOUSE -- SAME,doc_99_chunk_0,"Israel, on the ground, dying.","Hugo crawling across floor to reach Israel, who is dying on the ground."
34、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_33_chunk_4,"He walks over to the bureau, cut lines of coke await him.",
34、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_33_chunk_4,"He bends, inserts a rolled hundred into his nostril.",
34、INT. PENTHOUSE BEDROOM -- CONTINUOUS,doc_33_chunk_4,He snorts.,
11、INT. BRIEFING ROOM -- CONTINUOUS,doc_10_chunk_2,Israel played the situation very shrewd.,Casino grand opening
11、INT. BRIEFING ROOM -- CONTINUOUS,doc_10_chunk_2,"Buddy Israel posing with mob power brokers, playmakers...smiling all the way to the top.",Casino grand opening
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_4,a grimace...,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_4,nods,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_4,"does a bump of coke, right out in the open",
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_3,pointing to Ivy,
72、INT. MASTER BEDROOM -- SAME,doc_71_chunk_3,off Mustache's look,
41、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,doc_40_chunk_1,"I said, about as loud as I could say it",
