doc_title,chunk_id,description,scene_context
104、INT. MANSION . *,doc_103_chunk_2,Bruce is surprised.,
103、EXT. UPSCALE HOME - DAY *,doc_102_chunk_0,Bruce leads Grace through the gates.,
101、EXT. SMALL WONDERS DAY CARE - DAY,doc_100_chunk_1,Bruce pulls out. They drive off.,
"102、EXT., UPSCALE HOME - DAY",doc_101_chunk_0,Bruce leads her out of the car.,
104、INT. MANSION . *,doc_103_chunk_7,ON BRUCE - BUMMED,
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_7,"Bruce doesn't join in, but doesn't fight it either.",
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,doc_0_chunk_5,"Bruce steps forward, looks dramatically at camera, slow zoom in as he speaks.",
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_6,"Bruce turns, sees SUSAN ORTEGA, completely stunning in a sexy dress.",
11、INT. STAFF MEETING ROOM - DAY,doc_10_chunk_5,This hits Bruce hard. A beat of silence.,
109、EXT. DEBBIE'S HOUSE,doc_108_chunk_0,"Bruce hides behind a hedge, watches Grace jog past.",
11、INT. STAFF MEETING ROOM - DAY,doc_10_chunk_6,"Bruce slides down into his chair, deflated.",
11、INT. STAFF MEETING ROOM - DAY,doc_10_chunk_0,"Bruce looks at the sign quizzically for a beat, then continues on.",
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,doc_0_chunk_4,Bruce steps up to the HUGE COOKIE.,"Scene involving the unveiling of a large cookie, with the Kowolski brothers celebrating in the background."
104、INT. MANSION . *,doc_103_chunk_1,Bruce pulls Grace up the stairs.,
104、INT. MANSION . *,doc_103_chunk_1,Bruce grabs a hold of Grace.,
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_3,Bruce (confident) Just take it around.,
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_3,"Bruce takes center stage, quiets the crowd.",
106、EXT. UPSCALE HOME - NIGHT,doc_105_chunk_3,Bruce is left alone in the middle of the street.,
106、EXT. UPSCALE HOME - NIGHT,doc_105_chunk_3,Bruce yells: I have EVERYTHING!,
107、INT. UPSCALE HOME - MOMENTS LATER,doc_106_chunk_1,He finally plops back and God is sitting next to him.,
107、INT. UPSCALE HOME - MOMENTS LATER,doc_106_chunk_1,"Bruce mulls this over,- then...",
104、INT. MANSION . *,doc_103_chunk_0,Bruce turns to Grace coyly.,
104、INT. MANSION . *,doc_103_chunk_0,"Bruce beams as he says, ""This is our new home. Come on...""",
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,doc_0_chunk_2,"Bruce spreads the hair net, bends down out of frame, comes up looking ridiculous and very disgruntled.",
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,doc_0_chunk_2,Bruce SNAPS from pissed to instant charismatic TV newsman.,
1、INT. KOWOLSKI'S BAKERY - KITCHEN - DAY,doc_0_chunk_0,"BRUCE NOLAN looks into a make-up mirror, desperately trying to place a large segment of wayward hair.","Scene: At a bakery during a news shoot for the Kowolski Brothers' 30-year anniversary, centered around a gigantic cookie."
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_9,Bruce turns and sees Grace.,
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_9,"Bruce says: Grace, I...",
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_9,"Bruce says: Grace, wait.",
115、INT. EYEWITNESS NEWS STATION - TV STUDIO,doc_114_chunk_3,"Bruce sits in the anchor desk, breathes in the reality.",
118、EXT. DOWNTOWN - NIGHT,doc_117_chunk_1,"Bruce stumbles through the mayhem, confused.",
115、INT. EYEWITNESS NEWS STATION - TV STUDIO,doc_114_chunk_5,Bruce is noticeably bothered.,Studio during a live broadcast interruption.
112、EXT. SMALL WONDERS DAY CARE - LATER,doc_111_chunk_1,Bruce leaps at the opportunity.,
112、EXT. SMALL WONDERS DAY CARE - LATER,doc_111_chunk_1,Bruce pauses (beat) after Grace's question.,
11、INT. STAFF MEETING ROOM - DAY,doc_10_chunk_4,Bruce bursts into the room.,"Scene involving a meeting with Jack and Evan, where Bruce arrives late."
11、INT. STAFF MEETING ROOM - DAY,doc_10_chunk_4,The meeting stops.,"Scene involving a meeting with Jack and Evan, where Bruce arrives late."
113、EXT. SMALL WONDER'S PARKING LOT - MOMENTS LATER,doc_112_chunk_0,Bruce heads for his car as he sees a two guys in PRISON SUITS (from the prison yard) drive off with it.,
115、INT. EYEWITNESS NEWS STATION - TV STUDIO,doc_114_chunk_2,Bruce hustles in from make-up.,
115、INT. EYEWITNESS NEWS STATION - TV STUDIO,doc_114_chunk_2,An air of forced confidence about him.,
115、INT. EYEWITNESS NEWS STATION - TV STUDIO,doc_114_chunk_4,"Bruce nods, straightens in his chair, prepares for his dream","Scene with Jack, preparing to go live on Eyewitness News."
117、INT. NEWS STATION,doc_116_chunk_0,Bruce covers.,
117、INT. NEWS STATION,doc_116_chunk_0,Bruce turns to see...,
118、EXT. DOWNTOWN - NIGHT,doc_117_chunk_2,"Bruce stands, then quickly DUCKS, as a bottle is tossed through a window that has a lotto sticker on it.",
101、EXT. SMALL WONDERS DAY CARE - DAY,doc_100_chunk_0,"Bruce pulls up, Grace, her BODY BACK TO NORMAL, walks up and hops in, happy.",
101、EXT. SMALL WONDERS DAY CARE - DAY,doc_100_chunk_0,BRUCE (fakes happy) That's great.,
101、EXT. SMALL WONDERS DAY CARE - DAY,doc_100_chunk_0,"BRUCE Oh, I've got something better than lunch.",
106、EXT. UPSCALE HOME - NIGHT,doc_105_chunk_2,Bruce follows,
106、EXT. UPSCALE HOME - NIGHT,doc_105_chunk_2,Bruce turns and heads to the car,
106、EXT. UPSCALE HOME - NIGHT,doc_105_chunk_2,"Grace gets in, slams the door. BRUCE You can't walk out on me! I'm the alpha, lady! I'm the Omega!",
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_1,"Well on his way to plastered, takes a swig, then glances at the beer.","ON BRUCE: At a party, after receiving a beer from Sam."
105、INT. UPSCALE HOME - NIGHT,doc_104_chunk_1,"Bruce maneuvers down the hall dancing, high-fiving, drunkenly accepting the praise coming at him from all sides.","At a party, celebrating his promotion."
