doc_title,chunk_id,description,scene_context
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_7,He bows mock graciously.,
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_5,PARNASSUS smiles and raises his thumb in response.,
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_2,DR. PARNASSUS smiles.,
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_2,DR. PARNASSUS wakes in time to see the balloon.,
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_4,DOCTOR PARNASSUS (descending from his glass plinth),
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_3,Dr. Parnassus speaks complacently.,
18、EXT INSIDE THE PAPERWEIGHT NIGHT,doc_17_chunk_0,DR. PARNASSUS (V.O.) ... I was visited... by someone I had hoped never to meet.,
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_1,DR. PARNASSUS continues to hum in his trance-like state.,"On stage, during an inspection by the Inspector of Fairs."
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_6,DR. PARNASSUS slumps down in despair.,After MR NICK undoes the spell and the monks moan.
12、INT/EXT MAGICAL LANDSCAPE,doc_11_chunk_4,DR. PARNASSUS's face is repeated again and again around its circumference.,"Scene with a strange Mongolfier balloon rising behind DIEGO, with ANTON in the basket."
15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,doc_14_chunk_2,the latter slumps onto the bench,
15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,doc_14_chunk_2,He looks over to where VALENTINA is helping close the theatre,
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_7,"DR. PARNASSUS leaps up, laughing, amazed, revived.",
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_7,DR. PARNASSUS indicates monks,
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_2,DR. PARNASSUS (agitated) Why does everybody want to live forever?,
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_2,DR. PARNASSUS What was I thinking of!,
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_5,DR. PARNASSUS Stop!,
20、INT MONASTERY DINING HALL LATER,doc_19_chunk_5,"DR. PARNASSUS and the MONKS, still struck dumb, look appalled.",
19、INT MONASTERY DINING HALL NIGHT,doc_18_chunk_0,"Dr. Parnassus is sitting on a dais at the far end of the hall, his eyes closed, in a trance, telling a story.",Monastery dining hall: Dr. Parnassus tells a story to monks during supper.
19、INT MONASTERY DINING HALL NIGHT,doc_18_chunk_1,"Dr. Parnassus having captured the wind and tamed the storm ... the Chief Steward, laying down to take his rest, had a disturbing dream...dreamt that a hooded rider was approaching across the snow-swept plain.",
23、EXT. CLIFF TOP EVENING,doc_22_chunk_0,"DR. PARNASSUS breaks free, stumbles backwards, and pitches out into space.","A desolate cliff top, during a struggle with PERCY who is trying to prevent him from jumping."
15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,doc_14_chunk_0,"DR. PARNASSUS, out of his make-up and costume, is smiling and humming to himself as he removes the feed bag from one of the horses.",
15、EXT EDGE OF FAIR / THE WAGON CONTINUOUS,doc_14_chunk_0,DR PARNASSUS recoils in shock and horror.,
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_6,"DR. PARNASSUS Ah, the fuzz.",
13、EXT A HOLIDAY FAIR NIGHT,doc_12_chunk_6,"DR. PARNASSUS (charmingly) Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair, Fuzzy Wuzzy wasn't fuzzy wuzzy?",
