doc_title,chunk_id,description,scene_context
十一 缘了,doc_11_chunk_2,顺着崔鸿至的话音，何云青仿佛看到战败后的凄凉景况。,
十 故梦,doc_10_chunk_6,何云青看到过去的往事重现在眼前，一晃眼又消失了，仿佛做了一场大梦，赶紧放开依云，走到一边。,
三 止泊,doc_3_chunk_5,何云青想了一下,
一 受命,doc_1_chunk_2,何看了看信封,
三 止泊,doc_3_chunk_3,何云青仔细打量这位老太婆,院内
三 止泊,doc_3_chunk_3,何云青恭谦的向王妈行了一礼,院内
三 止泊,doc_3_chunk_2,终于忍不住开口相问,
三 止泊,doc_3_chunk_4,何云青赶紧走过来,屋内，行李放置时
三 止泊,doc_3_chunk_6,斜倚在卧榻上,
三 止泊,doc_3_chunk_6,坐起身子,
三 止泊,doc_3_chunk_6,一怔,
三 止泊,doc_3_chunk_6,随着小青走出门去,
四 惊艳,doc_4_chunk_1,何云青手足无措地起立趋避,
十一 缘了,doc_11_chunk_11,何云青踯躅地走着山路。,山路
十一 缘了,doc_11_chunk_11,何云青踽踽的脚步消失在路的远处——一个云深不知的地方。,山路
三 止泊,doc_3_chunk_7,禁不住轻轻地抖颤着,山间小径，黄昏
二 远涉,doc_2_chunk_2,迎上前去,山路
二 远涉,doc_2_chunk_2,再追上,山路
二 远涉,doc_2_chunk_2,情急地大声叫唤,山路
二 远涉,doc_2_chunk_2,大叫挣扎着，惊得脸色都白了,山路
十一 缘了,doc_11_chunk_1,何云青不敢游目四顾，只是没命地前奔，一口气奔到「飘岩斋」，看到依云在斋前等他。,飘岩斋
十一 缘了,doc_11_chunk_1,他气喘嘘嘘地一句话也说不出来。,飘岩斋内厅
十一 缘了,doc_11_chunk_1,何云青大惊。,飘岩斋门前
三 止泊,doc_3_chunk_8,抑不住大声惊叫,林中
三 止泊,doc_3_chunk_8,顿感一阵肉麻，支支唔唔叫了一声,平房内
十一 缘了,doc_11_chunk_7,拿起手中的念珠犹疑不决,室内混乱
十一 缘了,doc_11_chunk_7,呆立在一旁,室内混乱
十 故梦,doc_10_chunk_7,何云青呼唤,山谷中，依云离开时
十一 缘了,doc_11_chunk_10,何云青将抄完的经书呈给喇嘛看,喇嘛处
十一 缘了,doc_11_chunk_10,何云青恍然大悟，将经书缓缓包起,喇嘛处
十一 缘了,doc_11_chunk_10,何云青背着包袱，往所来的路径走去,回路上
四 惊艳,doc_4_chunk_0,霎时间怔住，目呆口定一阵子才清醒过来。,内室，王妈话语后少女出场
二 远涉,doc_2_chunk_3,整整衣袖,走向山谷，阳光明媚
二 远涉,doc_2_chunk_3,侧头,沿着残旧城垣行走
十一 缘了,doc_11_chunk_6,拿着念珠和经书一筹莫展，不知道是要留下来，还是要往外走。,室内，门边
十一 缘了,doc_11_chunk_6,迟疑半天，回头用求助的眼光望着崔鸿至。,室内，门边
