doc_title,chunk_id,text,scene_context
108、EXT. OFFICE PARK FACILITY - NIGHT,doc_107_chunk_2,I know. Long story.,Facility chase: Marcus speaks to Star about his appearance in headlights.
108、EXT. OFFICE PARK FACILITY - NIGHT,doc_107_chunk_3,Take that path!,"Near the park, Marcus directs Kyle to take a path."
106、INT. LABORATORY - NIGHT,doc_105_chunk_4,How'd that feel?,Marcus holds the engineer's head and asks how it felt.
107、INT. UNDERGROUND GARAGE - NIGHT,doc_106_chunk_1,Stay down!,Garage: Marcus tells Kyle and Star to stay down as plasma bursts explode.
118、INT. SUBMARINE/HATCH AREA - DAY,doc_117_chunk_5,No one lives forever.,Serena confronts Marcus about his immortality
107、INT. UNDERGROUND GARAGE - NIGHT,doc_106_chunk_3,"It's OK, I'm not human!","Marcus speaks to Terminator, stating he is not human."
106、INT. LABORATORY - NIGHT,doc_105_chunk_6,I'm gonna need your clothes.,Marcus speaks to a head in his hand.
107、INT. UNDERGROUND GARAGE - NIGHT,doc_106_chunk_5,You can't drive!,"ATV chase, Marcus criticizes Kyle's driving."
117、EXT. COASTLINE - DAY,doc_116_chunk_2,"Yeah, well. Get in line.","After Connor's apology, Marcus responds to Connor."
106、INT. LABORATORY - NIGHT,doc_105_chunk_1,Let them go.,Marcus (naked) demands Engineer let them go
106、INT. LABORATORY - NIGHT,doc_105_chunk_1,"I said, let them go!",Marcus steps closer and repeats demand to Engineer
117、EXT. COASTLINE - DAY,doc_116_chunk_0,"There are more prisoners, a complex about a mile in--","At the dock, Marcus speaks to a team leader about prisoners and a complex one mile inland."
115、EXT. COASTLINE/DOCK - NIGHT/DAWN,doc_114_chunk_5,I'm sorry.,Last stand: Marcus apologizes to Kyle and Star as an army approaches.
106、INT. LABORATORY - NIGHT,doc_105_chunk_5,I pull this off and you'll be in a world of pain!,Control terminal: Marcus threatens Engineer to let them out.
106、INT. LABORATORY - NIGHT,doc_105_chunk_5,Last chance. Let them out.,Control terminal: Marcus gives last chance to Engineer to let them out.
118、INT. SUBMARINE/HATCH AREA - DAY,doc_117_chunk_2,They're not people anymore...,Marcus sees Serena descending a ladder and looking up
118、INT. SUBMARINE/HATCH AREA - DAY,doc_117_chunk_2,No!,Marcus sees Serena reaching into her coat
102、INT. TIME DISPLACEMENT CHAMBER - NIGHT,doc_101_chunk_0,I need to go back!,"01:05, Marcus manhandles the physicist, discussing wormhole travel"
102、INT. TIME DISPLACEMENT CHAMBER - NIGHT,doc_101_chunk_0,What do I do?,"01:05, Marcus manhandles the physicist, discussing wormhole travel"
106、INT. LABORATORY - NIGHT,doc_105_chunk_2,Now you're pissing me off.,"After hand severing, Marcus responds to Engineer's taunt."
106、INT. LABORATORY - NIGHT,doc_105_chunk_8,We've gotta get out of here.,"Lab, Marcus leads the kids out while escaping, passing the Engineer."
109、EXT. PARK/WOODS - NIGHT,doc_108_chunk_1,You two all right?,"In the woods, after ATV topples, Marcus checks on STAR and KYLE."
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_2,"Better than anything. Everything made sense. For the first time in my life,","With STAR, discussing the experience of being one of them."
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_5,I'm a regular hero.,Marcus signs form with 'PROJECT ANGEL' and says 'I'm a regular hero' to Serena.
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_5,No one lives forever.,"After Serena's apology, Marcus says 'No one lives forever.'"
109、EXT. PARK/WOODS - NIGHT,doc_108_chunk_0,The trees!,Chase scene: Marcus warns Kyle to head toward the trees.
114、EXT. RESIDENTIAL SIDESTREET - NIGHT,doc_113_chunk_0,There.,"Marcus and Kyle in ATV, Marcus indicates destination (coast/marina)."
118、INT. SUBMARINE/HATCH AREA - DAY,doc_117_chunk_1,I don't feel a thing. Help somebody else.,"Doctor asks about pain, Marcus responds he feels nothing."
120、INT. SUBMARINE SICKBAY - DAY,doc_119_chunk_5,Why me?,Marcus and Kate discuss Marcus's role in the mission.
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_1,I have no idea. I should be dead...,Blair asks Marcus about his plans after Blair says he must return to his unit.
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_1,So to speak.,Star comments on Marcus being alive; Marcus responds with a half-smile.
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_1,"Yeah, simpler to keep it man versus machine.",Blair discusses the secrecy of the hybrids and the place; Marcus comments on the man vs. machine narrative.
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_3,"Yeah, I'm pretty much done with it.",Body donation consent process with Doctor Serena Kogan
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_3,Chosen? Lucky me.,Body donation consent process with Doctor Serena Kogan
121、EXT. MOUNTAIN WAR - NIGHT,doc_120_chunk_2,"...was blind, but now I see.","Blast scene, voice over: transformation from blindness to sight."
121、EXT. MOUNTAIN WAR - NIGHT,doc_120_chunk_1,"I died, and was reborn. I wear another man's face, lead another man's life... yet only now do I have a reason for living. I once was lost, but now I'm found...","On a promontory overlooking a battle, Marcus Wright (voice-over) reflects on his rebirth."
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_4,You don't need to be scared.,"Marcus and Serena; Marcus reassures Serena, who denies fear and states condition is nerve degeneration."
1、INT. DEATH ROW/CELL - DAWN,doc_0_chunk_4,Cancer?,Marcus and Serena; Marcus questions if Serena's condition is cancer after she states it is nerve degeneration.
22、EXT. HIGHWAY - NIGHT,doc_21_chunk_2,Oh God...,Marcus running from T-400s
20、INT. RUINED BAR - NIGHT,doc_19_chunk_0,Hallelujah.,"Partially collapsed bar, Marcus finds whisky and says 'Hallelujah'."
