doc_title,chunk_id,fact,scene_context
126. 公寓二楼 白天,doc_117_chunk_0,辛小丰与杨自道进行过对话。,房东房间
22. 路上 白天,doc_21_chunk_0,辛小丰同意在到达目的地前不开警笛。,警车行驶中，伊谷春建议到目的地再开警笛，辛小丰同意。
137. 警长办 白天,doc_128_chunk_0,辛小丰在28楼救了台湾人。,闪回：28楼
30. 警局外 晚上,doc_29_chunk_0,辛小丰瘸腿。,警车开会来，大家湿漉漉下车时。
132. 双子大厦匝道 白天,doc_123_chunk_0,辛小丰与伊谷春在双子大厦连接的一条一米宽的天桥前相遇。,双子大厦天桥前
109. 食堂 白天,doc_100_chunk_0,辛小丰无法离开，必须留在原地。,饭点，伊谷春端饭过来后
140. 监狱 白天,doc_131_chunk_0,辛小丰在安乐死中死亡。,刑罚室
39. 鱼排屋 白天,doc_38_chunk_0,鱼缸的鱼都死了,
31. 洗澡室 晚上,doc_30_chunk_0,辛小丰扔掉了辞职信。,
138. 探监 白天,doc_129_chunk_0,辛小丰被押进来。,伊谷春等候的房间
138. 探监 白天,doc_129_chunk_0,辛小丰默认了伊谷春的指控。,伊谷春等候的房间
22. 路上 白天,doc_21_chunk_1,辛小丰将副驾嫌犯控制在了地上。,
33. 街道 黎明,doc_32_chunk_0,辛小丰不明白伊谷春的意思。,街道上，伊谷春的车到达后。
28. 警长办 白天,doc_27_chunk_0,辛小丰有辞职的意图。,
28. 警长办 白天,doc_27_chunk_0,辛小丰的请假请求被拒绝。,
133. 天台 白天,doc_124_chunk_0,辛小丰被便衣警察抓了起来。,天台，伊谷春的师父带宿安的便衣警察出现并抓辛小丰。
34. 山道 白天,doc_33_chunk_4,辛小丰是宿安水库案件的嫌疑人。,
69. 协警宿舍 白天,doc_64_chunk_0,辛小丰撕掉了协警警服上的警号。,
49. 渡口 白天,doc_45_chunk_0,辛小丰默认了伊谷春的指控。,车里，伊谷春挂电话后辛小丰上车
5. 案发别墅 白天,doc_4_chunk_0,辛小丰强奸了少女。,阁楼
61. 医院 白天,doc_56_chunk_0,辛小丰在医院走廊等待杨自道出手术室。,医院走廊，等待杨自道出手术室
58. 病房 白天,doc_53_chunk_0,辛小丰的电话拨打失败。,病房内，辛小丰打电话的场景
67. 街道 白天,doc_62_chunk_0,辛小丰获得了动车时刻表,
66. 医院 白天,doc_61_chunk_0,辛小丰已出院。,走廊
6. 荒野别墅 白天,doc_5_chunk_0,辛小丰被陈比觉打倒。,
65. 走廊 白天,doc_60_chunk_0,辛小丰的拇指已经磨掉指纹。,病房内，杨自道苏醒后
44. 海上 白天,doc_40_chunk_0,辛小丰的鱼缸是空的。,坐船返回途中
19. 协警宿舍 晚上,doc_18_chunk_0,辛小丰不认识伊谷春。,
82. 车内 白天,doc_73_chunk_0,辛小丰已挂断电话。,
10. 闹市 晚上,doc_9_chunk_0,辛小丰被一刀扎伤。,
97. 警长办 白天,doc_88_chunk_0,辛小丰收到了台湾男留下的电话号码。,
92. 28楼民居/楼梯间 白天,doc_83_chunk_0,辛小丰在阳台上,阳台
135. 天台/车内 白天,doc_126_chunk_0,辛小丰被带上手铐并被带走。,
135. 天台/车内 白天,doc_126_chunk_0,辛小丰似乎得到了解脱。,
107. 警长办 白天,doc_98_chunk_0,辛小丰的指纹已被采集。,
107. 警长办 白天,doc_98_chunk_0,辛小丰与台湾男一起驱车离开。,警局外
60. 公寓 白天,doc_55_chunk_0,辛小丰发现了杨自道昏迷。,
60. 公寓 白天,doc_55_chunk_0,辛小丰得知杨自道的伤口被血染红。,
72. 山路 凌晨,doc_67_chunk_1,辛小丰被杨自道打倒在地。,车旁，辛小丰拦车后
106. 警局 白天,doc_97_chunk_0,伊谷春办公室的桌面被擦过。,伊谷春办公室
106. 警局 白天,doc_97_chunk_0,辛小丰下了一个决定。,警局休息室
34. 山道 白天,doc_33_chunk_1,辛小丰在驾驶中差点掉下悬崖。,驾驶途中，悬崖边
