id,scene,question,answer,evidence,qa_type
1,20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,"In [20、INT HAZEL'S BEDROOM - ANOTHER NIGHT], What is Hazel's behavioral state regarding her phone?",Checking it frequently despite trying not to,The list of activities where she checks the phone each time,character states
2,19、EXT/INT GUS'S HOUSE - SAME,"In [19、EXT/INT GUS'S HOUSE - SAME], What is Hazel's physical condition?",Uses an oxygen tank and has weak lungs.,Hazel's oxygen tank and weak lungs.,character states
3,10、INT CHURCH BASEMENT - LATER,"In [10、INT CHURCH BASEMENT - LATER], What is Isaac's age and medical condition?","17, eye cancer, facing surgery, will be blind",Isaac. 17. Eye cancer. ... another surgery in a couple weeks. ... blind,character states
4,51、INT HAZEL'S HOUSE - SAME,What does 'grey pall' refer to in the passage?,"A dark, gloomy atmosphere cast by the sky and circumstances.",The sky - and the circumstances - have cast a grey pall over the day.,terminology/abbreviation/concept
5,13、INT HOSPITAL BED - FLASHBACK,"In [13、INT HOSPITAL BED - FLASHBACK], What is Hazel's medical condition?",Stage IV thyroid cancer,HAZEL (V.O.) Stage IV thyroid cancer.,character states
6,23、INT GUS'S BASEMENT BEDROOM - SAME,"In [23、INT GUS'S BASEMENT BEDROOM - SAME], What is Isaac's emotional state?",Having a nervous breakdown,"Isaac's head is buried in Gus's couch. He's wailing like a banshee, having some kind of nervous breakdown.",character states
7,20、INT HAZEL'S BEDROOM - ANOTHER NIGHT,"In [20、INT HAZEL'S BEDROOM - ANOTHER NIGHT], What is Hazel's emotional state when she checks her phone repeatedly?",Anxious and waiting for Gus's call,The scenes showing her checking the phone and the line 'Where is he? Did he forget about her?',character states
8,21、INT HAZEL'S DINING ROOM - NIGHT,"In [21、INT HAZEL'S DINING ROOM - NIGHT], What is Hazel's emotional state during the dinner?",Sullen and barely touching her food.,"Hazel at the dinner table with her parents. She's a little sullen, barely touching her food.",character states
9,24、INT GUS'S BASEMENT - LATER,"In [24、INT GUS'S BASEMENT - LATER], What is Isaac's current mental state according to Gus?",He is in a psychotic episode.,Isaac is in the midst of a psychotic episode.,character states
10,10、INT CHURCH BASEMENT - LATER,"In [10、INT CHURCH BASEMENT - LATER], What is Augustus's physical condition?","Lost a leg to osteosarcoma, uses a prosthetic",Had a touch of osteosarcoma ... lost this baby ... prosthetic,character states
